set,regime,N,rule,cagr,mdd,calmar,ca,ma,cb,mb,slot,trades,cagr_p10,cagr_p90,win
G,False,10,H60,0.2325638567218098,-0.4060693095098541,0.5787012975142403,0.1581176720352493,-0.39350640991697394,0.2859762492453122,-0.35705108130785923,0.8840753424657535,350.0,0.1705156505104839,0.3104462255374002,False
G,False,10,H120,0.2163534942954427,-0.4110929887394355,0.5269360460225865,0.24182457146307723,-0.35287568780171774,0.20398204699396383,-0.4042570697940711,0.9186106346483704,180.0,0.1498913637688837,0.2827704889978476,False
G,False,10,LD,0.19412244553754554,-0.37808521323838207,0.5122662001551649,0.1726576051186488,-0.34337188874197966,0.20719540939294034,-0.3539841027562748,0.9113013698630137,230.0,0.1335281930907404,0.2632946341682529,False
G,False,20,H60,0.24133576015858882,-0.3663059680765343,0.6526584662261798,0.16450943423430542,-0.3643827007857168,0.2907936424475208,-0.29548946117930847,0.8828339041095891,699.0,0.1918764058190284,0.29179917361148777,False
G,False,20,H120,0.2288234201519288,-0.3703253538815283,0.6192492416190419,0.2606392325641447,-0.32593827480973525,0.2047335800055886,-0.3684753927825768,0.9186320754716981,360.0,0.1855327948567854,0.27246650578963855,False
G,False,20,LD,0.2105802879491222,-0.34758426186711244,0.6087693687682358,0.18126961005505893,-0.32442779308746383,0.22759185584873065,-0.3242164790505554,0.9108090753424658,459.0,0.16451445848653237,0.2544161961756509,False
G,True,10,H60,0.19677278995281944,-0.3928611187553218,0.4900951872516038,0.07115479898065225,-0.3928611187553218,0.2873208328498339,-0.2583367443373537,0.7324914383561644,290.0,0.13111613226977062,0.2630198420509041,False
G,True,10,H120,0.23760995420605946,-0.3583060949113548,0.6645626947689999,0.12717038520539548,-0.35062710874786474,0.30900284839150527,-0.2858471356150085,0.8165523156089194,160.0,0.1784511467184004,0.3043905985684345,False
G,True,10,LD,0.18868826701793817,-0.3603411652123575,0.5173219952722878,0.09731742145762612,-0.358341171586101,0.24722181642702246,-0.24205481249047142,0.7977953767123287,196.0,0.1290740062038589,0.24594732874847147,False
G,True,20,H60,0.20137307322914055,-0.4162461935716406,0.4745127732162759,0.09183672702686607,-0.4162461935716406,0.27477295815096214,-0.2399656484115864,0.7325128424657534,580.0,0.15511109183759225,0.2444553460959818,False
G,True,20,H120,0.2550547638982036,-0.362031193974362,0.6932775084270516,0.1495450238320064,-0.362031193974362,0.3334297462696927,-0.2612179393867661,0.8165737564322469,320.0,0.20717610344578014,0.2999737550244328,False
G,True,20,LD,0.19342938172695245,-0.3699409416294267,0.5162989345469262,0.11084408877499319,-0.3699409416294267,0.2556983702714164,-0.2182918024095331,0.7953660102739726,389.0,0.1562757992255913,0.23279964699235897,False
AND,False,10,H60,0.3003072812755586,-0.3959365932768024,0.7558091796003161,0.32158357989124386,-0.36340705857403377,0.2882653432034624,-0.3907246701467155,0.924443493150685,366.0,0.26801699149227654,0.348369547578867,False
AND,False,10,H120,0.33427378497712834,-0.4592646739360368,0.7261426122792787,0.3687382095215165,-0.2942797089730439,0.30559627942414835,-0.4592646739360368,0.9429122055674518,185.0,0.2972178882115629,0.3707530623484298,False
AND,False,10,LD,0.15005671408129195,-0.4401018249361377,0.3426269282301656,0.14773347047700158,-0.3492071197292338,0.15193454995304156,-0.43916349592089443,0.9409888698630137,294.0,0.12321424775042611,0.18284805614972138,False
AND,False,20,H60,0.3270680745482073,-0.39809549990748716,0.8268990258111262,0.3970798344185107,-0.2924273160631605,0.2815559982352043,-0.39809549990748716,0.8789811643835617,696.0,0.30451849601291053,0.35354676190019274,False
AND,False,20,H120,0.280800742119382,-0.44086346403566035,0.6360578600328386,0.21755937460528751,-0.4094030838245031,0.3230219729031185,-0.4397101383181441,0.9225267665952891,362.0,0.25757234855990896,0.3016023419799383,False
AND,False,20,LD,0.21327406002451865,-0.44227412319186354,0.4831316542649201,0.20871192351301981,-0.30275714568212964,0.21512570942199427,-0.44227412319186354,0.9185466609589041,546.0,0.19388387906626564,0.2311878767888153,False
AND,True,10,H60,0.337898962904399,-0.39090788355608697,0.8642030003136498,0.30024891204028414,-0.39090788355608697,0.36017131879042763,-0.32959139282432803,0.7678510273972603,304.0,0.3063167132876847,0.37486296144906683,False
AND,True,10,H120,0.4173733158124414,-0.4177911794094922,0.9895020767397632,0.2554058664967026,-0.38607061374243035,0.5344404868148765,-0.40953728794645716,0.8408993576017131,165.0,0.37546500746990136,0.4575189806678343,False
AND,True,10,LD,0.2222656309756772,-0.3957962342137111,0.5633957495871398,0.14890328241675,-0.37499182315042523,0.2677928018149769,-0.37788871699769994,0.8078125,249.0,0.19353876610501966,0.251488859803961,False
AND,True,20,H60,0.3436624474329515,-0.3474388153241534,0.9840986283008983,0.2820123062804566,-0.3340047773117579,0.3835256434187808,-0.3474167063078635,0.7122859589041096,564.0,0.31998227270469093,0.3669814997386337,False
AND,True,20,H120,0.31154992393281755,-0.4072668787835625,0.7667299562232944,0.2170652154163779,-0.3885276453733649,0.37527248276623637,-0.4005764445195428,0.8026980728051392,315.0,0.29039762098238836,0.33367654345987185,False
AND,True,20,LD,0.18638726015532492,-0.40521322323652914,0.45764184708639133,0.14621521362102663,-0.358296093975633,0.21131168752509089,-0.40521322323652914,0.7757812500000001,468.0,0.16969348181775604,0.2031811106980528,False
