set,N,rule,med,p10,p90,spread,same
E1,5,H60,21.3,14.4,34.5,20.1,
E1,5,A3,25.3,16.8,38.4,21.6,
E1,5,H20,26.0,16.1,34.3,18.2,
E1,5,A3-H60,5.2,-12.3,19.1,31.4,65.0
E1,10,H60,23.1,16.6,29.7,13.1,
E1,10,A3,28.7,19.6,36.7,17.1,
E1,10,H20,26.2,18.5,32.4,13.9,
E1,10,A3-H60,6.6,-6.3,16.9,23.1,71.0
E1,20,H60,22.0,18.0,26.1,8.1,
E1,20,A3,29.3,25.2,34.6,9.4,
E1,20,H20,23.3,19.1,28.1,9.1,
E1,20,A3-H60,7.9,1.5,14.9,13.4,93.0
E3,5,H60,6.2,1.9,11.2,9.2,
E3,5,A3,0.9,-5.8,7.0,12.8,
E3,5,H20,-1.4,-6.5,2.9,9.3,
E3,5,A3-H60,-5.8,-13.0,2.2,15.2,82.0
E3,10,H60,7.1,3.8,10.0,6.2,
E3,10,A3,-1.3,-4.7,4.2,8.9,
E3,10,H20,-3.7,-7.1,-1.0,6.1,
E3,10,A3-H60,-7.7,-12.3,-2.8,9.5,97.0
E3,20,H60,5.8,3.6,8.4,4.8,
E3,20,A3,-0.5,-3.3,2.2,5.5,
E3,20,H20,-4.8,-6.6,-3.3,3.3,
E3,20,A3-H60,-6.6,-9.6,-3.0,6.6,100.0
E2,5,H60,9.8,4.4,14.3,9.9,
E2,5,A3,5.7,-2.6,12.9,15.5,
E2,5,H20,5.1,0.6,12.0,11.4,
E2,5,A3-H60,-3.7,-15.0,5.5,20.5,67.0
E2,10,H60,11.3,7.2,15.7,8.4,
E2,10,A3,5.4,0.5,8.9,8.4,
E2,10,H20,-1.3,-4.7,1.8,6.6,
E2,10,A3-H60,-6.2,-11.9,-0.5,11.5,94.0
E2,20,H60,11.4,8.3,13.8,5.5,
E2,20,A3,4.7,2.7,6.9,4.1,
E2,20,H20,0.2,-1.6,2.1,3.7,
E2,20,A3-H60,-6.5,-9.4,-3.1,6.3,99.0
