型態,typ,買法,買法名,事件數,區段數,n_eff,出口,E_A,E_過濾,Δ,SE,CI95_lo,CI95_hi,Bonf_lo,Bonf_hi,Δ中位,Δ>0比例,Δ<0比例,買到比例,結果類,結果句
W 底,w,B,B 幅度 3%,4897,38,38,出口②,0.04377516098502233,0.029875094751108378,-0.01390006623391395,0.005621152676261078,-0.024917525479385663,-0.002882606988442237,-0.03027856672611135,0.0024784342582834518,0.0,0.2389217888503165,0.3912599550745354,0.6716356953236675,加過濾較差,樣本中等，加幅度 3% 過濾反而比較差：濾掉的比省下的多
W 底,w,C,C 站穩 3 天,4897,38,38,出口②,0.04377516098502233,0.023959291093746275,-0.019815869891276053,0.008220466291090097,-0.03592798382181264,-0.0037037559607394632,-0.04376805887260553,0.004136319090053426,-0.0058376749733224376,0.45007147232999795,0.5348172350418624,0.5885235858688993,加過濾較差,樣本中等，加站穩 3 天過濾反而比較差：濾掉的比省下的多
W 底,w,D,D 放量 1.5 倍,4897,38,38,出口②,0.04377516098502233,0.035444851574118315,-0.008330309410904013,0.0043384941651564025,-0.016833757974610564,0.0001731391528025355,-0.020971494041860186,0.004310875220052159,0.0,0.1288544006534613,0.10414539513988157,0.7670002042066572,分不出來,樣本中等，分不出來 ⇒ 直接買（突破隔天開盤）
W 底,w,E,E 等回測＋量縮＋止跌 K,4897,38,38,出口②,0.04377516098502233,0.006111222043629879,-0.037663938941392444,0.018153002661007767,-0.07324382415696767,-0.002084053725817221,-0.09055682055156405,0.01522894266877916,0.019054769054769105,0.5548294874412906,0.4398611394731468,0.1206861343679804,加過濾較差,樣本中等，加等回測頸線＋量縮＋止跌 K反而比較差：濾掉的比省下的多
W 底,w,F,F 三道全加,4897,38,38,出口②,0.04377516098502233,0.003475082641541588,-0.04030007834348074,0.018478917706946475,-0.07651875704909583,-0.004081399637865649,-0.09414258720054511,0.013542430513583621,0.026081213872832444,0.5607514804982643,0.4365938329589545,0.0649377169695732,加過濾較差,樣本中等，加三道全加反而比較差：濾掉的比省下的多
頭肩底,hs,B,B 幅度 3%,3023,38,38,出口②,0.04410463225127889,0.026286625216524348,-0.017818007034754533,0.0061568788980886115,-0.02988548967500821,-0.005750524394500854,-0.03575746711891264,0.00012145304940357204,0.0,0.25835262983790935,0.4214356599404565,0.600396956665564,加過濾較差,樣本中等，加幅度 3% 過濾反而比較差：濾掉的比省下的多
頭肩底,hs,C,C 站穩 3 天,3023,38,38,出口②,0.04410463225127889,0.027851826971420246,-0.01625280527985864,0.006979462125606779,-0.029932551046047924,-0.0025730595136693526,-0.03658904776305683,0.004083437203339556,-0.004394142310688465,0.45815415150512734,0.5243135957657956,0.6146212371816077,加過濾較差,樣本中等，加站穩 3 天過濾反而比較差：濾掉的比省下的多
頭肩底,hs,D,D 放量 1.5 倍,3023,38,38,出口②,0.04410463225127889,0.0252579279308278,-0.018846704320451085,0.007098531202073974,-0.03275982547651607,-0.004933583164386097,-0.0395298815054515,0.001836472864549337,0.0,0.18888521336420774,0.17896129672510752,0.6321534899106848,加過濾較差,樣本中等，加放量 1.5 倍過濾反而比較差：濾掉的比省下的多
頭肩底,hs,E,E 等回測＋量縮＋止跌 K,3023,38,38,出口②,0.04410463225127889,0.005984718640259405,-0.038119913611019476,0.017286962941148506,-0.07200236097567055,-0.004237466246368407,-0.08848939249671425,0.0122495652746753,0.0103627575432087,0.5451538207079061,0.44856103208733045,0.15415150512735692,加過濾較差,樣本中等，加等回測頸線＋量縮＋止跌 K反而比較差：濾掉的比省下的多
頭肩底,hs,F,F 三道全加,3023,38,38,出口②,0.04410463225127889,0.00115889610368825,-0.04294573614759064,0.01825579678498015,-0.07872709784615173,-0.007164374449029544,-0.0961381317021507,0.010246659406969422,0.017898192771084266,0.555739331789613,0.44227588488256697,0.057227919285478004,加過濾較差,樣本中等，加三道全加反而比較差：濾掉的比省下的多
箱型,box,B,B 幅度 3%,10653,38,38,出口②,0.02903251199358957,0.025032433587468317,-0.004000078406121259,0.0017791405023389398,-0.0074871937907055805,-0.0005129630215369371,-0.009184006911800803,0.0011838500995582845,0.0,0.0974373415939172,0.16784004505773023,0.8545010795081198,加過濾較差,樣本中等，加幅度 3% 過濾反而比較差：濾掉的比省下的多
箱型,box,D,D 放量 1.5 倍,10653,38,38,出口②,0.02903251199358957,0.008226499350767805,-0.020806012642821767,0.00819002461712382,-0.036858460892384454,-0.00475356439325908,-0.04466950291754155,0.003057477631898016,0.0,0.42776682624612783,0.34262649019055663,0.2296066835633155,加過濾較差,樣本中等，加放量 1.5 倍過濾反而比較差：濾掉的比省下的多
箱型,box,E,E 等回測＋量縮＋止跌 K,10653,38,38,出口②,0.02903251199358957,0.0036350353113978155,-0.025397476682191757,0.009412158891734773,-0.04384530810999191,-0.006949645254391602,-0.05282193175738392,0.0020269783930004087,0.016185917312661703,0.5723270440251572,0.42307331268187365,0.16136299633905943,加過濾較差,樣本中等，加等回測頸線＋量縮＋止跌 K反而比較差：濾掉的比省下的多
箱型,box,F,F 三道全加,10653,38,38,出口②,0.02903251199358957,0.0005716337642680117,-0.028460878229321564,0.01057664276945188,-0.049191098057447244,-0.00773065840119588,-0.05927832062629408,0.0023565641676509576,0.022609776536312666,0.5621890547263682,0.43771707500234674,0.020463719140148315,加過濾較差,樣本中等，加三道全加反而比較差：濾掉的比省下的多
