型態,買法,H20_事件數,H20_Δ,H20_Δ中位,H20_進場晚於T+20件數,H120_事件數,H120_Δ,H120_Δ中位
W 底,B,4897,-0.004908615627658242,0.0,0,4499,-0.028924243540510465,0.0
W 底,C,4897,-0.006653580602228944,-0.0023736842105263273,0,4499,-0.04025911641918299,-0.007908118238624695
W 底,D,4897,-0.0019141877277148098,0.0,0,4499,-0.0267158356092469,0.0
W 底,E,4897,-0.010976882308925014,0.016178786375304788,12,4499,-0.08655379957769098,0.014355742296918494
W 底,F,4897,-0.01129261332429436,0.02040301455301461,11,4499,-0.09305125461605278,0.020664814814814726
頭肩底,B,3023,-0.007069447716839327,0.0,0,2844,-0.030929001775944143,0.0
頭肩底,C,3023,-0.008247303221012471,-0.00390655217761271,0,2844,-0.027763573239774225,-0.006705160761064765
頭肩底,D,3023,-0.005935765802295385,0.0,0,2844,-0.033275737495631154,0.0
頭肩底,E,3023,-0.013804361053755501,0.005909197835803459,11,2844,-0.05971161462384545,0.00585
頭肩底,F,3023,-0.015316971875012091,0.010016666666666764,7,2844,-0.06826538642856488,0.01423555871437009
箱型,B,10653,0.00010176816543492569,0.0,0,10265,-0.009232487671061598,0.0
箱型,D,10653,-0.0002510465010558024,0.0,0,10265,-0.055687859509583056,0.0
箱型,E,10653,-0.0020653201657278007,0.017128195488721777,42,10265,-0.05945088527728912,0.01413070635661482
箱型,F,10653,-0.0010590813907065044,0.022184894784791555,11,10265,-0.06927754645520916,0.0193635135135136
