型態,買法,分類,件數,比例,照A買的平均報酬,該臂平均報酬
W 底,E,回到頸線但量縮／止跌 K 沒湊齊,1292,0.2638350010210333,0.13675869452055242,0.0
W 底,E,條件成立但進場日不可成交,4,0.0008168266285480906,-0.04404227902880193,0.0
W 底,E,沒回測、直接走掉,503,0.1027159485399224,0.1959359697655012,0.0
W 底,E,買到,591,0.1206861343679804,0.04420763125273784,0.05063731700110916
W 底,E,跌破頸線,2507,0.5119460894425159,-0.03463566163669698,0.0
W 底,F,B 或 D 不成立,2210,0.4512967122728201,0.017155652713193505,0.0
W 底,F,回到頸線但量縮／止跌 K 沒湊齊,686,0.14008576679599755,0.07916618912444504,0.0
W 底,F,條件成立但進場日不可成交,3,0.000612619971411068,-0.0823684496659486,0.0
W 底,F,沒回測、直接走掉,616,0.12579130079640596,0.23869658706881838,0.0
W 底,F,買到,318,0.0649377169695732,0.03993074414324946,0.05351408709317346
W 底,F,跌破頸線,1064,0.21727588319379212,-0.03509680809663556,0.0
頭肩底,E,回到頸線但量縮／止跌 K 沒湊齊,923,0.3053258352629838,0.12567625677654737,0.0
頭肩底,E,條件成立但進場日不可成交,3,0.0009923916639100231,0.37122318148744293,0.0
頭肩底,E,沒回測、直接走掉,274,0.09063843863711545,0.2201298020199329,0.0
頭肩底,E,買到,466,0.15415150512735692,0.03567034187951455,0.038823614698506835
頭肩底,E,跌破頸線,1357,0.4488918293086338,-0.04474760230133743,0.0
頭肩底,F,B 或 D 不成立,1725,0.5706252067482633,0.031089014555174356,0.0
頭肩底,F,回到頸線但量縮／止跌 K 沒湊齊,382,0.12636453853787627,0.10940687383702888,0.0
頭肩底,F,條件成立但進場日不可成交,2,0.0006615944426066821,0.314305226776619,0.0
頭肩底,F,沒回測、直接走掉,314,0.10387032748924908,0.21388359971552176,0.0
頭肩底,F,買到,173,0.057227919285478004,0.006076144335826677,0.020250537118205656
頭肩底,F,跌破頸線,427,0.14125041349652662,-0.07244240363496443,0.0
箱型,E,回到頸線但量縮／止跌 K 沒湊齊,3152,0.2958790950905848,0.04406660360028338,0.0
箱型,E,條件成立但進場日不可成交,7,0.0006570918989955881,-0.05556416315287972,0.0
箱型,E,沒回測、直接走掉,2926,0.2746644137801558,0.11848552679922458,0.0
箱型,E,買到,1719,0.16136299633905943,0.0036881104361392476,0.022527068744805655
箱型,E,跌破頸線,2849,0.26743640289120435,-0.06397127005706135,0.0
箱型,F,B 或 D 不成立,8268,0.7761194029850746,0.02692249125940883,0.0
箱型,F,回到頸線但量縮／止跌 K 沒湊齊,612,0.057448606026471415,0.012705233011058765,0.0
箱型,F,條件成立但進場日不可成交,2,0.00018774054257016804,-0.12733452625621786,0.0
箱型,F,沒回測、直接走掉,1127,0.10579179573828969,0.11359240461216061,0.0
箱型,F,買到,218,0.020463719140148315,-0.02939635368088587,0.027934011425445535
箱型,F,跌破頸線,426,0.03998873556744579,-0.09963139885166641,0.0
