cell,entry_pos,sid
F01,489,1710
F01,489,2023
F01,489,2029
F01,489,2034
F01,489,2049
F01,489,2330
F01,489,2439
F01,489,2461
F01,489,2467
F01,489,2489
F01,489,2882
F01,489,2891
F01,489,3036
F01,489,3260
F01,489,3293
F01,489,3455
F01,489,3535
F01,489,3611
F01,489,3706
F01,489,4162
F01,489,5263
F01,489,5274
F01,489,6116
F01,489,6415
F01,489,6462
F01,489,8436
F01,505,1710
F01,505,1906
F01,505,1909
F01,505,2023
F01,505,2029
F01,505,2049
F01,505,2312
F01,505,2328
F01,505,2439
F01,505,3016
F01,505,3032
F01,505,3083
F01,505,3706
F01,505,5269
F01,505,5483
F01,505,5490
F01,505,6116
F01,505,6220
F01,505,6269
F01,505,6415
F01,505,6446
F01,505,6462
F01,505,6488
F01,505,6531
F01,505,8069
F01,505,8112
F01,505,8358
F01,523,1312
F01,523,1314
F01,523,1710
F01,523,1723
F01,523,2023
F01,523,2031
F01,523,2340
F01,523,2360
F01,523,2439
F01,523,2501
F01,523,2520
F01,523,2548
F01,523,2891
F01,523,2913
F01,523,3260
F01,523,3264
F01,523,3406
F01,523,3443
F01,523,3546
F01,523,3563
F01,523,3615
F01,523,3645
F01,523,4142
F01,523,4162
F01,523,5269
F01,523,5274
F01,523,5443
F01,523,5483
F01,523,6116
F01,523,6220
F01,523,6462
F01,523,6488
F01,523,6505
F01,523,6510
F01,523,8358
F01,546,1314
F01,546,1463
F01,546,1569
F01,546,1584
F01,546,1590
F01,546,1710
F01,546,1808
F01,546,2023
F01,546,2103
F01,546,2233
F01,546,2328
F01,546,2439
F01,546,2501
F01,546,2545
F01,546,2548
F01,546,3260
F01,546,3419
F01,546,3455
F01,546,3535
F01,546,3563
F01,546,3630
F01,546,4162
F01,546,4916
F01,546,4974
F01,546,5014
F01,546,5269
F01,546,5443
F01,546,5483
F01,546,5534
F01,546,6116
F01,546,6220
F01,546,6415
F01,546,6426
F01,546,6462
F01,546,6488
F01,546,6548
F01,546,8064
F01,564,1314
F01,564,1463
F01,564,1569
F01,564,1584
F01,564,2345
F01,564,2439
F01,564,2548
F01,564,3049
F01,564,3260
F01,564,3390
F01,564,3455
F01,564,3481
F01,564,3546
F01,564,3625
F01,564,4147
F01,564,4162
F01,564,5269
F01,564,5483
F01,564,5490
F01,564,5534
F01,564,6114
F01,564,6116
F01,564,6143
F01,564,6207
F01,564,6462
F01,564,6486
F01,564,6488
F01,564,6510
F01,564,6531
F01,564,6548
F01,564,8027
F01,564,8064
F01,564,8271
F01,564,8358
F01,584,1463
F01,584,1569
F01,584,1584
F01,584,1710
F01,584,2345
F01,584,2496
F01,584,3018
F01,584,3260
F01,584,3413
F01,584,3455
F01,584,3563
F01,584,3580
F01,584,3645
F01,584,3661
F01,584,4147
F01,584,4162
F01,584,4438
F01,584,4721
F01,584,5269
F01,584,5274
F01,584,5289
F01,584,5483
F01,584,5490
F01,584,5536
F01,584,6207
F01,584,6220
F01,584,6456
F01,584,6462
F01,584,6488
F01,584,6531
F01,584,6548
F01,584,8064
F01,584,8358
F01,607,1710
F01,607,2439
F01,607,2496
F01,607,2548
F01,607,2882
F01,607,3085
F01,607,3260
F01,607,3323
F01,607,3413
F01,607,3515
F01,607,3563
F01,607,3580
F01,607,3661
F01,607,3665
F01,607,4147
F01,607,4502
F01,607,4721
F01,607,4943
F01,607,5263
F01,607,5269
F01,607,5289
F01,607,5483
F01,607,5534
F01,607,6220
F01,607,6435
F01,607,6456
F01,607,6462
F01,607,6488
F01,607,6548
F01,607,8271
F01,607,8358
F01,607,9802
