fake_i,seed_f,n_selected,sig_rows,A,D,ratio_cell,ratio_seedmed,eq_sha_200
0,103000,3139,3139,0.05097228675870047,-0.43193018229622615,0.11801047680373186,0.11538288828527334,7420b071362eb9d3
1,103001,3139,3137,0.051377694252650374,-0.416562948076702,0.12333716786349938,0.1206666770365146,f9daa201d6bdc827
2,103002,3139,3138,0.01513240488021339,-0.46947828809968367,0.032232384891461366,0.032067347034172106,efe741fb1f5c1f8c
3,103003,3139,3139,0.0476573979172491,-0.4339358523522585,0.10982590550863723,0.10566603155054878,e0328a49f8410663
4,103004,3139,3139,0.0308990716449824,-0.41793193421440966,0.0739332630875974,0.07279042239339756,3bab2b433c492c50
5,103005,3139,3138,0.05456674797698169,-0.4270837096792678,0.1277659314562954,0.13037627672904742,19f77b93eb21b370
6,103006,3139,3138,0.056004112952899754,-0.39811367116532703,0.1406736744030139,0.13741313295018048,639bcf13b1d7d87a
7,103007,3139,3138,0.01263425725671441,-0.4345484120579232,0.029074452710300836,0.02756013546278564,28c7faf3ac1127da
8,103008,3139,3138,0.058240185955769186,-0.44702469886093654,0.13028404494018112,0.1251662030865105,958b6c579062b58f
9,103009,3139,3139,0.017384816625296895,-0.424812450156852,0.04092351017226063,0.0415358009947424,114656e68cd165d3
10,103010,3139,3137,0.0168818026120654,-0.4393233967641559,0.038426823466286134,0.03693234317062241,11a89cc85f4950cf
11,103011,3139,3139,0.05144143263482326,-0.4148241086546536,0.12400781816094714,0.12531856332534588,1b48a5abf441abd1
12,103012,3139,3138,0.050442721527416134,-0.39547721797172475,0.12754899456944854,0.12317069357536567,1ef54a597968aa94
13,103013,3139,3137,0.025468573309844533,-0.417918087626027,0.06094154348407869,0.06042170769828577,3c9ef257b4139e95
14,103014,3139,3138,0.03816730519099232,-0.42199160935902624,0.09044564949754713,0.08853020819025861,2c834909b86154fb
15,103015,3139,3138,0.04517577793198835,-0.4016585530520611,0.1124730883699939,0.12369495129622368,712f6b57f0186774
16,103016,3139,3137,0.07965206442895656,-0.4322676787467089,0.1842656028780477,0.18747145711589175,cc6eadb80d3b2596
17,103017,3139,3138,0.05807439676024806,-0.39623276441528643,0.1465663669836779,0.14018617244408066,801aa7b6f2b7fc29
18,103018,3139,3138,0.04752083480082836,-0.4158626874786331,0.11427049415985407,0.12271747175855319,1f8f33fdbec4f641
19,103019,3139,3139,0.04671153453850574,-0.42862211556568885,0.10898069148125168,0.10831737534980085,adc7cc961f35b4e9
20,103020,3139,3139,0.04165837511005721,-0.42308250296306615,0.09846395163662408,0.09799163151580242,3965755a2a29e7f6
21,103021,3139,3139,0.03052803167072915,-0.41971080429319607,0.07273587279255093,0.07742837293343566,42ac14d4b7f1bd61
22,103022,3139,3138,0.09393176434521089,-0.4026816494767578,0.2332655696311597,0.22914279249110264,7ff6359e698ab3c6
23,103023,3139,3138,0.019496254331097584,-0.4495386294320949,0.04336947495641772,0.04278395974238855,8103747bf36025cb
24,103024,3139,3139,0.07978263761458682,-0.40416644877055374,0.19740044691309747,0.18828479290176042,84b1c42d18bd2752
25,103025,3139,3138,-0.005389180112862602,-0.44630244852306056,-0.012075174874565227,-0.012403216081264455,e2b5d021ee200f17
26,103026,3139,3139,0.0702547209722374,-0.4001048923989533,0.17559075709123018,0.18535542030924562,e44d37ecd198f1a7
27,103027,3139,3139,0.026745439337508392,-0.4418152506612209,0.06053534661259691,0.06159571500915664,c9ec1246fe06be5d
28,103028,3139,3139,0.03761901905158005,-0.3961065272606073,0.09497197461436847,0.09198000304562232,e82faaa661dc726e
29,103029,3139,3139,0.03525529785876447,-0.4348964835594443,0.08106595291416183,0.0810680869349989,bbb808147a7e56d8
30,103030,3139,3139,0.007082390470363742,-0.4571502751651547,0.015492477758664995,0.015287132192134241,1625675fbb756014
31,103031,3139,3137,0.03147853715795723,-0.46146290091136916,0.0682146649184333,0.07082497797073717,bcdb5620e24a95e0
32,103032,3139,3139,0.07836974922277185,-0.4125161891182895,0.18997981482927745,0.19229704792728716,ed8539421146e334
33,103033,3139,3137,0.08314984404741088,-0.4102875429800801,0.20266236562645992,0.20306899089788683,07c75f1d70eb9797
34,103034,3139,3139,0.051329301172960196,-0.39628547175536755,0.12952607357921633,0.12185563664371771,ca5150dff34b68b6
35,103035,3139,3139,0.008994085806757646,-0.4451644423561821,0.020203962740495244,0.019771229209110446,e88191f454314795
36,103036,3139,3138,0.04003875769040921,-0.39909380175206033,0.10032417821232802,0.1062503887938018,9dae446c8cfe160d
37,103037,3139,3139,0.030722908621739098,-0.4443959853146898,0.06913408229820822,0.06809469830485773,f98d07c1dfd0bcbf
38,103038,3139,3137,0.04213498719483033,-0.40391004378266526,0.10431775055710722,0.1043904622147276,5190816d465ff3d7
39,103039,3139,3138,0.047238883052210245,-0.407667442171774,0.11587602581298548,0.11759620067977686,7a67283de5b67920
40,103040,3139,3138,0.05547007115446667,-0.42165801124503854,0.13155227619339904,0.14279733459576763,9423b369cddd0221
41,103041,3139,3139,0.02410447204087396,-0.4406648898816406,0.05470023274908116,0.05370647805744008,765f800cc29cda5d
