rank,idx,cell,n_cond,A,D,ratio,A_p10,A_p90,vol_med,expo_med,A_minus_0050,ratio_minus_0050,label,cand_order,luck_q,標記
1,133,F09+F17,2,0.13955180347349655,-0.27774221192042714,0.5024508248442913,0.09301569172424022,0.18939818567940314,0.1611970941486155,0.9184668989547038,0.031661164647037665,0.1847236303675992,Q,1.0,0.0026982899577463926,探索，非結論
2,144,F11+F13,2,0.12081048581180825,-0.26544560536148054,0.45512332233675534,0.06982193058706489,0.17311487685875993,0.1542640396187403,0.9184668989547038,0.01291984698534937,0.13739612786006328,Q,2.0,0.00010819960736619457,探索，非結論
3,129,F09+F13,2,0.13239945425324,-0.2922102690691337,0.4530965139418689,0.07913472455110528,0.1821519574804681,0.18957192419777094,0.9184668989547038,0.024508815426781128,0.13536931946517683,Q,3.0,0.00010819960736619457,探索，非結論
4,74,F04+F13,2,0.15241381186693875,-0.3572897226710178,0.4265832521784486,0.06476305309147175,0.2270915043402172,0.2311847279204963,0.9421602787456446,0.04452317304047987,0.10885605770175655,Q,4.0,1.764758826941138e-05,探索，非結論
5,134,F09+F18,2,0.12155663047272411,-0.2895059146574434,0.4198761556100001,0.08295675255845253,0.18022814217027838,0.17813066693321544,0.9184668989547038,0.013665991646265224,0.10214896113330801,Q,5.0,1.0204352657402872e-05,探索，非結論
6,160,F13+F18,2,0.13069549534059074,-0.3199064096576545,0.40854290941045407,0.06659959867168365,0.220667163822546,0.19520509646566164,0.9184668989547038,0.02280485651413186,0.090815714933762,Q,6.0,1.6226927596588945e-06,探索，非結論
7,127,F09+F11,2,0.1024951059639055,-0.25389647397449266,0.4036885757389546,0.06421484319177377,0.1413500426715935,0.1345253481887839,0.9184668989547038,-0.005395532862553384,0.08596138126226255,F,,1.1207038797924733e-06,探索，非結論
8,108,F07+F11,2,0.1021793238404408,-0.25891391408987163,0.39464593550184146,0.05985667315150891,0.15138100976052948,0.15784372757059817,0.9184668989547038,-0.005711314986018082,0.0769187410251494,F,,2.529339261395413e-07,探索，非結論
9,97,F06+F11,2,0.10984286546991426,-0.28011573307336357,0.39213386647277654,0.07051434652930191,0.1529525752937854,0.1566368526734152,0.9184668989547038,0.0019522266434553737,0.07440667199608447,Q,7.0,1.7398145494187825e-07,探索，非結論
10,79,F04+F18,2,0.14403212317943415,-0.36837971125082036,0.3909882080377829,0.06569820306270835,0.2303446909365233,0.22319333776915695,0.9419409051399226,0.03614148435297526,0.07326101356109083,Q,8.0,1.7398145494187825e-07,探索，非結論
11,110,F07+F13,2,0.1370545537398234,-0.3631891508293542,0.37736411846789714,0.056607506197701406,0.22214977207894826,0.2547393561696262,0.9184668989547038,0.029163914913364508,0.05963692399120507,Q,9.0,1.8110867673265402e-08,探索，非結論
12,3,F04,1,0.16516762954902114,-0.44487310336442965,0.37126908392508434,0.06908871110745429,0.2906829191059177,0.27818345318556226,0.9416963729347769,0.05727699072256226,0.05354188944839228,Q,10.0,8.462676908860625e-09,探索，非結論
13,164,F14+F18,2,0.12826714250649215,-0.34998635765996033,0.36649183517922695,0.07467848236765387,0.19403829339726983,0.1986795328635378,0.9184668989547038,0.02037650368003327,0.04876464070253489,Q,11.0,4.772167888766942e-09,探索，非結論
14,70,F04+F09,2,0.13794953606884458,-0.3886733404802226,0.3549241012990549,0.050388297877311555,0.20899632713697305,0.24113391854375626,0.9420365758113084,0.030058897242385696,0.03719690682236282,Q,12.0,1.0260450810923666e-09,探索，非結論
15,155,F12+F18,2,0.12939862879360858,-0.37131440211620564,0.3484880415522162,0.05501947296548051,0.22066444125461773,0.2324243168985266,0.9184668989547038,0.0215079899671497,0.030760847075524123,Q,13.0,4.732907945144342e-10,探索，非結論
16,101,F06+F15,2,0.13462801534476204,-0.3916346130148649,0.34375923595816615,0.050337223645346,0.2267135284904121,0.25720474446055563,0.9184668989547038,0.026737376518303158,0.02603204148147409,Q,14.0,1.4729979917683534e-10,探索，非結論
17,78,F04+F17,2,0.11092529789353585,-0.3314754801833925,0.3346410353856798,0.06331489292503946,0.15782122715681637,0.19310827094632677,0.9420704255867478,0.003034659067076964,0.016913840908987732,Q,15.0,4.547704084985858e-11,探索，非結論
18,17,F18,1,0.10989291191889425,-0.32996879758665154,0.3330403138800898,0.05923213771932006,0.18149282730047095,0.19895426276013828,0.9184668989547038,0.0020022730924353638,0.015313119403397746,Q,16.0,4.547704084985858e-11,探索，非結論
