=== researchExplore 2026-09-25 22:47（台北）out=backtest/resultsExplore stage=all reps=200 s0=1000 perturb=None leak=False procs=1
[切點] 日曆 2015-01-05～2022-12-30（1958 根）；探索窗 [523, 1957] ＝ 2017-03-02～2022-12-30（1435 根）
[面板] gate3 2099 檔｜量測日 72 個（2017-01-03～2022-12-01）｜120,756 列、eligible 31,106｜139s
[0050 同窗] 年化 +10.7891%｜回落 -33.9570%｜比值 0.3177
[特徵] 31,106 股-月｜覆蓋率 F01 96.2% F02 96.3% F03 96.4% F04 94.6% F05 100.0% F06 100.0% F07 100.0% F08 99.1% F09 99.0% F10 100.0% F11 100.0% F12 100.0% F13 100.0% F14 100.0% F15 96.5% F16 90.4% F17 100.0% F18 100.0%｜236s
[S0 候選母體] P7 ALL 28,856 列＋尾段（CUT 收盤計值）2,245 列 ＝ 31,101
[候選] 171 格｜每月平均 k 37.5～43.6｜訊號列 2,699～3,139｜245s
[參照 W1ref 門檻B] 1,777＋尾段 148 ＝ 1,925 列（⛔ 不排名、不計 N）
[引擎輸入] tradable 1,296 檔｜官方下市日 ≤ CUT 389 筆｜312s
[引擎] 待跑 173 組（已完成 0）
  F01      年化中位 +3.0285% 回落中位 -47.9762%｜318s
  F02      年化中位 +0.3561% 回落中位 -51.7190%｜323s
  F03      年化中位 +2.0490% 回落中位 -46.5939%｜330s
  F04      年化中位 +16.5168% 回落中位 -44.4873%｜336s
  F05      年化中位 +1.4904% 回落中位 -48.5784%｜341s
  F06      年化中位 +8.2579% 回落中位 -55.4872%｜347s
  F07      年化中位 +3.8472% 回落中位 -57.0558%｜353s
  F08      年化中位 +6.2167% 回落中位 -54.2824%｜359s
  F09      年化中位 +9.8837% 回落中位 -41.3968%｜365s
  F10      年化中位 +5.6658% 回落中位 -55.3871%｜371s
  F11      年化中位 +6.5640% 回落中位 -23.9019%｜378s
  F12      年化中位 +10.5332% 回落中位 -42.2379%｜384s
  F13      年化中位 +8.5253% 回落中位 -29.4340%｜392s
  F14      年化中位 +6.4341% 回落中位 -42.4329%｜398s
  F15      年化中位 +10.0564% 回落中位 -36.3503%｜403s
  F16      年化中位 -2.5085% 回落中位 -44.6953%｜409s
  F17      年化中位 +5.4465% 回落中位 -34.3657%｜414s
  F18      年化中位 +10.9893% 回落中位 -32.9969%｜419s
  F01+F02  年化中位 +0.7026% 回落中位 -51.4645%｜425s
  F01+F03  年化中位 +2.9337% 回落中位 -46.8295%｜431s
  F01+F04  年化中位 +9.7413% 回落中位 -49.9610%｜438s
  F01+F05  年化中位 +0.9877% 回落中位 -50.9743%｜445s
  F01+F06  年化中位 +7.7497% 回落中位 -47.4073%｜451s
  F01+F07  年化中位 +5.1570% 回落中位 -52.0206%｜456s
  F01+F08  年化中位 +4.1018% 回落中位 -52.3183%｜462s
  F01+F09  年化中位 +12.7094% 回落中位 -39.5251%｜468s
  F01+F10  年化中位 +4.9199% 回落中位 -48.5395%｜474s
  F01+F11  年化中位 +6.4099% 回落中位 -28.3095%｜480s
  F01+F12  年化中位 +9.4512% 回落中位 -44.5797%｜486s
  F01+F13  年化中位 +6.7796% 回落中位 -35.3701%｜492s
  F01+F14  年化中位 +8.8600% 回落中位 -43.2462%｜498s
  F01+F15  年化中位 +7.2787% 回落中位 -38.6926%｜504s
  F01+F16  年化中位 +2.8691% 回落中位 -41.8494%｜510s
  F01+F17  年化中位 +7.4695% 回落中位 -35.4820%｜516s
  F01+F18  年化中位 +11.7265% 回落中位 -36.0071%｜522s
