month,state_L36,原本缺
2017-03,UP,True
2017-04,UP,True
2017-05,UP,True
2017-06,UP,True
2017-07,UP,True
2017-08,UP,True
2017-09,UP,True
2017-10,UP,True
2017-11,UP,True
2017-12,UP,True
2018-01,UP,True
2018-02,UP,False
2018-03,UP,False
2018-04,UP,False
2018-05,UP,False
2018-06,UP,False
2018-07,UP,False
2018-08,UP,False
2018-09,UP,False
2018-10,UP,False
2018-11,UP,False
2018-12,UP,False
2019-01,UP,False
2019-02,UP,False
2019-03,UP,False
2019-04,UP,False
2019-05,UP,False
2019-06,UP,False
2019-07,UP,False
2019-08,UP,False
2019-09,UP,False
2019-10,UP,False
2019-11,UP,False
2019-12,UP,False
2020-01,UP,False
2020-02,UP,False
2020-03,UP,False
2020-04,UP,False
2020-05,UP,False
2020-06,UP,False
2020-07,UP,False
2020-08,UP,False
2020-09,UP,False
2020-10,UP,False
2020-11,UP,False
2020-12,UP,False
2021-01,UP,False
2021-02,UP,False
2021-03,UP,False
2021-04,UP,False
2021-05,UP,False
2021-06,UP,False
2021-07,UP,False
2021-08,UP,False
2021-09,UP,False
2021-10,UP,False
2021-11,UP,False
2021-12,UP,False
2022-01,UP,False
2022-02,UP,False
2022-03,UP,False
2022-04,UP,False
2022-05,UP,False
2022-06,UP,False
2022-07,UP,False
2022-08,UP,False
2022-09,UP,False
2022-10,UP,False
2022-11,UP,False
2022-12,UP,False
2023-01,UP,False
2023-02,UP,False
2023-03,UP,False
2023-04,UP,False
2023-05,UP,False
2023-06,UP,False
2023-07,UP,False
2023-08,UP,False
2023-09,UP,False
2023-10,UP,False
2023-11,UP,False
2023-12,UP,False
2024-01,UP,False
2024-02,UP,False
2024-03,UP,False
2024-04,UP,False
2024-05,UP,False
2024-06,UP,False
2024-07,UP,False
2024-08,UP,False
2024-09,UP,False
2024-10,UP,False
2024-11,UP,False
2024-12,UP,False
2025-01,UP,False
2025-02,UP,False
2025-03,UP,False
2025-04,UP,False
2025-05,UP,False
2025-06,UP,False
2025-07,UP,False
2025-08,UP,False
2025-09,UP,False
2025-10,UP,False
2025-11,UP,False
2025-12,UP,False
2026-01,UP,False
2026-02,UP,False
2026-03,UP,False
2026-04,UP,False
2026-05,UP,False
2026-06,UP,False
2026-07,UP,False
2026-08,UP,False
