r,n,D,lo,hi,判過
1,15797,0.00010015464057370671,-0.003237563446928037,0.0034378727280754504,False
2,15772,-0.0014070544948049403,-0.005024153740139322,0.002210044750529441,False
3,15792,-0.002977145349865715,-0.006205203386816429,0.000250912687084999,False
4,15779,0.0013160449341449397,-0.0022556226506693262,0.004887712518959206,False
5,15775,-1.4690715166151155e-05,-0.003393193146551577,0.003363811716219275,False
6,15790,0.0021612030921720595,-0.001575705284246492,0.005898111468590611,False
7,15767,-0.00034178276710147143,-0.004757688318008382,0.004074122783805439,False
8,15775,0.0013492063492063487,-0.002098967162155347,0.004797379860568045,False
9,15757,0.001419676414916625,-0.0023026896185055863,0.005142042448338837,False
10,15797,-0.0013608420726860936,-0.004759968355366741,0.0020382842099945534,False
11,15791,0.0008771070119306447,-0.0026080526082365857,0.004362266632097875,False
12,15793,-0.0007453573463831179,-0.003960268727867515,0.002469554035101279,False
13,15796,0.0008402770241210345,-0.0025572447418200027,0.004237798790062072,False
14,15780,-0.0024940149274750036,-0.0056384581952576025,0.0006504283403075957,False
15,15797,-0.0007679024850006692,-0.0039830761289914056,0.0024472711589900668,False
16,15790,0.0004614383224262888,-0.0031495902865599883,0.004072466931412566,False
17,15784,-0.0020587454444524903,-0.005843354141767298,0.0017258632528623168,False
18,15802,-0.002085430214780931,-0.005204382395003197,0.0010335219654413357,False
19,15791,0.0006823758359443232,-0.003482467947611617,0.004847219619500263,False
20,15773,-0.001171481504962771,-0.004100036443995123,0.0017570734340695807,False
21,15776,-0.001707536462861007,-0.005074678602355971,0.0016596056766339567,False
22,15772,0.0027203372261069433,-0.0005689837678665879,0.006009658220080474,False
23,15796,-0.0017607682475370501,-0.004841653988772041,0.0013201174936979415,False
24,15778,-0.0013181655389159516,-0.004650327405959101,0.002013996328127198,False
25,15775,-0.0024497019092898655,-0.005611494749287469,0.0007120909307077377,False
26,15783,0.002272537560505626,-0.0017182210015947007,0.006263296122605953,False
27,15799,0.0014599326660216586,-0.002364350295492173,0.005284215627535491,False
28,15776,0.00011092799188640866,-0.003372352317474543,0.0035942083012473606,False
29,15787,0.0011359557441776988,-0.0025364249884899746,0.004808336476845372,False
30,15797,-0.000689275942488578,-0.003858596676707752,0.002480044791730596,False
