seed,peak_pos,trough_pos,深度,peak_pos_交件,trough_pos_交件,深度_交件,own_dd,peak_date,trough_date
102000,860,936,-0.43659227328344374,860,936,-0.43659227328344374,-0.43659227328344374,2018-07-12,2018-10-30
102001,2318,2498,-0.3693403626630285,2318,2498,-0.3693403626630285,-0.3693403626630285,2024-07-05,2025-04-09
102002,2323,2498,-0.4177226366560117,2323,2498,-0.4177226366560117,-0.4177226366560117,2024-07-12,2025-04-09
102003,2284,2498,-0.491538825908163,2284,2498,-0.491538825908163,-0.491538825908163,2024-05-17,2025-04-09
102004,2326,2498,-0.45819592552605637,2326,2498,-0.45819592552605637,-0.45819592552605637,2024-07-17,2025-04-09
102005,1235,1270,-0.4206631808096971,1235,1270,-0.4206631808096971,-0.4206631808096971,2020-01-20,2020-03-19
102006,860,923,-0.4163920295297884,860,923,-0.4163920295297884,-0.4163920295297884,2018-07-12,2018-10-11
102007,2264,2498,-0.3964017536053007,2264,2498,-0.3964017536053007,-0.3964017536053007,2024-04-18,2025-04-09
102008,860,1272,-0.41167677822724635,860,1272,-0.41167677822724635,-0.41167677822724635,2018-07-12,2020-03-23
102009,641,1270,-0.38302038570313535,641,1270,-0.38302038570313535,-0.38302038570313535,2017-08-21,2020-03-19
102010,2264,2498,-0.38378791618769725,2264,2498,-0.38378791618769725,-0.38378791618769725,2024-04-18,2025-04-09
102011,2326,2498,-0.4033304234672245,2326,2498,-0.4033304234672245,-0.4033304234672245,2024-07-17,2025-04-09
102012,2073,2498,-0.42835656237605013,2073,2498,-0.42835656237605013,-0.42835656237605013,2023-07-05,2025-04-09
102013,2326,2498,-0.4442229334849359,2326,2498,-0.4442229334849359,-0.4442229334849359,2024-07-17,2025-04-09
102014,1223,1270,-0.4048023902982829,1223,1270,-0.4048023902982829,-0.4048023902982829,2020-01-02,2020-03-19
102015,839,923,-0.4122538500300803,839,923,-0.4122538500300803,-0.4122538500300803,2018-06-12,2018-10-11
102016,839,1270,-0.418529301687802,839,1270,-0.418529301687802,-0.418529301687802,2018-06-12,2020-03-19
102017,1695,2498,-0.47862617363383453,1695,2498,-0.47862617363383453,-0.47862617363383453,2021-12-08,2025-04-09
102018,1223,1270,-0.37714922457546884,1223,1270,-0.37714922457546884,-0.37714922457546884,2020-01-02,2020-03-19
102019,860,936,-0.42110623909632505,860,936,-0.42110623909632505,-0.42110623909632505,2018-07-12,2018-10-30
102020,2264,2498,-0.39944647116465204,2264,2498,-0.39944647116465204,-0.39944647116465204,2024-04-18,2025-04-09
102021,2264,2498,-0.42531122926217413,2264,2498,-0.42531122926217413,-0.42531122926217413,2024-04-18,2025-04-09
102022,2325,2498,-0.39611279300764346,2325,2498,-0.39611279300764346,-0.39611279300764346,2024-07-16,2025-04-09
102023,2326,2498,-0.38112847989489607,2326,2498,-0.38112847989489607,-0.38112847989489607,2024-07-17,2025-04-09
102024,852,923,-0.43027778416365337,852,923,-0.43027778416365337,-0.43027778416365337,2018-07-02,2018-10-11
102025,2326,2498,-0.4858404377041047,2326,2498,-0.4858404377041047,-0.4858404377041047,2024-07-17,2025-04-09
102026,1710,2498,-0.5394245666427169,1710,2498,-0.5394245666427169,-0.5394245666427169,2021-12-29,2025-04-09
102027,1235,1270,-0.4152550301613085,1235,1270,-0.4152550301613085,-0.4152550301613085,2020-01-20,2020-03-19
102028,861,935,-0.4371924188874521,861,935,-0.4371924188874521,-0.4371924188874521,2018-07-13,2018-10-29
102029,2063,2498,-0.4744309363328785,2063,2498,-0.4744309363328785,-0.4744309363328785,2023-06-19,2025-04-09
102030,839,935,-0.4133649520451069,839,935,-0.4133649520451069,-0.4133649520451069,2018-06-12,2018-10-29
102031,852,935,-0.4008176046885915,852,935,-0.4008176046885915,-0.4008176046885915,2018-07-02,2018-10-29
102032,1601,2498,-0.39481779878831236,1601,2498,-0.39481779878831236,-0.39481779878831236,2021-07-26,2025-04-09
102033,861,936,-0.39602262727095994,861,936,-0.39602262727095994,-0.39602262727095994,2018-07-13,2018-10-30
102034,839,936,-0.45065883934517914,839,936,-0.45065883934517914,-0.45065883934517914,2018-06-12,2018-10-30
102035,2263,2498,-0.40180146953853957,2263,2498,-0.40180146953853957,-0.40180146953853957,2024-04-17,2025-04-09
102036,2385,2498,-0.4066713926537274,2385,2498,-0.4066713926537274,-0.4066713926537274,2024-10-16,2025-04-09
102037,1223,1270,-0.41661578944876887,1223,1270,-0.41661578944876887,-0.41661578944876887,2020-01-02,2020-03-19
102038,2326,2498,-0.44369677851777045,2326,2498,-0.44369677851777045,-0.44369677851777045,2024-07-17,2025-04-09
102039,2326,2498,-0.4649210112775922,2326,2498,-0.4649210112775922,-0.4649210112775922,2024-07-17,2025-04-09
102040,839,934,-0.3965062217851929,839,934,-0.3965062217851929,-0.3965062217851929,2018-06-12,2018-10-26
102041,2318,2498,-0.4258624196498958,2318,2498,-0.4258624196498958,-0.4258624196498958,2024-07-05,2025-04-09
102042,1223,1270,-0.4198568920520933,1223,1270,-0.4198568920520933,-0.4198568920520933,2020-01-02,2020-03-19
102043,830,934,-0.3935147647705408,830,934,-0.3935147647705408,-0.3935147647705408,2018-05-30,2018-10-26
102044,2326,2498,-0.4700157078896213,2326,2498,-0.4700157078896213,-0.4700157078896213,2024-07-17,2025-04-09
102045,839,1270,-0.4548876235651791,839,1270,-0.4548876235651791,-0.4548876235651791,2018-06-12,2020-03-19
102046,2326,2498,-0.511906616004494,2326,2498,-0.511906616004494,-0.511906616004494,2024-07-17,2025-04-09
102047,2326,2498,-0.4741841919498212,2326,2498,-0.4741841919498212,-0.4741841919498212,2024-07-17,2025-04-09
102048,2326,2498,-0.4331003296081385,2326,2498,-0.4331003296081385,-0.4331003296081385,2024-07-17,2025-04-09
102049,1223,1270,-0.38420873198309113,1223,1270,-0.38420873198309113,-0.38420873198309113,2020-01-02,2020-03-19
102050,839,934,-0.42853485391337376,839,934,-0.42853485391337376,-0.42853485391337376,2018-06-12,2018-10-26
102051,2264,2498,-0.364759726538016,2264,2498,-0.364759726538016,-0.364759726538016,2024-04-18,2025-04-09
102052,2326,2498,-0.455831043520723,2326,2498,-0.455831043520723,-0.455831043520723,2024-07-17,2025-04-09
102053,2264,2498,-0.37033294570247743,2264,2498,-0.37033294570247743,-0.37033294570247743,2024-04-18,2025-04-09
102054,2318,2498,-0.43887196855245325,2318,2498,-0.43887196855245325,-0.43887196855245325,2024-07-05,2025-04-09
102055,860,935,-0.4285570296773673,860,935,-0.4285570296773673,-0.4285570296773673,2018-07-12,2018-10-29
102056,861,936,-0.4211492382877836,861,936,-0.4211492382877836,-0.4211492382877836,2018-07-13,2018-10-30
102057,2319,2498,-0.44342713588974847,2319,2498,-0.44342713588974847,-0.44342713588974847,2024-07-08,2025-04-09
