市場,stock_id,date,我方 trust（股）,我方 m_balance（張）,資料快照
上市,2049,2018-08-27,6000,10546,edc6f8002fed8803795e3486ad57db513f7e9f65
上市,2301,2024-01-22,1081133,20776,edc6f8002fed8803795e3486ad57db513f7e9f65
上市,2373,2018-07-06,59000,148,edc6f8002fed8803795e3486ad57db513f7e9f65
上市,2454,2024-08-30,187281,5112,edc6f8002fed8803795e3486ad57db513f7e9f65
上市,2608,2022-08-05,1000,3133,edc6f8002fed8803795e3486ad57db513f7e9f65
上市,2838,2025-12-26,-44000,375,edc6f8002fed8803795e3486ad57db513f7e9f65
上市,2855,2026-02-05,10000,13628,edc6f8002fed8803795e3486ad57db513f7e9f65
上市,3231,2024-08-08,2087871,94606,edc6f8002fed8803795e3486ad57db513f7e9f65
上市,5269,2018-03-16,272000,1711,edc6f8002fed8803795e3486ad57db513f7e9f65
上櫃,1569,2018-01-16,213000,9705,edc6f8002fed8803795e3486ad57db513f7e9f65
上櫃,5289,2026-01-14,250000,3088,edc6f8002fed8803795e3486ad57db513f7e9f65
上櫃,8489,2018-08-02,6000,4983,edc6f8002fed8803795e3486ad57db513f7e9f65
