year,訊號數,M0漲停開盤,M0_成交率,M0_E,M0p_成交率,M0p_E,L1_成交率,L1_E,L2_成交率,L2_E,L3_成交率,L3_E,D_L1,D_L2,D_L3,M0p−M0
2017,163,0,1.0,0.11899312441098801,1.0,0.11899312441098801,0.7361963190184049,0.0830868631650083,0.588957055214724,0.05761668414550988,0.4662576687116564,0.06334933320977365,-0.03590626124597972,-0.06137644026547813,-0.05564379120121436,0.0
2018,248,0,1.0,-0.03706177969330778,1.0,-0.03706177969330778,0.875,-0.048157524967741366,0.782258064516129,-0.05029702869298554,0.6975806451612904,-0.043123193467179716,-0.011095745274433584,-0.013235248999677755,-0.006061413773871933,0.0
2019,191,0,1.0,0.04476199956743249,1.0,0.04476199956743249,0.680628272251309,0.026572575000693415,0.4973821989528796,0.03553986673341515,0.32460732984293195,0.0297396153165846,-0.01818942456673907,-0.009222132834017335,-0.015022384250847887,0.0
2020,319,0,1.0,0.34432510679760586,1.0,0.34432510679760586,0.48589341692789967,0.12608480483278814,0.3322884012539185,0.08300597040970863,0.23824451410658307,0.04598533998517042,-0.21824030196481772,-0.2613191363878972,-0.29833976681243546,0.0
2021,612,0,1.0,0.18330149307083593,1.0,0.18330149307083593,0.7810457516339869,0.08705151016430783,0.6862745098039216,0.07669211036025161,0.6062091503267973,0.07077504841185113,-0.0962499829065281,-0.10660938271058432,-0.1125264446589848,0.0
2022,391,0,1.0,-0.03478248480664657,1.0,-0.03478248480664657,0.8005115089514067,-0.032986125973898106,0.6854219948849105,-0.027665615764679366,0.5601023017902813,-0.03319838702616161,0.0017963588327484653,0.007116869041967205,0.001584097780484961,0.0
2023,179,0,1.0,0.2134553553804226,1.0,0.2134553553804226,0.6703910614525139,0.10265871189596706,0.5307262569832403,0.07985891340739039,0.4022346368715084,0.04991420170180851,-0.11079664348445553,-0.13359644197303222,-0.16354115367861408,0.0
2024,291,0,1.0,-0.03415773262306772,1.0,-0.03415773262306772,0.8625429553264605,-0.019731294591902617,0.7319587628865979,-0.02088792008468246,0.6254295532646048,-0.0015620006825982254,0.014426438031165102,0.013269812538385259,0.0325957319404695,0.0
2025,347,1,0.9971181556195965,0.3714218661039927,1.0,0.37318818295629896,0.7982708933717579,0.2844355980700775,0.6974063400576369,0.2839301007820839,0.553314121037464,0.240796990902155,-0.08698626803391518,-0.08749176532190878,-0.1306248752018377,0.0017663168523062711
2026,140,0,1.0,0.37577739303815116,1.0,0.37577739303815116,0.9,0.3653488218071267,0.8285714285714286,0.33134556777879265,0.7714285714285715,0.30798982115367723,-0.010428571231024475,-0.044431825259358515,-0.06778757188447393,0.0
