arm,類,名,kw,n,cagr_med,mdd_med,ratio,label,cagr_p10,cagr_p90,mdd_p10,mdd_p90,vs_v1_both_pos,vs_v1_both_neg,vs_v1,d_cagr_med,d_mdd_med,n_stop,n_stop_p10,n_stop_p90,n_trim,n_trim_p10,n_trim_p90,trig_pos_frac,trig_pos_frac_p10,trig_pos_frac_p90,held_mean,held_mean_p10,held_mean_p90,turnover_yr,turnover_yr_p10,turnover_yr_p90,cost_total,cost_total_p10,cost_total_p90,cost_drag_yr,cost_drag_yr_p10,cost_drag_yr_p90,stop_ret_mean,stop_ret_mean_p10,stop_ret_mean_p90,stop_ret_med,stop_ret_med_p10,stop_ret_med_p90,stop_h120_mean,stop_h120_mean_p10,stop_h120_mean_p90,stop_h120_med,stop_h120_med_p10,stop_h120_med_p90,stop_h120_better_frac,stop_h120_better_frac_p10,stop_h120_better_frac_p90,stop_h120_ge0_frac,stop_h120_ge0_frac_p10,stop_h120_ge0_frac_p90,trim_fwd_mean,trim_fwd_mean_p10,trim_fwd_mean_p90,trim_fwd_med,trim_fwd_med_p10,trim_fwd_med_p90,trim_fwd_p90,trim_fwd_p90_p10,trim_fwd_p90_p90,trim_fwd_pos_frac,trim_fwd_pos_frac_p10,trim_fwd_pos_frac_p90,rebuy20_n,rebuy20_n_p10,rebuy20_n_p90,rebuy20_ret_mean,rebuy20_ret_mean_p10,rebuy20_ret_mean_p90,rebuy20_ret_med,rebuy20_ret_med_p10,rebuy20_ret_med_p90,cash_mean,cash_mean_p10,cash_mean_p90,cash_med,cash_med_p10,cash_med_p90,cash_end,cash_end_p10,cash_end_p90,nx_n,nx_n_p10,nx_n_p90,nx_stop_lots,nx_stop_lots_p10,nx_stop_lots_p90,nx_pending_end,nx_pending_end_p10,nx_pending_end_p90,nx_pending_amt_end_frac,nx_pending_amt_end_frac_p10,nx_pending_amt_end_frac_p90,nxw_med,nxw_med_p10,nxw_med_p90,nxw_p90,nxw_p90_p10,nxw_p90_p90,nxsz_med,nxsz_med_p10,nxsz_med_p90,nxsz_mean,nxsz_mean_p10,nxsz_mean_p90,normal_n,normal_n_p10,normal_n_p90,trades,trades_p10,trades_p90,expo,expo_p10,expo_p90,sl_block_days,sl_block_days_p10,sl_block_days_p90,dd_n,dd_n_p10,dd_n_p90,dd_單日暴跌型,dd_單日暴跌型_p10,dd_單日暴跌型_p90,dd_延續下跌型,dd_延續下跌型_p10,dd_延續下跌型_p90,dd_混合型,dd_混合型_p10,dd_混合型_p90,ddlog_單日暴跌型,ddlog_單日暴跌型_p10,ddlog_單日暴跌型_p90,ddlog_延續下跌型,ddlog_延續下跌型_p10,ddlog_延續下跌型_p90,ddlog_混合型,ddlog_混合型_p10,ddlog_混合型_p90,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,ctrl_ebar_cagr_med,ctrl_ebar_mdd_med,ctrl_ebar_label,ctrl_pair_d_cagr_med,ctrl_pair_d_mdd_med
base,base,營飆 v1 原樣（抱滿 120 天、不停損不停利）,{},200,0.394406557221616,-0.3894268315113051,1.0127873205114948,合格（描述）,0.3620790537280488,0.4247953947014781,-0.44103476018866106,-0.36195043806648153,0,0,分不出（描述）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.386078685689581,8.386078685689581,8.38651102464332,1.431899420992742,1.4009243892275978,1.4632434512293269,0.4351761225468695,0.37561506895757796,0.5101918740233092,0.008376611612807536,0.00819540767698145,0.008559974189691568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.17896983671071015,0.17758685857869927,0.18081531294875478,0.03265734294285771,0.02766165181670142,0.035925397132704685,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,163.0,163.0,163.0,163.0,163.0,163.0,0.8210301632892899,0.8191846870512454,0.8224131414213007,0.0,0.0,0.0,4.0,3.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,0.24455289203698638,-0.009888027774799413,0.1363792434585206,0.49826119560451176,1.2269226546507113,-0.027935358862122173,0.8292544445758621,0.07779684392037378,0.490059869615046,0.7015307185734795,,,,,
S1,判定,S1 固定停損 −10%,"{""stop_line"": ""<stop_line>"", ""stop_line_le"": true, ""stop_proceeds"": ""next""}",200,0.2979926561311025,-0.3973887799565814,0.7498768741373651,合格,0.2644485965307759,0.3358634325516017,-0.4341175088737764,-0.3424017998569308,0,97,分不出,-0.09195671868796873,0.003710671517056452,175.0,167.0,184.0,0.0,0.0,0.0,0.6386861313868614,0.6231343283582089,0.6559139784946236,7.644401210549071,7.593947254647643,7.694422827496758,2.1831627795611412,2.099685869665624,2.264606012597249,0.4252974380466942,0.36764807896221596,0.5148996060067028,0.012716198303028663,0.012248667375144162,0.013212601427997918,-0.1170094333601843,-0.11854076301126787,-0.11557278702308622,-0.10948490463387012,-0.11013991707836557,-0.10766011852466094,0.00033306613749334356,-0.020502409012483413,0.02052359339980586,-0.07144216593365249,-0.0871366122486949,-0.06366047773202255,0.5706048521103356,0.5465116279069767,0.5978112740037167,0.3563218390804598,0.3352240985271711,0.3786090005844535,,,,,,,,,,,,,5.0,3.0,6.0,-0.11079155913300083,-0.12376952110620776,-0.033891111863455094,-0.10305715028936474,-0.10504572959856245,-0.09963917217840734,0.3020945257586423,0.29255863197409954,0.31164325279388283,0.149983020054433,0.1379349929707798,0.16691295368272532,0.9394967536310496,0.9188872970163172,1.0,174.0,166.0,182.1,175.0,167.0,184.0,1.0,0.0,2.0,0.039263618849119226,0.0,0.09297849464394735,2.0,2.0,3.0,68.0,65.0,69.0,0.7727757733288911,0.7519298763713284,0.7927595817866071,0.7251119682199918,0.7016558411537384,0.7460488119347739,100.0,98.0,103.0,274.0,268.0,281.1,0.6979054742413577,0.6883567472061172,0.7074413680259004,0.0,0.0,0.0,4.0,3.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,0.22640191631011686,0.024907292115565638,0.09299949155955811,0.35686410034150884,0.8876722579445898,-0.06950503951190717,0.523960132404388,0.15513958383176263,0.20704432464759526,0.6574353656288333,0.3378295255419387,-0.34684635761930227,合格（描述）,-0.03748650327531189,-0.04768474829815622
S2,判定,S2 2×ATR 追蹤停損,"{""stop_line"": ""<stop_line>"", ""stop_proceeds"": ""next""}",200,0.2930417052179297,-0.3201545131534625,0.9153133664477296,合格,0.2373893681468467,0.37223501464960573,-0.39457840898328883,-0.2793257113089635,18,22,分不出,-0.09285687018317756,0.06879744439862831,885.0,878.9,894.0,0.0,0.0,0.0,1.0,1.0,1.0,5.30566364029399,5.281409424989191,5.327323821876351,8.599538427651957,7.969807465244309,9.035835700115989,1.4478881678281148,1.123701567647613,2.0876107429652047,0.050307299801763954,0.04662337367167925,0.05285963884567863,0.041309566114544255,0.0386650151617821,0.04397090131653762,-0.02180630994847746,-0.022473888283367716,-0.019323660801640608,0.18093906986416386,0.17166865709036458,0.18923250079382498,0.00587405246680206,0.0030099276597046476,0.011888997576380067,0.5028248587570622,0.4971009065217055,0.510114637109019,0.515375874159892,0.5089867486269966,0.5214495470006026,,,,,,,,,,,,,43.0,38.0,48.099999999999994,0.03365870483374499,0.01218325967312885,0.05744644823027442,-0.04592338184265607,-0.06842100812887375,-0.033371048635615796,0.46233631779102125,0.4570904225072745,0.46758582504628754,0.41144279551088325,0.38998757340516355,0.43308775230845836,1.0,1.0,1.0,875.0,868.9,884.0,885.0,878.9,894.0,10.0,10.0,10.0,1.0,0.9999999999999998,1.0000000000000002,3.0,3.0,3.0,20.700000000000045,20.0,21.0,0.7878020941808129,0.6581581624156179,0.8832629188654334,0.9674047011551576,0.9434702978181948,0.9874241201758246,10.0,10.0,10.0,885.0,878.9,894.0,0.5376636822089788,0.5324141749537125,0.5429095774927255,0.0,0.0,0.0,4.0,2.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,4.0,0.25833739049363924,0.009165006711093993,-0.07126361882592086,0.45676782546785455,0.689063996657632,-0.16678076809767045,0.528987168964796,0.08237338809309247,0.7985854242747439,0.5866305160855707,0.2573345233890606,-0.2768722804707445,合格（描述）,0.0413577360551437,-0.04413924728393012
T1,判定,T1 +15% 賣一半,"{""trim_rule"": {""kind"": ""gain"", ""x"": 0.15, ""frac"": 0.5}, ""trim_proceeds"": ""next""}",200,0.14373930835465565,-0.22323334441513001,0.6438971235737733,不合格,0.12317612657118375,0.15903112728416485,-0.27003323087522385,-0.20167105296467033,0,0,分不出,-0.25319169117297335,0.16714862481573445,0.0,0.0,0.0,111.0,108.0,113.0,0.6809815950920245,0.6625766871165644,0.6932515337423313,8.386078685689581,8.386078685689581,8.38651102464332,0.831320930602234,0.7983186072670735,0.8681676586227268,0.08843470423599625,0.08147660516353226,0.09592852389713312,0.004863227444023065,0.004670163852512383,0.005078780802942951,,,,,,,,,,,,,,,,,,,0.2054521817962992,0.1860193416985994,0.22390017640093254,0.05725186919171987,0.04957733885719817,0.08220677690883538,0.8531034850102159,0.7785783310136485,0.8676133756144582,0.5789473684210527,0.5596330275229358,0.5982142857142857,0.0,0.0,0.0,,,,,,,0.6520392555316901,0.6380044072475956,0.663154528540578,0.6618349340686129,0.6324351337238445,0.680720312860007,1.0,1.0,1.0,105.0,102.0,107.0,0.0,0.0,0.0,6.0,4.0,7.0,0.15747104201434584,0.08802895715361042,0.22837486651171374,51.0,48.0,56.0,108.19999999999999,104.60000000000001,109.0,0.2857715238939108,0.27021986152971444,0.30249317935109055,0.3008788592051409,0.28757492315371824,0.31545130681601236,58.0,56.0,61.0,163.0,163.0,163.0,0.34796074446830993,0.33684547145942184,0.3619955927524045,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.17953617469436334,-0.007963642194942888,0.09263921659399188,0.24296926030611177,0.2041375333936598,0.005962659642644863,0.33164023169516055,0.009973072912215275,0.08989049496409007,0.23156227539688434,0.16470057236710467,-0.1864851028662692,不合格（描述）,-0.02184225559489672,-0.03577988281957817
T2,判定,T2 +30% 賣一半,"{""trim_rule"": {""kind"": ""gain"", ""x"": 0.3, ""frac"": 0.5}, ""trim_proceeds"": ""next""}",200,0.21962521034417548,-0.2877456828535795,0.763261530689698,不合格,0.20018012255060028,0.23985663922115472,-0.307925112102665,-0.24766497105420926,0,0,分不出,-0.17408211554151587,0.10844754541969684,0.0,0.0,0.0,87.0,84.0,90.0,0.5337423312883436,0.5153374233128835,0.5521472392638037,8.386078685689581,8.386078685689581,8.38651102464332,1.1028223326958655,1.0743007218182494,1.1308288321556954,0.15136569675426503,0.13899287510803723,0.16763837171784812,0.006451510646270811,0.006284659222636757,0.006615348668110821,,,,,,,,,,,,,,,,,,,0.1663860155910567,0.1492543088649184,0.18462430569278374,0.03616788190096765,0.029126188833983324,0.058594827057784626,0.6907684051696544,0.6768331696937893,0.7274548008558553,0.5357142857142857,0.5160256410256411,0.5568181818181818,0.0,0.0,0.0,,,,,,,0.5001442070816231,0.48939453706192465,0.5099848908758611,0.48409144861453896,0.46424899849138945,0.5050220226816287,1.0,1.0,1.0,80.0,78.0,82.0,0.0,0.0,0.0,7.0,6.0,8.0,0.24603079351644147,0.19389408204685943,0.2936953282930873,43.0,40.0,46.0,105.0,100.6,106.9,0.44827577029969445,0.4120651373769619,0.48002781129794864,0.4238798345937627,0.4107356168430419,0.4381566490085418,83.0,81.0,85.0,163.0,163.0,163.0,0.4998557929183769,0.490015109124139,0.5106054629380753,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.20427294405293028,-0.0166986483559452,0.13591053838316847,0.3000672229398571,0.36636466665144274,0.006277570735983673,0.37846358678967806,0.07599400289661573,0.25732007874767926,0.45076431141515705,0.23921844469214737,-0.2589764658332732,不合格（描述）,-0.019145122613157817,-0.02685145080449916
S1T1,判定,S1＋T1,"{""stop_line"": ""<stop_line>"", ""stop_line_le"": true, ""stop_proceeds"": ""next"", ""trim_rule"": {""kind"": ""gain"", ""x"": 0.15, ""frac"": 0.5}, ""trim_proceeds"": ""next""}",200,0.016730423032357167,-0.09847006110233206,0.1699036523900455,不合格,0.012643146390956738,0.02032514219089887,-0.11421674395187632,-0.08338335721987182,0,0,分不出,-0.37819839004753064,0.2928922224742283,175.0,167.0,184.0,136.5,133.0,139.0,0.9669117647058824,0.9590925484103645,0.9717414024784751,7.644401210549071,7.593947254647643,7.694422827496758,0.2627718017048084,0.2350657156983078,0.29138231893640576,0.01659914499969367,0.015020198401590877,0.018104055191363006,0.001537153804666329,0.0013751268210708339,0.0017045698919607366,-0.1170094333601843,-0.11854076301126787,-0.11557278702308622,-0.10948490463387012,-0.11013991707836557,-0.10766011852466094,0.00033306613749334356,-0.020502409012483413,0.02052359339980586,-0.07144216593365249,-0.0871366122486949,-0.06366047773202255,0.5706048521103356,0.5465116279069767,0.5978112740037167,0.3563218390804598,0.3352240985271711,0.3786090005844535,0.18933843289822316,0.16624447955632396,0.21378742944227877,0.04145455045953239,0.032211466555627455,0.04957733885719817,0.8385246442519485,0.7558158762402262,0.8634591074000537,0.5547445255474452,0.5321217652743477,0.5758460517584606,5.0,3.0,6.0,-0.11079155913300083,-0.12376952110620776,-0.033891111863455094,-0.10305715028936474,-0.10504572959856245,-0.09963917217840734,0.9416694282334348,0.9387967845622794,0.9442964931762899,0.9929073708543176,0.9899128290746728,0.9946579463415102,0.9999269158895678,0.9996117798576488,1.0,268.0,262.0,275.1,175.0,167.0,184.0,43.0,39.900000000000006,47.0,0.009169943876877782,0.0057283868691334955,0.014629217372198114,124.25,106.95,139.1,302.70000000000005,241.69999999999996,336.0,0.01167063461795785,0.008765450779684117,0.01692911226488376,0.07676711284421481,0.06661644189733575,0.08493036011229603,6.0,6.0,6.0,274.0,268.0,281.1,0.05833057176656525,0.0557035068237101,0.0612032154377206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11799518138587495,0.0121379748450684,0.005946619063552316,0.008340886097787825,0.009718761777948726,-0.00041127085280673326,0.002473306525486829,0.0010350964297719534,0.0005207957112671746,0.0013107277488539903,0.026706842283153676,-0.03308152111972462,不合格（描述）,-0.01026576816550362,-0.06457652906586187
S2T1,判定,S2＋T1,"{""stop_line"": ""<stop_line>"", ""stop_proceeds"": ""next"", ""trim_rule"": {""kind"": ""gain"", ""x"": 0.15, ""frac"": 0.5}, ""trim_proceeds"": ""next""}",200,0.01876119199379256,-0.05012728645029302,0.37427104721490245,不合格,0.015256061917785235,0.02254731698982526,-0.05425688607415391,-0.046842175316706695,0,0,分不出,-0.3750799894034538,0.339663382395034,885.0,878.9,894.0,296.0,290.0,300.0,1.0,1.0,1.0,5.30566364029399,5.281409424989191,5.327323821876351,0.7020648505608817,0.687507454385999,0.7152517826970902,0.04408857775017219,0.04265349968258052,0.04548050714761042,0.004107079375781158,0.004021918608158101,0.0041842229287779855,0.041309566114544255,0.0386650151617821,0.04397090131653762,-0.02180630994847746,-0.022473888283367716,-0.019323660801640608,0.18093906986416386,0.17166865709036458,0.18923250079382498,0.00587405246680206,0.0030099276597046476,0.011888997576380067,0.5028248587570622,0.4971009065217055,0.510114637109019,0.515375874159892,0.5089867486269966,0.5214495470006026,0.13809983329652248,0.12468061517152183,0.15020063462825847,-0.02339179647908507,-0.029088120686531393,-0.016826124393804463,0.791344172729201,0.7594237532955697,0.8434417000719916,0.46812044638131595,0.456924944812362,0.47989243966398504,43.0,38.0,48.099999999999994,0.03365870483374499,0.01218325967312885,0.05744644823027442,-0.04592338184265607,-0.06842100812887375,-0.033371048635615796,0.9608866681948666,0.9596668279856607,0.962405936355575,0.9827499205888172,0.9811246665853336,0.9844127854946009,1.0,1.0,1.0,881.0,874.9,890.0,885.0,878.9,894.0,300.0,294.0,304.0,0.5031246470350629,0.487188530596814,0.5207707961765383,180.0,174.9,188.0,525.75,515.5700000000002,535.0,0.03115912063491202,0.027482671116456674,0.03497818214848889,0.07355274657122274,0.07208492037059394,0.07525879124717373,4.0,4.0,4.0,885.0,878.9,894.0,0.03911333180513334,0.037594063644424906,0.040333172014339426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09733607299178026,0.010184160441588319,-0.003623796475073715,0.02341459297413584,0.02258923790808065,-0.005345475508396147,0.012390710215078538,0.004761087326991764,0.010912817445986822,0.008144523683638938,0.01798219312420557,-0.02234815730163367,不合格（描述）,0.0007383418433820621,-0.027693211435459195
a_S1,ⓐ閒置,a_S1,"{""stop_line"": ""<stop_line>"", ""stop_line_le"": true}",200,0.32013210861766894,-0.42424704516356637,0.754588894058752,合格（描述）,0.2846552429984723,0.35355581506722267,-0.4531766117427892,-0.3683085822557094,2,139,分不出（描述）,-0.07781456242723617,-0.021258853596848343,174.5,167.0,184.1,0.0,0.0,0.0,0.6386861313868614,0.6245353159851301,0.6560265517642948,7.622351923908344,7.575399913532209,7.674492001729356,2.3383130107829517,2.2484071376359447,2.460205116787666,0.4826768316275176,0.4148822191439026,0.5869383406764324,0.013559817173759384,0.013009419761239078,0.014304201843418815,-0.11686889741755899,-0.11848715116739159,-0.11547302177052637,-0.10963756585649642,-0.11013991707836557,-0.1078745019276508,-7.5914521369451e-05,-0.01877717942158769,0.01760450468035349,-0.07543747926608785,-0.08880308499735468,-0.06661284029802783,0.5697674418604651,0.5436760752688171,0.5965011961722487,0.3537618722453287,0.3314252491694352,0.3787404902789518,,,,,,,,,,,,,4.0,3.0,6.0,-0.11089769058844925,-0.12495192510885948,-0.03963918703011946,-0.10305715028936474,-0.10673953508343426,-0.09963917217840734,0.23641346829401777,0.2311176279889056,0.2404595731867973,0.06159181166568925,0.052552352208304676,0.07375533587987623,0.9011204805095698,0.869494132613637,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,273.0,267.0,281.0,273.0,267.0,281.0,0.7635865317059822,0.7595404268132026,0.7688823720110944,0.0,0.0,0.0,4.0,4.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,0.22421017213662475,-0.019139398789581652,0.11260449861754818,0.40365967470184394,0.9577246939107913,-0.057663232720780666,0.5148915281653228,0.15783023004509367,0.28119008435879733,0.7329161214374886,,,,,
a_S2,ⓐ閒置,a_S2,"{""stop_line"": ""<stop_line>""}",200,0.321660899142707,-0.28025519306277435,1.1477428683030977,合格（描述）,0.2898664411239668,0.3505703770409805,-0.29371309237339355,-0.26902761720959023,3,0,分不出（描述）,-0.0716549054945197,0.1092047060055151,887.0,874.0,896.0,0.0,0.0,0.0,1.0,1.0,1.0,5.297449200172935,5.2684392563769995,5.318677042801556,8.438283598649454,8.230631016228847,8.608723123936207,1.597661896344818,1.3796217300955647,1.8509210132897025,0.04936395905209935,0.048149191444938795,0.050361030275026725,0.04072666329456351,0.037780687068640295,0.043808778352966496,-0.021818262748700468,-0.02258289327173364,-0.01932966333597439,0.1814595633495249,0.1731492810852061,0.18928078305544543,0.006308235814038332,0.0030099276597046476,0.014291589980930608,0.5044593143493478,0.4977257125026004,0.5112892352634751,0.5157304165151699,0.5084707631884997,0.5225762320250509,,,,,,,,,,,,,42.0,38.0,48.0,0.03620040780450501,0.011724388138019492,0.056732608109630836,-0.04444450295554181,-0.059044916600194064,-0.025806453892040393,0.4607647962330212,0.45872475790721345,0.4631904354349657,0.3916797950694489,0.38780161122769347,0.39906419692176914,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,887.0,874.0,896.0,887.0,874.0,896.0,0.5392352037669788,0.5368095645650343,0.5412752420927865,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.28020195525572344,0.04294699220103981,-0.06867047519198649,0.4597338631429887,0.7298065855207417,-0.16916409782447256,0.5982323449564866,0.1299142400487343,0.825454390008029,0.5965860262965839,,,,,
a_T1,ⓐ閒置,a_T1,"{""trim_rule"": {""kind"": ""gain"", ""x"": 0.15, ""frac"": 0.5}}",200,0.28027842219159016,-0.3171974022321921,0.8836088196788672,合格（描述）,0.26094110098605716,0.29705712250516636,-0.35240311500383664,-0.28828731977239525,0,0,分不出（描述）,-0.11473982254234472,0.07792998119003494,0.0,0.0,0.0,111.0,108.0,113.0,0.6809815950920245,0.6625766871165644,0.6932515337423313,8.386078685689581,8.386078685689581,8.38651102464332,1.5759127757680402,1.558833663553058,1.5917335058976778,0.28612801502971,0.25929504775408746,0.317461807469044,0.009219089738243036,0.00911917693178539,0.009311641009501413,,,,,,,,,,,,,,,,,,,0.2054521817962992,0.1860193416985994,0.22390017640093254,0.05725186919171987,0.04957733885719817,0.08220677690883538,0.8531034850102159,0.7785783310136485,0.8676133756144582,0.5789473684210527,0.5596330275229358,0.5982142857142857,0.0,0.0,0.0,,,,,,,0.38772586117090335,0.38183733995887476,0.39283664618791625,0.3494269141084676,0.34226759760258024,0.35889076432009426,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,163.0,163.0,163.0,163.0,163.0,163.0,0.6122741388290966,0.6071633538120838,0.6181626600411254,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.17752745906259282,0.013404967830431769,0.14170506192218912,0.32200444652887394,0.7138974573072375,-0.027347275574543917,0.5912721887263115,0.0752060139792422,0.29837738909015443,0.4905969785982134,,,,,
