畫法,r,種子,抽出,保留,合併掉,剔除,平均X,lo,hi,n_eff,判過,判過_正,判過_負
甲,0,20260925,50799,47365,3025,409,0.0071265836232050905,0.005974433684817341,0.00827873356159284,115,True,True,False
甲,1,20260926,50799,47394,3013,392,0.007598464336251595,0.006325028580764332,0.008871900091738858,115,True,True,False
甲,2,20260927,50799,47425,3013,361,0.0072630354310468746,0.006016759696871883,0.008509311165221866,115,True,True,False
甲,3,20260928,50799,47435,2989,375,0.007808360190447783,0.006384641824155355,0.00923207855674021,115,True,True,False
甲,4,20260929,50799,47404,3000,395,0.007328400330462274,0.006058346049418644,0.008598454611505905,115,True,True,False
甲,5,20260930,50799,47404,3026,369,0.007717546948568543,0.006470954755875713,0.008964139141261374,115,True,True,False
甲,6,20260931,50799,47376,3049,374,0.007702984958770721,0.0064669761383729174,0.008938993779168526,115,True,True,False
甲,7,20260932,50799,47401,3031,367,0.006634913097277262,0.005480292491112192,0.007789533703442332,115,True,True,False
甲,8,20260933,50799,47378,3036,385,0.007691979839236139,0.00639440809289733,0.008989551585574948,115,True,True,False
甲,9,20260934,50799,47337,3083,379,0.006962731379962682,0.005703332058191591,0.008222130701733773,115,True,True,False
甲,10,20260935,50799,47332,3093,374,0.007515509360045569,0.006312544727407437,0.0087184739926837,115,True,True,False
甲,11,20260936,50799,47283,3104,412,0.00796035078128781,0.006636174885802626,0.009284526676772995,115,True,True,False
甲,12,20260937,50799,47361,3051,387,0.007215476298301968,0.005957344344110769,0.008473608252493168,115,True,True,False
甲,13,20260938,50799,47399,2999,401,0.006964209425125143,0.005700633180395586,0.0082277856698547,115,True,True,False
甲,14,20260939,50799,47329,3064,406,0.007291170387608158,0.006078681809118557,0.008503658966097758,115,True,True,False
甲,15,20260940,50799,47389,3043,367,0.00694245380881735,0.005747667595414856,0.008137240022219844,115,True,True,False
甲,16,20260941,50799,47447,3008,344,0.00669870637017027,0.00547139595609851,0.00792601678424203,115,True,True,False
甲,17,20260942,50799,47296,3091,412,0.007331434844704738,0.006085933781136324,0.008576935908273152,115,True,True,False
甲,18,20260943,50799,47375,3047,377,0.0070088334452980796,0.005807032062960703,0.008210634827635456,115,True,True,False
甲,19,20260944,50799,47332,3061,406,0.00758030464977276,0.0064085106971050855,0.008752098602440436,115,True,True,False
甲,20,20260945,50799,47346,3052,401,0.007209668211791486,0.005935548917172194,0.008483787506410777,115,True,True,False
甲,21,20260946,50799,47363,3024,412,0.007595906065040831,0.006209844726506023,0.008981967403575639,115,True,True,False
甲,22,20260947,50799,47332,3041,426,0.006524658043173499,0.0052742254228002544,0.007775090663546743,115,True,True,False
甲,23,20260948,50799,47352,3087,360,0.007219089233964051,0.006007399008591323,0.008430779459336778,115,True,True,False
甲,24,20260949,50799,47369,3043,387,0.007139263805157079,0.00580653632193339,0.008471991288380767,115,True,True,False
甲,25,20260950,50799,47318,3069,412,0.007249176955452082,0.00597447708729755,0.008523876823606613,115,True,True,False
甲,26,20260951,50799,47307,3083,409,0.0073257234724429425,0.006162186534168189,0.008489260410717696,115,True,True,False
甲,27,20260952,50799,47321,3087,391,0.006821449008861999,0.005614116801166089,0.00802878121655791,115,True,True,False
甲,28,20260953,50799,47318,3083,398,0.006855712479273763,0.0056448714940339085,0.008066553464513617,115,True,True,False
甲,29,20260954,50799,47346,3056,397,0.007575782525027317,0.006295970742653241,0.008855594307401394,115,True,True,False
乙,0,20260925,6055,5966,35,54,0.012795639925745408,0.010229655248430624,0.015361624603060193,115,True,True,False
乙,1,20260926,6055,5968,31,56,0.012741854314602057,0.00980219524756031,0.0156815133816438,115,True,True,False
乙,2,20260927,6055,5970,29,56,0.009946787028258996,0.007423775437946378,0.012469798618571615,115,True,True,False
乙,3,20260928,6055,5979,35,41,0.011484121274252223,0.008872296365933249,0.014095946182571198,115,True,True,False
乙,4,20260929,6055,5974,30,51,0.01241201288675115,0.009685152552138235,0.015138873221364065,115,True,True,False
乙,5,20260930,6055,5982,30,43,0.010533728250599115,0.007618417992463586,0.013449038508734645,115,True,True,False
乙,6,20260931,6055,5962,43,50,0.011644078693194473,0.00901846191395101,0.014269695472437935,115,True,True,False
乙,7,20260932,6055,5962,38,55,0.011248229240988398,0.008448775464170196,0.0140476830178066,115,True,True,False
乙,8,20260933,6055,5986,23,46,0.009829642614875097,0.0074175338808621025,0.01224175134888809,115,True,True,False
乙,9,20260934,6055,5985,34,36,0.011832888307197637,0.009262017395383433,0.01440375921901184,115,True,True,False
乙,10,20260935,6055,5984,34,37,0.011462306514219407,0.008940778574693619,0.013983834453745195,115,True,True,False
乙,11,20260936,6055,5983,22,50,0.011670083991641518,0.008985990741034712,0.014354177242248325,115,True,True,False
乙,12,20260937,6055,5978,36,41,0.012040860735533664,0.009142621181447957,0.01493910028961937,115,True,True,False
乙,13,20260938,6055,5969,32,54,0.009755869345688815,0.007156131397816569,0.01235560729356106,115,True,True,False
乙,14,20260939,6055,5974,33,48,0.010737086013371755,0.008150838153055956,0.013323333873687554,115,True,True,False
乙,15,20260940,6055,5979,35,41,0.012237633518503346,0.00971464125430744,0.014760625782699252,115,True,True,False
乙,16,20260941,6055,5990,30,35,0.011685025598732055,0.008915921383339007,0.014454129814125104,115,True,True,False
乙,17,20260942,6055,5981,33,41,0.010364921890756919,0.007691724086951315,0.013038119694562523,115,True,True,False
乙,18,20260943,6055,5986,35,34,0.011046536518526738,0.008527205261715194,0.013565867775338282,115,True,True,False
乙,19,20260944,6055,5990,28,37,0.011401086550816196,0.009002407092888265,0.013799766008744127,115,True,True,False
乙,20,20260945,6055,5982,31,42,0.012926404235726958,0.010502899182762683,0.015349909288691233,115,True,True,False
乙,21,20260946,6055,5975,30,50,0.010705326485593199,0.00775241062723554,0.013658242343950858,115,True,True,False
乙,22,20260947,6055,5966,40,49,0.011785546058570373,0.008927125169252524,0.014643966947888222,115,True,True,False
乙,23,20260948,6055,5984,32,39,0.010589745354158147,0.007892798425623786,0.013286692282692508,115,True,True,False
乙,24,20260949,6055,5974,32,49,0.01182288397177374,0.009049862598623627,0.014595905344923854,115,True,True,False
乙,25,20260950,6055,5978,28,49,0.009599415512407127,0.006913440763095276,0.012285390261718978,115,True,True,False
乙,26,20260951,6055,5960,37,58,0.012115821771435146,0.009389140050656102,0.01484250349221419,115,True,True,False
乙,27,20260952,6055,5968,37,50,0.011650024682924169,0.0090266205179533,0.014273428847895037,115,True,True,False
乙,28,20260953,6055,5973,34,48,0.012301487583166229,0.009483143460608183,0.015119831705724274,115,True,True,False
乙,29,20260954,6055,5977,28,50,0.011004548470000325,0.008025920928780048,0.0139831760112206,115,True,True,False
丙,0,20260925,25642,23555,1875,212,-0.006036256645962689,-0.008886013595960385,-0.003186499695964993,115,True,False,True
丙,1,20260926,25642,23564,1848,230,-0.005903830831388757,-0.008662879184408754,-0.003144782478368761,115,True,False,True
丙,2,20260927,25642,23523,1903,216,-0.005718191828257539,-0.008653228591346127,-0.002783155065168951,115,True,False,True
丙,3,20260928,25642,23553,1863,226,-0.005765340637868845,-0.00851898852250714,-0.003011692753230551,115,True,False,True
丙,4,20260929,25642,23526,1893,223,-0.005206539632877598,-0.008093221967181093,-0.002319857298574102,115,True,False,True
丙,5,20260930,25642,23532,1899,211,-0.005105512547222404,-0.008199170855940555,-0.0020118542385042537,115,True,False,True
丙,6,20260931,25642,23553,1860,229,-0.005737026643561122,-0.008534283691800343,-0.002939769595321902,115,True,False,True
丙,7,20260932,25642,23510,1887,245,-0.005216731723390179,-0.008414137463836013,-0.002019325982944344,115,True,False,True
丙,8,20260933,25642,23496,1925,221,-0.005148292336301282,-0.008092000794980032,-0.002204583877622531,115,True,False,True
丙,9,20260934,25642,23498,1892,252,-0.005805783170763198,-0.008700313081987713,-0.0029112532595386826,115,True,False,True
丙,10,20260935,25642,23511,1875,256,-0.005107604946749444,-0.008182127662495675,-0.002033082231003214,115,True,False,True
丙,11,20260936,25642,23545,1884,213,-0.005775413073050753,-0.008576911599016992,-0.0029739145470845147,115,True,False,True
丙,12,20260937,25642,23558,1863,221,-0.005414788954932152,-0.008507939572968326,-0.0023216383368959773,115,True,False,True
丙,13,20260938,25642,23562,1850,230,-0.005825944167223888,-0.008658814925566043,-0.0029930734088817333,115,True,False,True
丙,14,20260939,25642,23535,1866,241,-0.006044471135552805,-0.009007530249661961,-0.0030814120214436493,115,True,False,True
丙,15,20260940,25642,23528,1861,253,-0.005240286391482292,-0.008161812575982056,-0.002318760206982528,115,True,False,True
丙,16,20260941,25642,23534,1876,232,-0.005291837595762187,-0.008216155648039325,-0.002367519543485049,115,True,False,True
丙,17,20260942,25642,23523,1855,264,-0.005003063185324723,-0.007992572269480391,-0.002013554101169055,115,True,False,True
丙,18,20260943,25642,23490,1882,270,-0.004531939073288298,-0.007506131248292212,-0.0015577468982843836,115,True,False,True
丙,19,20260944,25642,23579,1857,206,-0.0052626955250444345,-0.008072710650388493,-0.0024526803997003753,115,True,False,True
丙,20,20260945,25642,23542,1883,217,-0.004561495892578604,-0.00756277984032065,-0.001560211944836558,115,True,False,True
丙,21,20260946,25642,23473,1955,214,-0.005547529646120102,-0.008547937213301535,-0.002547122078938668,115,True,False,True
丙,22,20260947,25642,23616,1797,229,-0.005292360467892882,-0.008252917938126998,-0.0023318029976587664,115,True,False,True
丙,23,20260948,25642,23506,1883,253,-0.005582161687723436,-0.008294505222258582,-0.00286981815318829,115,True,False,True
丙,24,20260949,25642,23529,1884,229,-0.005101580981581538,-0.007952830896866853,-0.0022503310662962232,115,True,False,True
丙,25,20260950,25642,23509,1911,222,-0.005554185468621322,-0.008378332752553425,-0.0027300381846892203,115,True,False,True
丙,26,20260951,25642,23521,1891,230,-0.005402449510310348,-0.008311287250266267,-0.0024936117703544293,115,True,False,True
丙,27,20260952,25642,23514,1904,224,-0.005258035481279031,-0.008134243086496008,-0.0023818278760620536,115,True,False,True
丙,28,20260953,25642,23535,1886,221,-0.005330130609143848,-0.008222846456484682,-0.0024374147618030145,115,True,False,True
丙,29,20260954,25642,23517,1900,225,-0.005062983669706125,-0.007769838015024972,-0.0023561293243872777,115,True,False,True
