編號,族,格,N,混0050,年化,回落,比值,標籤,出處,N在8～10
13,P1,AND｜N20｜d=inf｜relvol,20,False,0.3612317362788622,-0.32131436013029513,1.1242315349129752,合格,rerun17.csv main,False
1,PREREG10,AND｜regime=True｜N10｜H120,10,False,0.394406557221616,-0.3894268315113051,1.0127873205114948,合格,t1,True
14,P1,AND｜N20｜d=inf｜null,20,False,0.32579095979865424,-0.32548590792016463,1.0009372199258606,合格,rerun17.csv main,False
15,PREREG10,AND｜regime=False｜N20｜H60,20,False,0.32460754998966157,-0.32566197911624695,0.9967621976337342,合格,rerun17.csv main,False
5,P17,R_eq（判定格）,8,True,0.2678297058591341,-0.3270196253806906,0.8190019346617127,合格,rerun17.csv main,True
17,PREREG10,AND｜regime=True｜N20｜H120,20,False,0.31835948731524977,-0.40998284433833443,0.7765190463738688,合格,t1,False
8,P14,w=0.50（＝各半混 0050）,8,True,0.2622450097089257,-0.3415766621879117,0.7677486161646979,合格,rerun17.csv main,True
16,PREREG10,AND｜regime=True｜N20｜H60,20,False,0.288580339924435,-0.3916330642325778,0.7368640860033635,合格,t1,False
4,PREREG10,AND｜regime=True｜N10｜LD,10,False,0.2188399105176808,-0.3173356911544044,0.6896164428324609,不合格,t1,True
12,PREREG10,AND｜regime=False｜N10｜H120,10,False,0.2651422833186021,-0.45494015009745153,0.582806954413249,另列,rerun17.csv main,True
3,P1,AND｜N8｜d=1.0｜relvol,8,False,0.2306575010644485,-0.4494346387838092,0.5132170090151892,不合格,rerun17.csv main,True
9,P1,AND｜N10｜d=inf｜relvol,10,False,0.21145291793471754,-0.4340690765797761,0.4871411702507108,不合格,rerun17.csv main,True
2,P3乙,N≤8｜N8｜d=1.0｜relvol,8,False,0.22603905606589425,-0.4779428625167318,0.4729415873596838,不合格,rerun17.csv main,True
7,PREREG10,AND｜regime=True｜N10｜H60,10,False,0.18000992522296644,-0.4050710117553651,0.44439103268065994,不合格,t1,True
11,P1,AND｜N8｜d=inf｜relvol,8,False,0.17861368704237135,-0.447240913847538,0.39936795027491556,不合格,rerun17.csv main,True
10,P3乙,N≤8｜N8｜d=2.0｜relvol,8,False,0.17834185057327967,-0.4475328767733335,0.3984999981657354,不合格,rerun17.csv main,True
6,P1,AND｜N8｜d=2.0｜relvol,8,False,0.17765829306621805,-0.44724125685588284,0.39723145023596496,不合格,rerun17.csv main,True
