stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b
winonly,3,win,0,7000,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,1,7001,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,2,7002,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,3,7003,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,4,7004,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,5,7005,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,6,7006,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,7,7007,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,8,7008,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,9,7009,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,10,7010,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,11,7011,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,12,7012,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,13,7013,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,14,7014,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,15,7015,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,16,7016,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,17,7017,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
