arm,族,格,種子數,事件數_中位,事件數_合計,log_單日暴跌型_中位,log_單日暴跌型_合計,log_延續下跌型_中位,log_延續下跌型_合計,log_混合型_中位,log_混合型_合計,simple_單日暴跌型_中位,simple_單日暴跌型_合計,simple_延續下跌型_中位,simple_延續下跌型_合計,simple_混合型_中位,simple_混合型_合計,差_單日暴跌型_中位（log−simple）,差_單日暴跌型_合計（log−simple）,差_延續下跌型_中位（log−simple）,差_延續下跌型_合計（log−simple）,差_混合型_中位（log−simple）,差_混合型_合計（log−simple）,換型事件數,換型事件占比,換型_單日暴跌型→延續下跌型,換型_單日暴跌型→混合型,換型_延續下跌型→單日暴跌型,換型_延續下跌型→混合型,換型_混合型→單日暴跌型,換型_混合型→延續下跌型,計數有變的種子數
base,基準,基準臂（加減碼全關）,200,4.0,867,0.0,39,0.0,22,4.0,806,1.0,154,0.0,0,4.0,713,-1.0,-115,0.0,22,0.0,93,137,0.1580161476355248,0,115,0,0,0,22,105
A2,2-A,分批進場 k＝2,200,4.0,817,0.0,44,0.0,31,4.0,742,1.0,150,0.0,0,3.0,667,-1.0,-106,0.0,31,1.0,75,137,0.16768665850673195,0,106,0,0,0,31,110
A3,2-A,分批進場 k＝3,200,4.0,775,0.0,52,0.0,26,4.0,697,1.0,144,0.0,0,3.0,631,-1.0,-92,0.0,26,1.0,66,118,0.15225806451612903,0,92,0,0,0,26,96
Ba,2-B,ⓐ 收盤 ≥ 進場 +15% ⇒ 加 0.5 slot,200,5.0,933,0.0,72,0.0,21,4.0,840,1.0,189,0.0,0,4.0,744,-1.0,-117,0.0,21,0.0,96,138,0.14790996784565916,0,117,0,0,0,21,98
Bb,2-B,ⓑ 貼近 120 日高點三分位 ⇒ 加 0.5 slot,200,4.0,879,0.0,57,0.0,20,4.0,802,1.0,176,0.0,0,4.0,703,-1.0,-119,0.0,20,0.0,99,139,0.15813424345847554,0,119,0,0,0,20,107
Bc,2-B,ⓒ 持有滿 40 根仍為正 ⇒ 加 0.5 slot,200,4.0,859,0.0,44,0.0,21,4.0,794,1.0,159,0.0,0,3.0,700,-1.0,-115,0.0,21,1.0,94,136,0.15832363213038417,0,115,0,0,0,21,101
Ca,2-C,ⓐ 個股 −10% ⇒ 賣一半,200,3.0,623,0.0,35,0.0,24,3.0,564,0.0,88,0.0,0,3.0,535,0.0,-53,0.0,24,0.0,29,77,0.12359550561797752,0,53,0,0,0,24,69
Cc,2-C,ⓒ 0050＜MA60 ⇒ 新部位 1.5 slot（跌破加碼）,200,4.0,887,0.0,59,0.0,13,4.0,815,1.0,178,0.0,0,4.0,709,-1.0,-119,0.0,13,0.0,106,132,0.1488162344983089,0,119,0,0,0,13,103
Cd,2-C,ⓓ 0050＜MA20 ⇒ 新部位 0.5 slot,200,4.0,795,0.0,45,0.0,20,4.0,730,1.0,127,0.0,0,3.0,668,-1.0,-82,0.0,20,1.0,62,102,0.12830188679245283,0,82,0,0,0,20,82
Ce,2-C,ⓔ 0050＜MA10 ⇒ 新部位 0.5 slot,200,4.0,727,0.0,20,0.0,24,3.0,683,0.0,86,0.0,1,3.0,640,0.0,-66,0.0,23,0.0,43,89,0.12242090784044017,0,66,0,0,0,23,75
Cf,2-C,ⓕ 0050 跌破 MA60 ⇒ 手上各賣一半、站回補回,200,3.0,646,0.0,15,0.0,65,3.0,566,0.0,59,0.0,2,3.0,585,0.0,-44,0.0,63,0.0,-19,107,0.16563467492260062,0,44,0,0,0,63,93
Cg,2-C,ⓖ 0050 跌破 MA20 ⇒ 手上各賣一半、站回補回,200,3.0,618,0.0,25,0.0,85,2.0,508,0.0,79,0.0,7,3.0,532,0.0,-54,0.0,78,-1.0,-24,132,0.21359223300970873,0,54,0,0,0,78,103
Ch,2-C,ⓗ 0050 跌破 MA10 ⇒ 手上各賣一半、站回補回,200,3.0,688,0.0,8,0.0,111,3.0,569,0.0,39,0.0,19,3.0,630,0.0,-31,0.0,92,0.0,-61,123,0.17877906976744187,0,31,0,0,0,92,103
Cb_ref,參照,ⓑ 0050＜MA60 ⇒ 新部位 0.5 slot（主窗參照，⛔ 不判、不計 N）,200,4.0,798,0.0,51,0.0,13,4.0,734,1.0,145,0.0,0,3.0,653,-1.0,-94,0.0,13,1.0,81,107,0.13408521303258145,0,94,0,0,0,13,87
