cell,kind,version,r,seed,param,cagr,mdd,vol,expo,x_mult_short,n_rebal,ctrl_cost_total
Ba,mbar,paired,0,99000,1.0471014492753623,0.2224629262032891,-0.42324150963731183,0.2590167765655358,0.8750908127611968,24.0,,
Ba,mbar,median,0,99000,1.0583941605839415,0.22163913722369322,-0.42185601229327163,0.25973598564927974,0.8765431853276647,23.0,,
Ba,mbar,pooled,0,99000,1.058940349087199,0.22162459750779218,-0.4217892894876815,0.25976871984642913,0.8765984496119744,23.0,,
Ba,mbar,paired,1,99001,1.0543478260869565,0.2049995734986334,-0.4014327751021435,0.26624874372953383,0.8733569751580182,24.0,,
Ba,mbar,median,1,99001,1.0583941605839415,0.2043787707030884,-0.4018251866935877,0.266268740021004,0.8736817613237224,24.0,,
Ba,mbar,pooled,1,99001,1.058940349087199,0.20429433660193808,-0.40187822898313336,0.2662725981679368,0.8737258083648408,24.0,,
Ba,mbar,paired,2,99002,1.062043795620438,0.2980519143805995,-0.49202266309577547,0.2722447289475738,0.8724419740836808,23.0,,
Ba,mbar,median,2,99002,1.0583941605839415,0.2794809256957098,-0.4932698074743289,0.2731340110583106,0.8719436967743887,24.0,,
Ba,mbar,pooled,2,99002,1.058940349087199,0.2795691528255404,-0.4930832690510413,0.27316492840620243,0.871964243779253,24.0,,
Ba,mbar,paired,3,99003,1.0625,0.2450102578199025,-0.4286743818507699,0.27713159234125234,0.8743558075390336,25.0,,
Ba,mbar,median,3,99003,1.0583941605839415,0.244358367959421,-0.4288515104426202,0.27687904455086676,0.8740745067468826,25.0,,
Ba,mbar,pooled,3,99003,1.058940349087199,0.24444980593422705,-0.42882805917385636,0.2769134923745903,0.8741122067049274,25.0,,
Ba,mbar,paired,4,99004,1.0588235294117647,0.3380349599780579,-0.41369384467291787,0.2612110676404818,0.8755513991265554,25.0,,
Ba,mbar,median,4,99004,1.0583941605839415,0.33793395283321703,-0.4136762418504227,0.2611956441837621,0.8755223485888523,25.0,,
Ba,mbar,pooled,4,99004,1.058940349087199,0.3380624374784711,-0.41369863380262994,0.26121527737914896,0.8755593037017678,25.0,,
Ba,mbar,paired,5,99005,1.0583941605839415,0.26031468659175294,-0.4883337946372385,0.27389956805436405,0.8769006912653738,24.0,,
Ba,mbar,median,5,99005,1.0583941605839415,0.26031468659175294,-0.4883337946372385,0.27389956805436405,0.8769006912653738,24.0,,
Ba,mbar,pooled,5,99005,1.058940349087199,0.2601642235365649,-0.4882469306915149,0.2739139041106768,0.8769939694738809,24.0,,
Ba,mbar,paired,6,99006,1.0583941605839415,0.1873503285439344,-0.41077133592010406,0.25844841846769656,0.8749772424249042,24.0,,
Ba,mbar,median,6,99006,1.0583941605839415,0.1873503285439344,-0.41077133592010406,0.25844841846769656,0.8749772424249042,24.0,,
Ba,mbar,pooled,6,99006,1.058940349087199,0.1872990166213231,-0.4108806210080967,0.25849769506166814,0.8750691906452125,24.0,,
Ba,mbar,paired,7,99007,1.0514705882352942,0.261370622427634,-0.4395386068805707,0.27665734371272127,0.88186692570935,23.0,,
Ba,mbar,median,7,99007,1.0583941605839415,0.26211121374094914,-0.4405962326474854,0.2770100040796981,0.8826618232208414,23.0,,
Ba,mbar,pooled,7,99007,1.058940349087199,0.26217091714824314,-0.44067943050732306,0.27703823203590755,0.8827238481711388,23.0,,
Ba,mbar,paired,8,99008,1.0588235294117647,0.440443695836767,-0.5571084559997688,0.2943831740385599,0.8788569156832043,23.0,,
Ba,mbar,median,8,99008,1.0583941605839415,0.4404515510796716,-0.5571646661375245,0.2943370450527815,0.8787898004415461,23.0,,
Ba,mbar,pooled,8,99008,1.058940349087199,0.44044154999638074,-0.5570931503412018,0.29439573770979754,0.8788751792439252,23.0,,
Ba,mbar,paired,9,99009,1.0471014492753623,0.3626426541934977,-0.4230785697819609,0.2809981693921488,0.8804865197897317,26.0,,
Ba,mbar,median,9,99009,1.0583941605839415,0.3668050897539008,-0.4243752132172737,0.2815755351392446,0.8815921026977874,27.0,,
Ba,mbar,pooled,9,99009,1.058940349087199,0.36700884622129437,-0.4244768420454926,0.2816057101435239,0.8816470860245125,27.0,,
Ba,mbar,paired,10,99010,1.0551470588235294,0.17250997631054843,-0.4484344532266759,0.2605721469443234,0.8792296094010219,25.0,,
