vid,型態,族,根數,事前,d,T1,原始_H20,純合併後_H20,合併掉_H20,剔除_硬斷點_H20,剔除_停牌_H20,剔除_開盤漲停_H20,剔除_開盤跌停_H20,保留_H20,保留_另一順序_H20,相異檔數_H20,有事件曆月_H20,n_eff上限_H20,可能出口_H20,每檔每年_H20,上市_H20,上櫃_H20,原始_H60,純合併後_H60,合併掉_H60,剔除_硬斷點_H60,剔除_停牌_H60,剔除_開盤漲停_H60,剔除_開盤跌停_H60,保留_H60,保留_另一順序_H60,相異檔數_H60,有事件區段_H60,n_eff上限_H60,可能出口_H60,每檔每年_H60,上市_H60,上櫃_H60,原始_H120,純合併後_H120,合併掉_H120,剔除_硬斷點_H120,剔除_停牌_H120,剔除_開盤漲停_H120,剔除_開盤跌停_H120,保留_H120,保留_另一順序_H120,相異檔數_H120,有事件區段_H120,n_eff上限_H120,可能出口_H120,每檔每年_H120,上市_H120,上櫃_H120,H20_2017年,H20_2018年,H20_2019年,H20_2020年,H20_2021年,H20_2022年,H20_2023年,H20_2024年,H20_2025年,H20_2026年,可判定_H20,可判定_H60
K01,三隻烏鴉,K,3,升,-1,過,625,597,28,2,0,1,0,594,594,497,106,106,①②③,0.0359,333,261,618,591,27,4,0,1,0,586,586,490,38,38,①②,0.0361,326,260,605,578,27,10,0,1,0,567,567,477,19,19,只描述（H120 依構造只到①）,0.036,314,253,67,55,52,36,56,36,102,79,80,31,True,True
K02,昏星,K,3,升,-1,過,414,410,4,6,3,1,2,398,399,345,104,104,①②③,0.024,209,189,386,382,4,13,3,1,2,363,364,318,38,38,①②,0.0224,196,167,369,365,4,21,3,1,2,338,339,300,19,19,只描述（H120 依構造只到①）,0.0214,189,149,25,32,42,44,37,51,44,33,38,52,True,True
K03,倒鎚（兩根）,K,2,降,-1,過,1717,1678,39,46,58,7,58,1509,1513,981,113,113,①②③,0.0912,672,837,1692,1654,38,85,47,6,57,1459,1463,960,38,38,①②,0.0899,660,799,1654,1618,36,126,39,6,55,1392,1396,935,19,19,只描述（H120 依構造只到①）,0.0883,632,760,116,147,150,208,115,175,138,168,226,66,True,True
K04,相同低點,K,2,降,-1,過,69510,44193,25317,107,160,19,19,43888,43942,2027,113,113,①②③,2.6519,24549,19339,68529,43502,25027,337,145,18,19,42983,43035,2016,38,38,①②,2.6483,24100,18883,66457,42230,24227,684,134,17,19,41376,41425,2000,19,19,只描述（H120 依構造只到①）,2.6239,23217,18159,4238,4812,4449,3886,4279,4533,4568,5231,5172,2720,True,True
K05,跳空雙黑線,K,2,降,-1,過,19875,16416,3459,47,68,121,44,16136,16161,1995,113,113,①②③,0.975,8829,7307,19340,15959,3381,171,63,121,41,15563,15586,1981,38,38,①②,0.9589,8555,7008,18730,15468,3262,331,51,118,41,14927,14949,1965,19,19,只描述（H120 依構造只到①）,0.9466,8211,6716,851,1916,1047,1709,1468,2749,1090,2335,1783,1188,True,True
K06,空頭Breakaway,K,5,升,-1,過,65,65,0,0,0,1,0,64,64,63,45,45,①②,0.0039,36,28,63,63,0,0,0,1,0,62,62,61,29,29,依構造不可判定,0.0038,34,28,62,62,0,0,0,1,0,61,61,60,19,19,只描述（H120 依構造只到①）,0.0039,34,27,7,6,9,5,6,6,5,4,12,4,True,False
K07,晨星,K,3,降,1,過,485,485,0,3,9,0,0,473,473,405,105,105,①②③,0.0286,267,206,469,469,0,6,8,0,0,455,455,389,38,38,①②,0.028,261,194,452,452,0,10,8,0,0,434,434,373,19,19,只描述（H120 依構造只到①）,0.0275,248,186,20,30,28,53,47,58,25,47,123,42,True,True
K08,貫穿線,K,2,降,1,過,2454,2418,36,10,23,5,2,2378,2379,1314,113,113,①②③,0.1437,1275,1103,2407,2371,36,27,20,5,2,2317,2318,1296,38,38,①②,0.1428,1242,1075,2360,2324,36,58,18,4,1,2243,2244,1277,19,19,只描述（H120 依構造只到①）,0.1422,1206,1037,156,283,216,267,388,309,177,250,226,106,True,True
K09,三明治線,K,3,降,-1,過,19962,17367,2595,28,38,6,17,17278,17283,1976,113,113,①②③,1.044,10209,7069,19686,17119,2567,108,36,6,15,16954,16959,1966,38,38,①②,1.0446,10022,6932,19165,16667,2498,217,33,6,15,16396,16401,1949,19,19,只描述（H120 依構造只到①）,1.0398,9683,6713,1824,1771,1760,1497,1788,1656,1856,2220,1921,985,True,True
K10,Thrusting,K,2,降,1,過,5890,5707,183,21,49,3,2,5632,5634,1752,113,113,①②③,0.3403,3019,2613,5768,5587,181,50,49,3,2,5483,5485,1734,38,38,①②,0.3378,2950,2533,5645,5465,180,107,46,2,2,5308,5310,1710,19,19,只描述（H120 依構造只到①）,0.3366,2863,2445,367,581,526,621,692,844,493,583,619,306,True,True
