r,D,lo,hi,CI不含0,b_30,b_38.2,b_45,b_50,b_55,b_61.8,b_70,n_30,n_38.2,n_45,n_50,n_55,n_61.8,n_70
0,0.0014239770806104834,-0.00663131836460972,0.009479272525830687,False,0.5072258064516129,0.5059868675164156,0.5018114341256517,0.5091021562389537,0.5006410256410256,0.4956660356680283,0.4879316318281557,7750,10356,11317,11316,10920,10037,8659
1,0.002614406932148372,-0.005551444606877336,0.01078025847117408,False,0.5140066820868672,0.5081571580268366,0.49684247976518725,0.5068877774853031,0.5011292799710905,0.4949014949014949,0.48368123630492443,7782,10359,11243,11397,11069,10101,8671
2,-0.004491721617764427,-0.012677437636169277,0.0036939944006404227,False,0.5155566983800463,0.5046574810789831,0.5049356601445444,0.5055801594331266,0.5064424746413232,0.4936018252157524,0.48755066589461493,7778,10306,11346,11290,10943,10081,8635
3,0.006454981522889827,-0.001228905533565013,0.014138868579344668,False,0.5079735511474135,0.5140077821011673,0.4987649964714185,0.5010179693723997,0.502500682004183,0.4945164506480558,0.4819893097838717,7713,10280,11336,11297,10997,10030,8606
4,-0.008494196864270803,-0.017055896656335265,6.750292779366014e-05,False,0.5176348547717843,0.49826823167211853,0.5036009134024241,0.5032576157774256,0.502747500225205,0.4927493341225215,0.4920286506469501,7712,10394,11386,11358,11101,10137,8656
5,0.011102522772583653,0.003152700594616944,0.019052344950550363,True,0.5149669560710121,0.5154392021480629,0.4991175432403812,0.504702469895403,0.4893597588820897,0.49975434803969737,0.48253275109170307,7717,10428,11332,11377,10949,10177,8702
6,-0.00595000559159535,-0.014620935205488622,0.0027209240222979218,False,0.5168105114002318,0.5028991109393119,0.5052028218694885,0.5031115785783153,0.5014911884319928,0.49550972071449717,0.4971131639722864,7763,10348,11340,11409,11065,10133,8660
7,-0.0015149100776636892,-0.009784030663176619,0.00675421050784924,False,0.5281780751415337,0.5090133746850165,0.49858407079646017,0.49920732781398625,0.5016027108709589,0.49403578528827036,0.48379310344827586,7772,10318,11300,11354,10919,10060,8700
8,0.00035528391557435035,-0.008358440648268664,0.009069008479417365,False,0.5209223992745174,0.5057930094440658,0.4990738290553056,0.49800301766219934,0.5005910702918978,0.4957079427725703,0.48099347014925375,7719,10271,11337,11267,10997,10135,8576
9,-0.003144279403915179,-0.011968324968296742,0.005679766160466384,False,0.5190938511326861,0.5123982766874102,0.5069865541787504,0.5102364984115778,0.5034025950458216,0.4912943985673067,0.4904794677678367,7725,10445,11379,11332,11021,10051,8718
10,0.001535582401027899,-0.008019298813127086,0.011090463615182884,False,0.518143351711758,0.5058043117744611,0.5035504514771632,0.5035667107001321,0.492516882642818,0.497869388564067,0.4869943852412055,7799,10251,11407,11355,10958,10091,8727
11,0.004694768506682739,-0.003531365937916293,0.012920902951281772,False,0.5035470140590739,0.5086615697280558,0.5048663953282605,0.5016684229012996,0.49240205053094105,0.4955026193535633,0.48873384421823174,7753,10333,11302,11388,10924,10117,8743
12,-0.0032353482579676324,-0.011998036290023007,0.005527339774087743,False,0.5243622448979591,0.5119821480547201,0.4982200071199715,0.5056639944231439,0.5051319648093842,0.4899990146812494,0.4891895016764944,7840,10307,11236,11476,10912,10149,8649
13,0.0026630548497692114,-0.004518807093692316,0.009844916793230738,False,0.5140330642060746,0.507409545804465,0.4973182097951288,0.5031429836210712,0.4942256979176139,0.4960078856579596,0.4906056716069553,7803,10392,11373,11295,10997,10145,8569
