畫法,版本,r,抽出,保留,剔除_硬斷點,剔除_T+1停牌,平均X,中位X,lo,hi,n_eff,判過,判過_正,判過_負
甲,新預設_只排除過去20日,0,17365,17362,3,0,0.00016746157585918365,-0.0007134088198528683,-0.0010690112230867777,0.0014039343748051452,133,False,False,False
甲,新預設_只排除過去20日,1,17365,17363,2,0,0.0003763326617477233,-0.000738799349845832,-0.0009773789306967585,0.001730044254192205,133,False,False,False
甲,新預設_只排除過去20日,2,17365,17362,3,0,-0.00031257088106513933,-0.0016627436704289736,-0.0014765282729344935,0.0008513865108042149,133,False,False,False
甲,新預設_只排除過去20日,3,17365,17359,5,1,-0.00132373222342618,-0.0018856929733281312,-0.002431204437957378,-0.0002162600088949822,133,True,False,True
甲,新預設_只排除過去20日,4,17365,17359,5,1,-0.0006422925838940279,-0.0015808005269285566,-0.0019030539211272327,0.0006184687533391768,133,False,False,False
甲,新預設_只排除過去20日,5,17365,17364,1,0,0.00022933395728183515,-0.0006600798108380393,-0.0010011086739067764,0.0014597765884704467,133,False,False,False
甲,新預設_只排除過去20日,6,17365,17359,4,2,-0.0006616507408911732,-0.001961404908910469,-0.0019574503943932333,0.0006341489126108868,133,False,False,False
甲,新預設_只排除過去20日,7,17365,17363,1,1,-0.0005432599383725794,-0.0015685265988680669,-0.0017388796160013155,0.0006523597392561566,133,False,False,False
甲,新預設_只排除過去20日,8,17365,17358,6,1,-0.0017298156317429535,-0.0028957689002217877,-0.002843432259044154,-0.000616199004441753,133,True,False,True
甲,新預設_只排除過去20日,9,17365,17361,3,1,-0.0002767426770589744,-0.0014807749598703193,-0.001473102720845667,0.0009196173667277182,133,False,False,False
甲,新預設_只排除過去20日,10,17365,17360,5,0,-0.0007449406008855527,-0.001574463754276209,-0.0020070024731040055,0.0005171212713329,133,False,False,False
甲,新預設_只排除過去20日,11,17365,17357,5,3,0.0006354235484435264,-0.0012287475875195015,-0.0006065653107041852,0.0018774124075912378,133,False,False,False
甲,新預設_只排除過去20日,12,17365,17362,1,2,-0.00037593827779252675,-0.001942553530660118,-0.0016981386660918619,0.0009462621105068084,133,False,False,False
甲,新預設_只排除過去20日,13,17365,17361,3,1,-0.0012275777750290033,-0.0027052730582544336,-0.002253418482821401,-0.00020173706723660562,133,True,False,True
甲,新預設_只排除過去20日,14,17365,17362,3,0,0.0005621554248776918,-0.00041342689263645406,-0.0005280987419715181,0.0016524095917269017,133,False,False,False
甲,新預設_只排除過去20日,15,17365,17361,4,0,0.0002552634691423842,-0.0013817012306232626,-0.0009842674370778147,0.001494794375362583,133,False,False,False
甲,新預設_只排除過去20日,16,17365,17360,5,0,-0.000374812315249142,-0.0011246732777386564,-0.0016163154271842985,0.0008666907966860146,133,False,False,False
甲,新預設_只排除過去20日,17,17365,17359,4,2,0.0006751516544339638,-0.00024285227663947,-0.000530340746223303,0.0018806440550912305,133,False,False,False
甲,新預設_只排除過去20日,18,17365,17361,4,0,0.0011488225344108158,-0.00035643854766579525,9.184870304767678e-06,0.002288460198516864,133,True,True,False
甲,新預設_只排除過去20日,19,17365,17362,3,0,-0.00010912075832760722,-0.0012136683577425745,-0.0013897264028286834,0.001171484886173469,133,False,False,False
甲,新預設_只排除過去20日,20,17365,17359,6,0,0.0002889310886491928,-0.0008832910155749888,-0.0009472598833121672,0.0015251220606105529,133,False,False,False
甲,新預設_只排除過去20日,21,17365,17359,6,0,0.000597985845562162,-0.0005793590031643314,-0.000491115994840768,0.0016870876859650921,133,False,False,False
甲,新預設_只排除過去20日,22,17365,17360,4,1,-0.0009329768880167885,-0.0025871504528201562,-0.0022242669885837243,0.0003583132125501474,133,False,False,False
甲,新預設_只排除過去20日,23,17365,17362,2,1,-0.0009432730265002157,-0.002138705181222599,-0.002224026984445449,0.0003374809314450176,133,False,False,False
