畫法,版本,r,抽出,保留,合併掉,剔除,平均X,中位X,lo,hi,n_eff,判過,判過_正,判過_負
甲,同檔同月（描述）,0,17365,16282,1083,0,0.007149093727766705,0.005184007642846281,0.005580914201014767,0.008717273254518643,133,True,True,False
甲,同檔同月（描述）,1,17365,16262,1102,1,0.006569319393927484,0.004324504851816541,0.005031827065812932,0.008106811722042036,133,True,True,False
甲,同檔同月（描述）,2,17365,16247,1118,0,0.006654496940823943,0.004445733407586709,0.0051114542994073735,0.008197539582240513,133,True,True,False
甲,同檔同月（描述）,3,17365,16304,1060,1,0.006343399850960384,0.004089438539480274,0.004817431873873251,0.007869367828047518,133,True,True,False
甲,同檔同月（描述）,4,17365,16244,1121,0,0.006200227337357033,0.004108171217417834,0.004659577163758345,0.007740877510955721,133,True,True,False
甲,同檔同月（描述）,5,17365,16271,1094,0,0.006679574024471433,0.004759179905093048,0.00503226229290293,0.008326885756039936,133,True,True,False
甲,同檔同月（描述）,6,17365,16279,1084,2,0.006794688644262437,0.004449769894690939,0.005098595786084686,0.008490781502440188,133,True,True,False
甲,同檔同月（描述）,7,17365,16283,1082,0,0.007336202137695747,0.004672153794291353,0.005672703712456699,0.008999700562934795,133,True,True,False
甲,同檔同月（描述）,8,17365,16321,1044,0,0.006542797470052456,0.004299271931667126,0.0049233976260254905,0.00816219731407942,133,True,True,False
甲,同檔同月（描述）,9,17365,16272,1093,0,0.006176824931694134,0.003817778705611166,0.004575378491207149,0.007778271372181119,133,True,True,False
甲,同檔同月（描述）,10,17365,16273,1092,0,0.006791658885917994,0.0049113536727066615,0.005225105078351798,0.00835821269348419,133,True,True,False
甲,同檔同月（描述）,11,17365,16312,1052,1,0.006450618428963607,0.004390403171160466,0.004964323299927355,0.007936913557999858,133,True,True,False
甲,同檔同月（描述）,12,17365,16284,1081,0,0.005991117603228475,0.004055219043685776,0.004582186548804578,0.007400048657652371,133,True,True,False
甲,同檔同月（描述）,13,17365,16283,1081,1,0.006605770732341396,0.0046449558667106886,0.005118615573346051,0.008092925891336741,133,True,True,False
甲,同檔同月（描述）,14,17365,16271,1094,0,0.006210275291192428,0.004395695592463902,0.004626681796851943,0.007793868785532914,133,True,True,False
甲,同檔同月（描述）,15,17365,16308,1057,0,0.006620681097072343,0.004011728055236773,0.0050460721676244,0.008195290026520285,133,True,True,False
甲,同檔同月（描述）,16,17365,16315,1050,0,0.006944155710456301,0.004583759728195785,0.005433351674774017,0.008454959746138585,133,True,True,False
甲,同檔同月（描述）,17,17365,16242,1123,0,0.007066408512971297,0.00479471766249673,0.005420145875535976,0.00871267115040662,133,True,True,False
甲,同檔同月（描述）,18,17365,16294,1071,0,0.00703193339272761,0.00512663030809919,0.0055122201158063445,0.008551646669648874,133,True,True,False
甲,同檔同月（描述）,19,17365,16279,1086,0,0.0067774240493571666,0.004848049666293652,0.005147995895132136,0.008406852203582197,133,True,True,False
甲,同檔同月（描述）,20,17365,16304,1060,1,0.006087427870184907,0.004168769100110416,0.004534871298339965,0.007639984442029849,133,True,True,False
甲,同檔同月（描述）,21,17365,16315,1049,1,0.007186751017968698,0.004728396629489734,0.005508218352501719,0.008865283683435676,133,True,True,False
甲,同檔同月（描述）,22,17365,16274,1090,1,0.007231808066818607,0.004506198870701769,0.0056389744122711735,0.008824641721366041,133,True,True,False
甲,同檔同月（描述）,23,17365,16283,1081,1,0.006975207557069753,0.00495671215899935,0.005404805823034076,0.00854560929110543,133,True,True,False
甲,同檔同月（描述）,24,17365,16285,1079,1,0.007113767886908529,0.005134455697213401,0.005598393307598542,0.008629142466218516,133,True,True,False
甲,同檔同月（描述）,25,17365,16269,1095,1,0.006892873623325238,0.004561446925322038,0.0053474811735530065,0.008438266073097469,133,True,True,False
甲,同檔同月（描述）,26,17365,16259,1106,0,0.006285001631355658,0.004165367905854228,0.004867071404821225,0.007702931857890091,133,True,True,False
甲,同檔同月（描述）,27,17365,16295,1069,1,0.0066899937732877125,0.0043152884783264275,0.005044279668639068,0.008335707877936357,133,True,True,False
甲,同檔同月（描述）,28,17365,16293,1072,0,0.007127357406604866,0.004342136238857503,0.005587615850727849,0.008667098962481884,133,True,True,False
甲,同檔同月（描述）,29,17365,16237,1128,0,0.006604688771926837,0.005064617971341896,0.005108786156420674,0.008100591387433,133,True,True,False
乙,同檔同月（描述）,0,2227,2205,22,0,0.008410314959465853,0.0092699354317613,0.004927780405282928,0.011892849513648777,133,True,True,False
乙,同檔同月（描述）,1,2227,2212,15,0,0.008201468478401476,0.007669710726827235,0.004903488297190258,0.011499448659612695,133,True,True,False
乙,同檔同月（描述）,2,2227,2213,14,0,0.006756372695429235,0.006900706841050026,0.003170597453364793,0.010342147937493678,133,True,True,False
乙,同檔同月（描述）,3,2227,2211,16,0,0.006967332101940782,0.006289062351718371,0.003438763405334931,0.010495900798546632,133,True,True,False
乙,同檔同月（描述）,4,2227,2210,17,0,0.009441931802349831,0.006510646007032611,0.005788008795096694,0.013095854809602969,133,True,True,False
乙,同檔同月（描述）,5,2227,2206,21,0,0.008584373295630124,0.006805318170644607,0.004635511036494102,0.012533235554766146,133,True,True,False
乙,同檔同月（描述）,6,2227,2211,15,1,0.006966302225931446,0.006436918271708435,0.003227879530065238,0.010704724921797654,133,True,True,False
乙,同檔同月（描述）,7,2227,2212,15,0,0.006109795407691757,0.006244195171124612,0.0027089020109197924,0.009510688804463723,133,True,True,False
乙,同檔同月（描述）,8,2227,2215,12,0,0.006750315786206082,0.007497792086863112,0.0031636630821193887,0.010336968490292775,133,True,True,False
乙,同檔同月（描述）,9,2227,2212,15,0,0.006708924419000311,0.006569607572000898,0.0032613654262954365,0.010156483411705185,133,True,True,False
乙,同檔同月（描述）,10,2227,2214,13,0,0.006456387117066275,0.0049757649285777274,0.003067149225276546,0.009845625008856005,133,True,True,False
乙,同檔同月（描述）,11,2227,2215,11,1,0.006574618572614496,0.00477533368102008,0.0030228574410906014,0.01012637970413839,133,True,True,False
乙,同檔同月（描述）,12,2227,2213,14,0,0.006140446040381654,0.005267794662294999,0.0028603879986535967,0.009420504082109711,133,True,True,False
乙,同檔同月（描述）,13,2227,2213,14,0,0.006474374941073521,0.006908046264710208,0.002577233680847835,0.010371516201299207,133,True,True,False
乙,同檔同月（描述）,14,2227,2213,14,0,0.004701452296176736,0.0033599787072926338,0.0015699477390670401,0.007832956853286431,133,True,True,False
乙,同檔同月（描述）,15,2227,2210,17,0,0.006857292161573369,0.005754648119349075,0.0030519534949302158,0.010662630828216522,133,True,True,False
乙,同檔同月（描述）,16,2227,2211,16,0,0.0077825587338193935,0.005999329669437468,0.003931362906815348,0.01163375456082344,133,True,True,False
乙,同檔同月（描述）,17,2227,2212,15,0,0.008445348366937354,0.0077453461772794266,0.00477782873987154,0.012112867994003167,133,True,True,False
乙,同檔同月（描述）,18,2227,2212,14,1,0.0075079377822417125,0.005607664547623138,0.003942646834345172,0.011073228730138253,133,True,True,False
乙,同檔同月（描述）,19,2227,2211,16,0,0.005924539282759579,0.0028177395949823825,0.002472206889142428,0.00937687167637673,133,True,True,False
乙,同檔同月（描述）,20,2227,2212,15,0,0.0079928788187823,0.006042256225155445,0.004340942029987971,0.01164481560757663,133,True,True,False
乙,同檔同月（描述）,21,2227,2214,13,0,0.007814262714825118,0.0067932164900374545,0.004386165605219488,0.011242359824430748,133,True,True,False
乙,同檔同月（描述）,22,2227,2208,19,0,0.007228726647963429,0.006989655941614612,0.003756251045072103,0.010701202250854755,133,True,True,False
