型,sid,T,十分位,池_程式,池_另算,對照_程式,對照_另算,相符
w,8271,2020-03-05,8,152,152,6124,6124,True
box,3706,2020-02-20,4,152,152,2348,2348,True
box,6894,2024-01-12,5,170,170,6703,6703,True
box,6873,2023-12-25,6,168,168,6830,6830,True
box,6275,2022-06-15,6,154,154,3305,3305,True
w,2371,2021-08-20,7,156,156,6202,6202,True
box,3019,2020-12-11,6,154,154,2431,2431,True
box,3294,2024-09-03,7,167,167,8489,8489,True
w,2425,2026-01-19,6,169,169,4702,4702,True
box,4924,2024-04-24,7,167,167,5243,5243,True
box,2421,2018-08-31,6,143,143,5351,5351,True
box,3265,2023-05-29,7,160,160,6654,6654,True
box,8930,2021-04-12,5,162,162,6271,6271,True
w,5398,2024-03-05,9,167,167,3712,3712,True
box,3675,2020-04-15,4,153,153,6609,6609,True
box,4976,2025-06-26,6,168,168,4744,4744,True
box,8096,2019-12-20,8,152,152,3653,3653,True
box,5474,2018-06-13,6,147,147,6541,6541,True
hs,6148,2017-09-07,7,140,140,1710,1710,True
box,3144,2017-09-05,9,133,133,3041,3041,True
hs,3714,2021-06-15,3,157,157,4123,4123,True
box,3060,2019-01-29,7,145,145,2327,2327,True
box,3512,2023-11-22,5,162,162,4116,4116,True
box,3268,2019-09-25,9,131,131,2360,2360,True
w,8043,2022-07-18,6,154,154,4912,4912,True
box,1514,2017-10-03,5,147,147,5315,5315,True
w,8183,2017-10-12,8,143,143,6104,6104,True
w,6125,2024-04-19,9,170,170,8033,8033,True
w,3611,2018-01-08,5,145,145,6141,6141,True
hs,2722,2022-06-23,7,151,151,6768,6768,True
