r,格,n,D,lo,hi,判過
1,甲_box_H60,10238,0.04747020902520024,0.03949412862443702,0.055446289425963455,True
1,甲_box_H120,10238,0.03233053330728658,0.02545279838899161,0.03920826822558155,True
1,甲_cup_H60,127,-0.031496062992125984,-0.13836701983472555,0.07537489385047358,False
1,甲_cup_H120,127,0.031496062992125984,-0.07037965563569362,0.1333717816199456,False
1,甲_w_H60,4251,0.09809456598447425,0.0786260764201121,0.11756305554883639,True
1,甲_w_H120,4251,0.07104210773935545,0.05366916018484187,0.08841505529386902,True
1,甲_hs_H60,2709,0.06459948320413436,0.03278594303717556,0.09641302337109317,True
1,甲_hs_H120,2709,0.04540420819490587,0.017963850887228735,0.072844565502583,True
1,甲_flag_H60,828,0.09178743961352658,0.04428175145475947,0.1392931277722937,True
1,甲_flag_H120,828,0.09057971014492754,0.04352614735137883,0.13763327293847624,True
1,乙_box,150636,-0.010162908320612963,-0.011081868024302763,-0.009243948616923164,True
1,乙_cup,397,0.0017410658516391951,-0.012172336937894665,0.015654468641173057,False
1,乙_w,18277,-0.01363611820802518,-0.01627862144054494,-0.010993614975505418,True
1,乙_hs,5022,-0.008918605081959876,-0.013641827067961687,-0.004195383095958064,True
1,乙_flag,3603,-0.0049606803181554,-0.01182185626157508,0.00190049562526428,False
1,乙_trend,45169,-0.008442355465429834,-0.009712765073765974,-0.0071719458570936945,True
2,甲_box_H60,10238,0.04336784528228169,0.03439571460401318,0.052339975960550206,True
2,甲_box_H120,10238,0.031744481344012504,0.02360911468380543,0.03987984800421958,True
2,甲_cup_H60,127,0.03937007874015748,-0.07213108497560429,0.15087124245591926,False
2,甲_cup_H120,127,0.08661417322834646,-0.02298778970553292,0.19621613616222583,False
2,甲_w_H60,4251,0.09997647612326512,0.0809751018384751,0.11897785040805513,True
2,甲_w_H120,4251,0.06704304869442484,0.05029018224849076,0.08379591514035893,True
2,甲_hs_H60,2709,0.06312292358803986,0.03509025728647315,0.09115558988960658,True
2,甲_hs_H120,2709,0.056847545219638244,0.0336622286861264,0.08003286175315008,True
2,甲_flag_H60,828,0.08816425120772947,0.05041683996017673,0.1259116624552822,True
2,甲_flag_H120,828,0.10265700483091787,0.061222472734825326,0.14409153692701043,True
2,乙_box,150636,-0.010315149713908437,-0.01122939409047865,-0.009400905337338223,True
2,乙_cup,397,-0.002366756131719476,-0.01276711923691284,0.00803360697347389,False
2,乙_w,18277,-0.013425931323636075,-0.015948918060744305,-0.010902944586527845,True
2,乙_hs,5022,-0.008627153350635004,-0.0128606421710576,-0.004393664530212406,True
2,乙_flag,3603,-0.006583237624242363,-0.013088244718092714,-7.823053039201187e-05,True
2,乙_trend,45169,-0.008663820697951331,-0.009950155931202152,-0.00737748546470051,True
3,甲_box_H60,10238,0.044442273881617506,0.036657909030930615,0.052226638732304397,True
3,甲_box_H120,10238,0.032721234616135964,0.0257958735839589,0.03964659564831303,True
3,甲_cup_H60,127,0.05511811023622047,-0.0658464871234497,0.17608270759589065,False
3,甲_cup_H120,127,0.03937007874015748,-0.07108333281954626,0.14982349029986122,False
3,甲_w_H60,4251,0.11832509997647613,0.09731219436977387,0.13933800558317838,True
3,甲_w_H120,4251,0.0776287932251235,0.057887279468506025,0.09737030698174098,True
3,甲_hs_H60,2709,0.07198228128460686,0.04677063816740743,0.0971939244018063,True
3,甲_hs_H120,2709,0.05094130675526024,0.025702975807493214,0.07617963770302727,True
3,甲_flag_H60,828,0.08454106280193237,0.02814269800580576,0.14093942759805897,True
3,甲_flag_H120,828,0.06763285024154589,0.014410122815511753,0.12085557766758002,True
3,乙_box,150636,-0.01036597533466223,-0.011209400623435065,-0.009522550045889394,True
3,乙_cup,397,-0.005262750211383306,-0.01488150699043669,0.004356006567670079,False
