窗鍵,組
R201703,中
R201704,中
R201705,中
R201706,中
R201707,低
R201708,低
R201709,低
R201710,中
R201711,低
R201712,低
R201801,低
R201802,低
R201803,低
R201804,低
R201805,低
R201806,低
R201807,低
R201808,低
R201809,低
R201810,低
R201811,中
R201812,中
R201901,高
R201902,中
R201903,中
R201904,低
R201905,低
R201906,中
R201907,中
R201908,中
R201909,高
R201910,中
R201911,中
R201912,中
R202001,中
R202002,高
R202003,高
R202004,高
R202005,高
R202006,高
R202007,高
R202008,高
R202009,高
R202010,高
R202011,高
R202012,中
R202101,中
R202102,中
R202103,低
R202104,低
R202105,低
R202106,低
R202107,低
R202108,低
R202109,低
R202110,低
R202111,低
R202112,低
R202201,低
R202202,低
R202203,低
R202204,低
R202205,低
R202206,低
R202207,中
R202208,中
R202209,中
R202210,中
R202211,中
R202212,中
R202301,中
R202302,中
R202303,中
R202304,高
R202305,高
R202306,高
R202307,高
R202308,高
R202309,高
R202310,高
R202311,高
R202312,高
R202401,高
R202402,高
R202403,高
R202404,中
R202405,中
R202406,低
R202407,低
R202408,中
R202409,中
R202410,中
R202411,高
R202412,中
R202501,高
R202502,高
R202503,高
R202504,高
R202505,高
R202506,高
R202507,高
R202508,高
R202509,高
