r,天數_營飆有持股,天數_營飆空手,重疊÷營飆_逐日均值,重疊÷營飆_逐日中位,重疊÷#13_逐日均值,重疊÷#13_逐日中位,同時持有檔數_逐日均值,營飆持股數_逐日均值,#13持股數_逐日均值,營飆進場數,營飆進場_同檔同週也在#13進場,#13進場_同檔同週也在營飆進場
0,2156,157,0.3446962334717437,0.3,0.1736865660634307,0.10526315789473684,2.7648076091655858,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
1,2156,157,0.344725130311865,0.2857142857142857,0.17350314655479304,0.1,2.762645914396887,8.38651102464332,17.830955469087765,163,0.5337423312883436,0.12446351931330472
2,2156,157,0.34476396619253763,0.2857142857142857,0.17387231604367023,0.1,2.7652399481193255,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
3,2156,157,0.34784690932650114,0.2857142857142857,0.17481259138349725,0.1,2.78988326848249,8.386078685689581,17.830955469087765,163,0.5153374233128835,0.12017167381974249
4,2156,157,0.3421065612392143,0.2857142857142857,0.17215221569680578,0.1,2.7367055771725033,8.386078685689581,17.830955469087765,163,0.50920245398773,0.11874105865522175
5,2156,157,0.34732529375386517,0.3,0.17497320877135722,0.1,2.7872892347600517,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
6,2156,157,0.35477055540831054,0.3,0.17793479470246587,0.10526315789473684,2.853437094682231,8.38651102464332,17.830955469087765,163,0.5337423312883436,0.12446351931330472
7,2156,157,0.3455929557970374,0.3,0.1741036441120877,0.1,2.7730220492866406,8.38651102464332,17.830955469087765,163,0.5337423312883436,0.12446351931330472
8,2156,157,0.35058934829342997,0.3,0.1764184180176199,0.10526315789473684,2.8192823173367922,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
9,2156,157,0.3489683644020379,0.3,0.17568915125487036,0.10526315789473684,2.8019887591872026,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
10,2156,157,0.3518228936596284,0.3,0.1769696090367756,0.1,2.8236057068741895,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
11,2156,157,0.349895456017905,0.3,0.17599337107167512,0.10526315789473684,2.810635538261997,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
12,2156,157,0.34390976087404657,0.2857142857142857,0.1729503951493417,0.1,2.7522697795071336,8.386078685689581,17.830955469087765,163,0.50920245398773,0.11874105865522175
13,2156,157,0.34927739494066024,0.3,0.1760406521159004,0.1,2.8032857760484218,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
14,2156,157,0.34942022263450834,0.3,0.17552968980203512,0.10526315789473684,2.804582792909641,8.38651102464332,17.830955469087765,163,0.5276073619631901,0.12303290414878398
15,2156,157,0.3474152972877463,0.2857142857142857,0.17498157423150387,0.1,2.788153912667531,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
16,2156,157,0.3429460420531849,0.2857142857142857,0.17282730167309598,0.1,2.748378728923476,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
17,2156,157,0.34226135259298524,0.2222222222222222,0.1722963194155547,0.1,2.740164288802421,8.386078685689581,17.830955469087765,163,0.5153374233128835,0.12017167381974249
18,2156,157,0.3503278042818859,0.3,0.17632142482545565,0.10526315789473684,2.816255944660614,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
19,2156,157,0.3538338928645051,0.3,0.17780647520344353,0.1111111111111111,2.8460873324686555,8.386078685689581,17.830955469087765,163,0.5460122699386503,0.12732474964234622
