r,eq_sha,buys,days_sig,days_over,days_over_frac,days_full,days_act,days_act_frac,elim_by_lottery,elim_by_full,K0_tie_frac,K0_cut_tie_frac,K0_direct_diff,K0_direct_frac,K0_path_diff,K0_path_frac,K0_buys,K0_first_div_idx,K0_first_div_frac,K0_first_div_t,K0_mean_key_lottery,K0_mean_key_ranked,K1_tie_frac,K1_cut_tie_frac,K1_direct_diff,K1_direct_frac,K1_path_diff,K1_path_frac,K1_buys,K1_first_div_idx,K1_first_div_frac,K1_first_div_t,K1_mean_key_lottery,K1_mean_key_ranked,K2_tie_frac,K2_cut_tie_frac,K2_direct_diff,K2_direct_frac,K2_path_diff,K2_path_frac,K2_buys,K2_first_div_idx,K2_first_div_frac,K2_first_div_t,K2_mean_key_lottery,K2_mean_key_ranked,K3_tie_frac,K3_cut_tie_frac,K3_direct_diff,K3_direct_frac,K3_path_diff,K3_path_frac,K3_buys,K3_first_div_idx,K3_first_div_frac,K3_first_div_t,K3_mean_key_lottery,K3_mean_key_ranked,K4_tie_frac,K4_cut_tie_frac,K4_direct_diff,K4_direct_frac,K4_path_diff,K4_path_frac,K4_buys,K4_first_div_idx,K4_first_div_frac,K4_first_div_t,K4_mean_key_lottery,K4_mean_key_ranked
0,ea98c4b878bf35b6,163,977,818,0.8372569089048106,774,44,0.04503582395087001,90,1604,0.2608695652173913,0.16666666666666666,19,0.1165644171779141,21,0.12883435582822086,163,16,0.09815950920245399,663,4.680981595092025,5.288343558282208,0.8695652173913043,0.8,5,0.03067484662576687,5,0.03067484662576687,163,29,0.17791411042944785,797,3.1349693251533743,3.1717791411042944,0.0,0.0,21,0.12883435582822086,21,0.12883435582822086,163,8,0.049079754601226995,549,0.1278317954174312,0.14555950120960787,0.0,0.0,20,0.12269938650306748,21,0.12883435582822086,163,16,0.09815950920245399,663,4.447870938045242,5.241497152845027,0.0,0.0,18,0.11042944785276074,17,0.10429447852760736,163,15,0.09202453987730061,657,0.2507357921517667,0.2731897201444821
1,469805073227539f,163,977,817,0.8362333674513818,775,42,0.042988741044012284,86,1604,0.20689655172413793,0.10714285714285714,19,0.1165644171779141,21,0.12883435582822086,163,16,0.09815950920245399,663,4.711656441717792,5.306748466257669,0.8850574712643678,0.8214285714285714,5,0.03067484662576687,5,0.03067484662576687,163,29,0.17791411042944785,797,3.1349693251533743,3.1717791411042944,0.0,0.0,22,0.13496932515337423,23,0.1411042944785276,163,8,0.049079754601226995,549,0.12819298023021172,0.14555950120960787,0.0,0.0,20,0.12269938650306748,20,0.12269938650306748,163,16,0.09815950920245399,663,4.898736158453434,5.241497152845027,0.0,0.0,18,0.11042944785276074,19,0.1165644171779141,163,15,0.09202453987730061,657,0.24986130098500423,0.2731897201444821
2,6d062c39413a87fd,163,977,813,0.8321392016376663,770,43,0.044012282497441144,89,1600,0.2247191011235955,0.10344827586206896,17,0.10429447852760736,17,0.10429447852760736,163,15,0.09202453987730061,657,4.815950920245399,5.306748466257669,0.8764044943820225,0.8275862068965517,7,0.04294478527607362,10,0.06134969325153374,163,29,0.17791411042944785,797,3.1165644171779143,3.1717791411042944,0.0,0.0,13,0.07975460122699386,15,0.09202453987730061,163,8,0.049079754601226995,549,0.13478163306051807,0.14555950120960787,0.0,0.0,16,0.09815950920245399,18,0.11042944785276074,163,15,0.09202453987730061,657,4.58226259352438,5.241497152845027,0.0,0.0,18,0.11042944785276074,19,0.1165644171779141,163,20,0.12269938650306748,765,0.24387407795258298,0.2731897201444821
3,b00d91851d0521b7,163,977,816,0.8352098259979529,773,43,0.044012282497441144,89,1602,0.2247191011235955,0.10344827586206896,15,0.09202453987730061,16,0.09815950920245399,163,8,0.049079754601226995,549,4.92638036809816,5.306748466257669,0.8764044943820225,0.8275862068965517,7,0.04294478527607362,12,0.0736196319018405,163,29,0.17791411042944785,797,3.1104294478527605,3.1717791411042944,0.0,0.0,17,0.10429447852760736,19,0.1165644171779141,163,20,0.12269938650306748,765,0.12605520004193888,0.14555950120960787,0.0,0.0,20,0.12269938650306748,22,0.13496932515337423,163,8,0.049079754601226995,549,4.451606118412292,5.241497152845027,0.0,0.0,18,0.11042944785276074,21,0.12883435582822086,163,8,0.049079754601226995,549,0.24952526633848135,0.2731897201444821
4,28a9be99e60f0998,163,977,818,0.8372569089048106,775,43,0.044012282497441144,88,1604,0.2247191011235955,0.10344827586206896,16,0.09815950920245399,17,0.10429447852760736,163,9,0.05521472392638037,549,4.815950920245399,5.306748466257669,0.8764044943820225,0.8275862068965517,6,0.03680981595092025,13,0.07975460122699386,163,29,0.17791411042944785,797,3.1226993865030677,3.1717791411042944,0.0,0.0,21,0.12883435582822086,23,0.1411042944785276,163,8,0.049079754601226995,549,0.12632738390353623,0.14555950120960787,0.0,0.0,18,0.11042944785276074,20,0.12269938650306748,163,9,0.05521472392638037,549,4.796057179952997,5.241497152845027,0.0,0.0,21,0.12883435582822086,24,0.147239263803681,163,9,0.05521472392638037,549,0.24308696869955077,0.2731897201444821
5,862ff0904ad997e4,163,977,816,0.8352098259979529,773,43,0.044012282497441144,89,1603,0.2247191011235955,0.10344827586206896,17,0.10429447852760736,17,0.10429447852760736,163,16,0.09815950920245399,663,4.846625766871166,5.306748466257669,0.8764044943820225,0.8275862068965517,5,0.03067484662576687,7,0.04294478527607362,163,77,0.4723926380368098,1537,3.1349693251533743,3.1717791411042944,0.0,0.0,18,0.11042944785276074,20,0.12269938650306748,163,8,0.049079754601226995,549,0.12887201501420423,0.14555950120960787,0.0,0.0,17,0.10429447852760736,19,0.1165644171779141,163,16,0.09815950920245399,663,4.932592724157021,5.241497152845027,0.0,0.0,19,0.1165644171779141,20,0.12269938650306748,163,15,0.09202453987730061,657,0.2484462637942553,0.2731897201444821
6,7309dca4cfa70448,163,977,815,0.834186284544524,771,44,0.04503582395087001,90,1599,0.24175824175824176,0.13333333333333333,20,0.12269938650306748,22,0.13496932515337423,163,9,0.05521472392638037,549,4.6871165644171775,5.288343558282208,0.8571428571428571,0.8,6,0.03680981595092025,6,0.03680981595092025,163,77,0.4723926380368098,1537,3.128834355828221,3.1717791411042944,0.0,0.0,15,0.09202453987730061,15,0.09202453987730061,163,8,0.049079754601226995,549,0.1344055407066656,0.14555950120960787,0.0,0.0,23,0.1411042944785276,24,0.147239263803681,163,9,0.05521472392638037,549,4.265741134833061,5.241497152845027,0.0,0.0,13,0.07975460122699386,14,0.08588957055214724,163,9,0.05521472392638037,549,0.2551603142027065,0.2731897201444821
7,3bf29e8500eae651,163,977,816,0.8352098259979529,773,43,0.044012282497441144,89,1602,0.2247191011235955,0.10344827586206896,18,0.11042944785276074,19,0.1165644171779141,163,20,0.12269938650306748,765,4.785276073619632,5.288343558282208,0.8764044943820225,0.8275862068965517,6,0.03680981595092025,6,0.03680981595092025,163,29,0.17791411042944785,797,3.128834355828221,3.1717791411042944,0.0,0.0,20,0.12269938650306748,21,0.12883435582822086,163,8,0.049079754601226995,549,0.12821861431698622,0.14555950120960787,0.0,0.0,14,0.08588957055214724,14,0.08588957055214724,163,20,0.12269938650306748,765,4.972801876330359,5.241497152845027,0.0,0.0,20,0.12269938650306748,20,0.12269938650306748,163,15,0.09202453987730061,657,0.2435923204400773,0.2731897201444821
8,6815546863fd0aef,163,977,814,0.8331627430910952,771,43,0.044012282497441144,89,1601,0.2247191011235955,0.10344827586206896,14,0.08588957055214724,14,0.08588957055214724,163,9,0.05521472392638037,549,4.932515337423313,5.288343558282208,0.8539325842696629,0.7931034482758621,5,0.03067484662576687,5,0.03067484662576687,163,77,0.4723926380368098,1537,3.1349693251533743,3.1717791411042944,0.0,0.0,12,0.0736196319018405,12,0.0736196319018405,163,8,0.049079754601226995,549,0.13737524848206087,0.14555950120960787,0.0,0.0,18,0.11042944785276074,19,0.1165644171779141,163,9,0.05521472392638037,549,4.4225929783786615,5.241497152845027,0.0,0.0,18,0.11042944785276074,18,0.11042944785276074,163,9,0.05521472392638037,549,0.24719569268301644,0.2731897201444821
9,61edec561b1b61fb,163,977,815,0.834186284544524,771,44,0.04503582395087001,90,1599,0.24175824175824176,0.13333333333333333,20,0.12269938650306748,20,0.12269938650306748,163,8,0.049079754601226995,549,4.858895705521473,5.288343558282208,0.8571428571428571,0.8,6,0.03680981595092025,6,0.03680981595092025,163,29,0.17791411042944785,797,3.1226993865030677,3.1717791411042944,0.0,0.0,14,0.08588957055214724,14,0.08588957055214724,163,16,0.09815950920245399,663,0.12888931475908544,0.14555950120960787,0.0,0.0,19,0.1165644171779141,20,0.12269938650306748,163,8,0.049079754601226995,549,4.515008167404215,5.241497152845027,0.0,0.0,17,0.10429447852760736,16,0.09815950920245399,163,8,0.049079754601226995,549,0.24889327477332895,0.2731897201444821
