arm,類,名,n,cagr_med,mdd_med,ratio,label,vs_v1_both_pos,vs_v1_both_neg,vs_v1,d_cagr_med,d_mdd_med,cagr_p10,cagr_p90,mdd_p10,mdd_p90,n_stop,n_stop_p10,n_stop_p90,stop_frac_pos,stop_frac_pos_p10,stop_frac_pos_p90,held_mean,held_mean_p10,held_mean_p90,turnover_yr,turnover_yr_p10,turnover_yr_p90,cost_total,cost_total_p10,cost_total_p90,cost_drag_yr,cost_drag_yr_p10,cost_drag_yr_p90,dist0_med,dist0_med_p10,dist0_med_p90,dist0_p10,dist0_p10_p10,dist0_p10_p90,dist0_p90,dist0_p90_p10,dist0_p90_p90,trig_bar_med,trig_bar_med_p10,trig_bar_med_p90,trig_bar_p10,trig_bar_p10_p10,trig_bar_p10_p90,trig_bar_p90,trig_bar_p90_p10,trig_bar_p90_p90,stop_ret_mean,stop_ret_mean_p10,stop_ret_mean_p90,stop_ret_med,stop_ret_med_p10,stop_ret_med_p90,stop_ret_p10,stop_ret_p10_p10,stop_ret_p10_p90,stop_ret_p90,stop_ret_p90_p10,stop_ret_p90_p90,stop_h120_mean,stop_h120_mean_p10,stop_h120_mean_p90,stop_h120_med,stop_h120_med_p10,stop_h120_med_p90,stop_h120_better_frac,stop_h120_better_frac_p10,stop_h120_better_frac_p90,rep_ret_mean,rep_ret_mean_p10,rep_ret_mean_p90,rep_ret_med,rep_ret_med_p10,rep_ret_med_p90,cont_ret_mean,cont_ret_mean_p10,cont_ret_mean_p90,cont_ret_med,cont_ret_med_p10,cont_ret_med_p90,rep_better_frac,rep_better_frac_p10,rep_better_frac_p90,rep_pairs,rep_pairs_p10,rep_pairs_p90,rebuy20_n,rebuy20_n_p10,rebuy20_n_p90,rebuy20_ret_mean,rebuy20_ret_mean_p10,rebuy20_ret_mean_p90,rebuy20_ret_med,rebuy20_ret_med_p10,rebuy20_ret_med_p90,cash_mean,cash_mean_p10,cash_mean_p90,cash_med,cash_med_p10,cash_med_p90,nx_n,nx_n_p10,nx_n_p90,nx_pending_end,nx_pending_end_p10,nx_pending_end_p90,nxw_med,nxw_med_p10,nxw_med_p90,nxw_p90,nxw_p90_p10,nxw_p90_p90,nxw_sameday_frac,nxw_sameday_frac_p10,nxw_sameday_frac_p90,nxsz_med,nxsz_med_p10,nxsz_med_p90,normal_n,normal_n_p10,normal_n_p90,trades,trades_p10,trades_p90,expo,expo_p10,expo_p90,sl_block_days,sl_block_days_p10,sl_block_days_p90,nx_pool_n,nx_pool_n_p10,nx_pool_n_p90,nx_pool_empty,nx_pool_empty_p10,nx_pool_empty_p90,ddlog_單日暴跌型,ddlog_單日暴跌型_p10,ddlog_單日暴跌型_p90,ddlog_延續下跌型,ddlog_延續下跌型_p10,ddlog_延續下跌型_p90,ddlog_混合型,ddlog_混合型_p10,ddlog_混合型_p90,dd_單日暴跌型,dd_單日暴跌型_p10,dd_單日暴跌型_p90,dd_延續下跌型,dd_延續下跌型_p10,dd_延續下跌型_p90,dd_混合型,dd_混合型_p10,dd_混合型_p90,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
base,base,營飆 v1 原樣,200,0.394406557221616,-0.3894268315113051,1.0127873205114948,合格（描述）,0,0,分不出（描述）,0.0,0.0,0.3620790537280488,0.4247953947014781,-0.44103476018866106,-0.36195043806648153,0.0,0.0,0.0,0.0,0.0,0.0,8.386078685689581,8.386078685689581,8.38651102464332,1.431899420992742,1.4009243892275978,1.4632434512293269,0.4351761225468695,0.37561506895757796,0.5101918740233092,0.008376611612807536,0.00819540767698145,0.008559974189691568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.17896983671071015,0.17758685857869927,0.18081531294875478,0.03265734294285771,0.02766165181670142,0.035925397132704685,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,163.0,163.0,163.0,163.0,163.0,163.0,0.8210301632892899,0.8191846870512454,0.8224131414213007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,0.24455289203698638,-0.009888027774799413,0.1363792434585206,0.49826119560451176,1.2269226546507113,-0.027935358862122173,0.8292544445758621,0.07779684392037378,0.490059869615046,0.7015307185734795
d_P15,ⓓ補股池,ⓓ P15 −15%,200,0.3164250697188641,-0.3804433519756267,0.8317271627318015,合格（描述）,19,78,分不出（描述）,-0.07810096485308637,0.010283781723990693,0.2660623098185316,0.38278576027733136,-0.433315804533857,-0.32878135815324616,133.0,121.0,143.1,0.5361451612903225,0.5062709422038577,0.5613632395193422,8.125594466061392,8.068266320795503,8.187678339818417,2.0201384331904144,1.9057038282426555,2.1240338481013232,0.44233536133670015,0.33718490372513693,0.6168284443489127,0.011651179437245071,0.011023914502198136,0.012258469646335467,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.1499999999999999,0.1499999999999999,0.1499999999999999,0.15000000000000002,0.15000000000000002,0.15000000000000002,28.5,27.0,30.5,6.0,4.790000000000001,8.0,92.75,84.60000000000001,98.41000000000001,-0.16941707643034415,-0.17201931567158515,-0.16695791992095885,-0.16160715664954284,-0.16452869903980355,-0.15924580959093246,-0.2219841289809002,-0.23231166782167928,-0.21002848155606993,-0.13684801216087517,-0.13978495873166996,-0.1329123319394097,-0.08181818823154775,-0.10055914376926871,-0.058890343590729935,-0.14512454261749752,-0.14982575340921156,-0.13417717257135697,0.5593783053237749,0.5277777777777778,0.5983606557377049,0.17388819403473088,0.1350768397264455,0.20916772931573313,-0.1341292959176668,-0.14526890461307623,-0.12110233123364252,0.1082738394221094,0.08581830651630015,0.13331141774492783,0.023057906550348062,0.006385042113928652,0.04480005527485886,0.46909814323607424,0.4229120879120879,0.5039433070866142,131.0,120.0,141.0,2.0,1.0,3.0999999999999943,0.17581457890564653,-0.14466219055775756,0.5248226950354609,0.15881503692464172,-0.1518518545220915,0.5248226950354609,0.24664529523083903,0.23512279746155515,0.25850551420663925,0.11023486830495975,0.09356832694109551,0.13275036304596413,131.0,120.0,141.0,2.0,1.0,3.0,0.0,0.0,0.0,62.5,49.36000000000001,65.0,0.5534552488130825,0.5196850393700787,0.5930755608028335,0.7367875001621331,0.7129151432941397,0.7664603433059329,117.0,113.0,121.0,248.0,239.0,256.0,0.753354704769161,0.7414944857933607,0.7648772025384448,0.0,0.0,0.0,131.0,120.0,141.0,574.5,531.9,625.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,3.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,5.0,0.19154989423423374,-0.05886301131297722,0.18111766743298452,1.1168586314330193,0.5363544664060924,-0.1630406874881395,0.6044301061546103,0.20909549700711771,0.30079188974894555,0.5434461298389978
d_T20,ⓓ補股池,ⓓ T20 追蹤 −20%,200,0.2733205724945722,-0.3879651774561412,0.7044976930319233,另列（描述）,1,84,分不出（描述）,-0.12010487645846146,0.007564397905536674,0.21392279899710692,0.34069572071529775,-0.4573615792762026,-0.3378485844897872,275.0,261.0,285.0,0.8229158361901725,0.8068535825545171,0.8372781065088757,7.889537397319499,7.787462170341548,7.956376999567661,3.0307160628586947,2.807301311488645,3.230809998182865,0.5948290933578695,0.4451215750273058,0.8304525631823688,0.01772329292881948,0.016420558584087124,0.01885661116787653,0.20040282160188677,0.20000000000000007,0.20240600166308823,0.1520353356822316,0.14954203484723694,0.15525252306522527,0.242480712252356,0.23968605921083416,0.24592989496443896,35.0,33.0,37.0,12.0,12.0,13.0,82.0,78.0,84.0,0.06661233052733512,0.045632536774485845,0.0813533333674281,-0.06736843896064126,-0.07387581666481069,-0.0559616285566216,-0.2218187698165684,-0.23329392208733232,-0.2162735970904002,0.4904091085481919,0.43847442820763743,0.5811474047633098,0.1509431616698115,0.12598328085599725,0.17244901301125545,-0.02617747481783972,-0.04014916719884076,-0.007013545864877579,0.521256058490101,0.49631523662096416,0.5454892435808466,0.10419179721151776,0.08350276402162632,0.12440999124206319,-0.025875575837323306,-0.039229229239837904,-0.0031439247618424786,0.10223677073993612,0.08505091065179016,0.12110915989408615,0.013840803322126893,0.0009399927890497383,0.0277002774571516,0.49440290714673574,0.46811637544324347,0.5245851242077657,266.0,252.0,277.0,7.0,5.0,10.0,0.2505974530586785,0.0325883110169759,0.4546613019887587,0.07111599219138776,-0.049668801965239484,0.26431718061674014,0.2528325822320564,0.2306290420132064,0.27636853315931215,0.10109386380725568,0.05522167864541444,0.14487166879195953,266.0,252.0,277.0,9.0,8.0,10.0,0.0,0.0,0.0,32.0,31.5,33.0,0.6067510429982159,0.5838513321812695,0.6332046332046332,0.80584942037987,0.74504153130239,0.8509784763390847,68.5,64.0,72.0,334.0,323.0,342.1,0.7471674177679435,0.7236314668406878,0.7693709579867937,0.0,0.0,0.0,266.0,252.0,277.0,702.0,682.8,718.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,3.900000000000002,7.0,2.0,1.0,3.0,0.0,0.0,0.0,4.0,3.0,6.0,0.27796618156092434,0.02627572022605662,0.2809698261123049,0.6106789253151773,0.655261911888996,-0.23420528622783,0.3788048315632562,0.018891602865749424,0.10531822073340003,0.7468306933920036
d_A3,ⓓ補股池,ⓓ A3 3×ATR 追蹤,200,0.33728981745696707,-0.43227275606288107,0.7802708191212097,合格（描述）,20,113,分不出（描述）,-0.05129210324957145,-0.04062155398727271,0.2553899538076631,0.4412979877316447,-0.5981424458879762,-0.356686018316717,589.0,578.0,602.0,0.9982623477478456,0.9949655969770459,1.0,7.3261997405966275,7.2861651534803284,7.363164721141374,5.159183782116294,4.304473792684362,5.8887926690518855,1.1977000102858533,0.84454421931255,1.833926082593925,0.030181225125380295,0.025181171687203487,0.03444943711395355,0.12175084506238562,0.11979099065824217,0.12381445105810808,0.05879536081076563,0.05699733742148745,0.06170029003013314,0.19097242613599086,0.1877762109528707,0.1942402085340742,23.0,22.0,23.5,7.0,6.0,7.0,57.0,55.389999999999986,58.0,0.07034182207950931,0.05959765283955638,0.07765412620461304,-0.03242441986809563,-0.03797474670491452,-0.024676848108564964,-0.16873629964974568,-0.17249663202420193,-0.16595691907393806,0.4180236488778648,0.3916368668777908,0.4550070477764256,0.1979646761310498,0.18321601315272573,0.21041289715793804,0.022234148234316464,0.014008495386461428,0.04254334457419651,0.5105481746501983,0.4956521739130435,0.5239143520753239,0.07330003949831243,0.062130641199269074,0.08095201953230714,-0.03222477664865442,-0.03837730616957498,-0.025131572162793967,0.13209026934081367,0.11948934477899889,0.146185736986019,0.00725889679442876,-0.0014816821502974253,0.017482045703106373,0.493891797556719,0.47702879226587847,0.5113523642219294,579.0,568.0,592.0,39.5,34.900000000000006,44.0,0.11855416949245456,0.050833252577148845,0.18870531825385495,-0.003550987349087542,-0.07619847327620882,0.04682913378052942,0.2688689350394526,0.2581349797164441,0.32495675188397616,0.01852560658662226,1.1637706307384653e-16,0.17686475828121298,579.0,568.0,592.0,10.0,10.0,10.0,0.0,0.0,0.0,13.050000000000011,13.0,14.0,0.5638386300887035,0.5512975879551391,0.5768764639080134,0.687856129100616,0.493657287466302,0.7766895869825277,11.0,10.0,13.0,591.0,580.0,603.0,0.7311310649605475,0.6750432481160239,0.7418650202835558,0.0,0.0,0.0,579.0,568.0,592.0,898.0,887.0,907.0,1.0,0.0,4.0,1.0,0.0,1.0,5.0,3.0,6.0,2.0,1.0,5.0,0.0,0.0,0.0,4.0,3.0,6.0,0.21779602765527473,0.0945158341280018,0.27009097777184143,0.4011847286210781,0.9371385659312841,-0.22634458229536586,0.4838105270450811,0.09176092211345044,0.531331415829066,0.7639366763228307
d_M20,ⓓ補股池,ⓓ M20 跌破 20 日線,200,0.4198363687330652,-0.3997528437002905,1.0502398553237862,合格（描述）,60,42,分不出（描述）,0.02345933554729185,-0.004927741025165133,0.3220140706640287,0.5396162904958743,-0.5118176141300593,-0.3364071763848909,947.0,937.0,956.0,1.0,1.0,1.0,6.635538261997406,6.616472114137483,6.658019887591872,9.064464252482699,8.209694654968139,9.7037735022617,3.43025560221895,2.3858771253126534,6.20251280773246,0.05302711587702384,0.04802671373156366,0.05676707498823087,0.12340799431691449,0.12192150841966819,0.12579298947495127,0.04037009924814576,0.03668746220110598,0.04208700567470849,0.21720145201956392,0.21355826287093702,0.2212978919508053,14.0,14.0,14.0,3.0,3.0,3.0,32.0,31.0,32.0,0.05366902973714437,0.04990250362009694,0.05753406275069292,-0.02396735540412198,-0.02638517360736603,-0.021442485294858482,-0.12722067983482238,-0.13008006754491008,-0.12327949050032393,0.2954489288210242,0.2746008018742516,0.3159281219827872,0.20421192870261734,0.19478184760741243,0.2136146354611302,0.03468994991445534,0.02697593323912373,0.04007054204907759,0.5263713080168776,0.517959075807913,0.5347515299877601,0.05412743027392866,0.05014027121068508,0.058083143213692234,-0.024021752008682284,-0.026511488985473047,-0.021442485294858482,0.1522841933760892,0.14269175494656916,0.16060029495693987,0.018194217982235306,0.011744517867675386,0.025279250524279935,0.48722031683815126,0.47435897435897434,0.4983905414058906,937.0,927.0,946.0,108.0,101.0,113.0,0.04787425405419099,0.03342719180244994,0.058600379610032574,-0.008474544305996035,-0.009230704918950394,-0.0010638399553135312,0.32979197721190423,0.324561462616342,0.33516503269341036,0.07122851809316694,0.04095601693328339,0.09435640956673373,937.0,927.0,946.0,10.0,10.0,10.0,0.0,0.0,0.0,12.0,12.0,12.0,0.5285252960172229,0.5201528321252165,0.5381477249354388,0.644934810591532,0.44420686553332117,0.7835493072555566,10.0,10.0,10.0,947.0,937.0,956.0,0.6702080227880958,0.6648349673065898,0.6754385373836581,0.0,0.0,0.0,937.0,927.0,946.0,1017.0,1010.0,1028.0,2.0,0.0,4.0,0.0,0.0,1.0,4.5,3.0,6.0,3.0,1.0,5.0,0.0,0.0,0.0,4.0,2.0,5.0,0.14898686902600622,0.37601178247814737,0.29640991706809106,1.0281520305572431,0.7451694069855272,-0.23746487516571135,0.4837330886956801,0.0417499437518839,0.8013546300904845,0.6135946873134162
d_M50,ⓓ補股池,ⓓ M50 跌破 50 日線,200,0.2894196593267473,-0.41693487549859043,0.6941603505359094,另列（描述）,7,124,分不出（描述）,-0.10382663878765253,-0.02377287635864811,0.22581992696289938,0.3832316491162546,-0.517343314249137,-0.3528175986773318,448.0,438.9,455.0,0.9847328062714654,0.980349344978166,0.9890350877192983,7.61284046692607,7.571076523994812,7.644703847816689,3.631757847048899,3.1510891066419378,4.067030829988065,0.6496447738408506,0.48914965804422567,1.0445693472814235,0.02124578340523607,0.018433871273855332,0.023792130355430173,0.21791152692411309,0.2136416145861223,0.22053517172486573,0.09993484634036232,0.09302531331982015,0.10207412134651424,0.34128240862638004,0.3324156033646751,0.3500667138443539,34.0,33.0,35.0,13.0,12.0,14.0,65.0,62.0,68.0,0.06963983141831348,0.05868236197963379,0.08119955244923985,-0.0338907099436066,-0.04153354632587858,-0.028301857010531117,-0.18372787514968653,-0.1884271682784511,-0.17681586760966692,0.4622641545805437,0.4188152068915953,0.5019660833113863,0.16797062015210742,0.1492641997083984,0.18483449100411983,0.020891372276941933,0.0010643664740499492,0.033952915415062214,0.5016760342295812,0.4844304932735426,0.5177937219730941,0.09132932031759852,0.07937894547948769,0.10205235502907274,-0.0305344151530329,-0.038635584881177173,-0.025830999140668776,0.1101640864053337,0.09775294612319102,0.12445388838879809,0.003936121986464092,-0.005385348839701693,0.015126321433108401,0.49206349206349204,0.47245158002038734,0.5128802676307128,438.0,429.0,445.1,5.0,3.0,7.0,-0.018910376702629732,-0.0662948948019964,0.1080676284967147,-0.09235666286132294,-0.10989007345190438,0.014443446173953545,0.2703587491845607,0.2451393920350859,0.32064162899323406,0.0669430145191653,0.014263722679228083,0.16195821864429005,438.0,429.0,445.1,10.0,9.0,10.0,0.0,0.0,0.0,15.5,15.0,18.42000000000003,0.5694281045751635,0.5530474040632054,0.5858284063493379,0.646955947997397,0.5059890470302528,0.7465642604568563,17.0,15.0,18.0,455.0,446.0,462.0,0.7296412508154393,0.6793583710067659,0.754860607964914,0.0,0.0,0.0,438.0,429.0,445.1,802.0,789.9,816.1,1.0,0.0,2.0999999999999943,0.0,0.0,1.0,6.0,4.0,7.0,2.0,0.0,4.0,0.0,0.0,0.0,5.0,3.900000000000002,6.0,0.24378443566505748,-0.021108490813557146,0.39877253428016746,0.4627857114277262,0.4537059010491674,-0.23530525788444195,0.446069639384028,0.07836417665491202,0.47476661030494693,0.6856543202915092
d_F,ⓓ補股池,ⓓ F 前低棘輪,200,0.3278415953059971,-0.4376681049921686,0.7490643973516492,合格（描述）,17,120,分不出（描述）,-0.060728445736766945,-0.03884602384086874,0.2586045682142858,0.44303800155120326,-0.5453796894562217,-0.3627365583236378,774.0,761.0,786.1,1.0,1.0,1.0,7.078469520103761,7.051318633808906,7.108560311284046,7.019522265680488,6.226336927113952,7.491881052827234,1.536427446535948,1.0453564292987751,2.416290062134694,0.04106420525423088,0.03642407102361661,0.04382750415903937,0.16078250402412061,0.15658912351180365,0.16586076771079594,0.05531794477725354,0.05056038800207438,0.05666035701896506,0.3269257181241889,0.31851986745559485,0.3361977041155077,17.0,17.0,17.0,4.0,4.0,5.0,44.0,43.0,45.0,0.059356716309303614,0.05334103245976289,0.06470492889485721,-0.024343270923077753,-0.02786339750408032,-0.0201004750795295,-0.14039189332147653,-0.1471262896947791,-0.13633488593482812,0.3392103130571561,0.31868648736690225,0.3657218743939468,0.1944287943865884,0.18230951135044599,0.20861310306007277,0.024719084494173815,0.017937326902877925,0.036403475685690134,0.5155642285175964,0.5039546754341129,0.5258410375789824,0.05987647278586569,0.053789212576256254,0.0651710830388314,-0.024580393941064455,-0.028712065402139043,-0.020304865728273443,0.13705062341631524,0.1256790954941835,0.1491201124997698,0.012859700820603781,0.005851370971536597,0.018374785950311934,0.49161284736963906,0.4778316551668806,0.508584702863879,764.0,751.0,776.1,77.0,71.0,84.0,0.04291744260805573,0.01810739224817056,0.07030513756413283,-0.0193906251403545,-0.03046778929616245,-0.009506412590659319,0.2853498907979578,0.27919411971325697,0.2916262981744235,2.465367398448663e-16,0.0,5.61916842188491e-16,764.0,751.0,776.1,10.0,10.0,10.0,0.0,0.0,0.0,12.0,11.0,12.0,0.5836051359690568,0.5730727131388413,0.5940852383086807,0.6922702601982669,0.4877031789646637,0.8155263564057267,10.0,10.0,10.0,774.0,761.0,786.1,0.7146501092020423,0.7083737018255765,0.720805880286743,0.0,0.0,0.0,764.0,751.0,776.1,942.0,931.9,952.0,1.0,0.0,3.0,0.0,0.0,1.0,5.0,3.0,7.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,3.0,6.0,0.17647205641893582,0.19751684764291577,0.14702291260377542,0.7918440507923263,0.5829511891357757,-0.24556724752504355,0.23270605772331743,-0.020116159892517582,0.822392036056188,0.8676706346998557
d_R0_20,ⓓ補股池,ⓓ R0-20（第 20 天還在買進價以下）,200,0.38662304834494843,-0.3799817894133609,1.0174778347716102,合格（描述）,67,65,分不出（描述）,-0.00818065495729714,0.01199941978328703,0.32776319731953285,0.45191652925129666,-0.4638572526515338,-0.33208751481458587,127.0,115.9,137.1,0.4766400201246611,0.44783588480086534,0.5,8.277561608300909,8.208344141807176,8.352053610030264,2.0960889318823304,1.9574912494227763,2.232981430943915,0.5962663961561011,0.44751001415168834,0.799713656997216,0.012170562262618667,0.011399996838738078,0.012997288072975387,,,,,,,,,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-0.09694863703158593,-0.10337115781778701,-0.09131108999216413,-0.08310814861338295,-0.08910053845354114,-0.07723341586926025,-0.20893978072447822,-0.21956099666003817,-0.18488466896228167,-0.008624683637821177,-0.014613229749719302,-0.006641260356234925,0.015935856086625316,-0.02659417299705237,0.0609459922208664,-0.07483655449295118,-0.11416108820249227,-0.05015669827874214,0.5037315510999721,0.4637148337595908,0.5450430330101318,0.14065221134120395,0.10207462008966711,0.19318453699982946,-0.03310780705619848,-0.04765198688361042,-0.018728909002967996,0.1251983762463474,0.0774250191171653,0.1762812091827208,0.0026050610108615535,-0.01482875258733322,0.02527879468312123,0.5019083969465649,0.45860193392425463,0.5416984732824427,127.0,115.9,137.0,2.0,1.0,4.0,-0.13361099748314176,-0.17057904717654315,0.0619189829476796,-0.1675977500981891,-0.17057904717654315,-0.052649134511508405,0.20445512742543492,0.1943003032666283,0.21292615173943677,0.08353619465774309,0.06940506231218024,0.09842627359064489,127.0,115.9,137.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,3.9000000000000044,8.819999999999997,0.6555456619733986,0.6119307712555936,0.6942590372847139,0.8374089777632752,0.8190766096496119,0.8568238837169585,140.0,137.0,143.0,267.0,258.0,276.0,0.7955448725745651,0.7870738482605634,0.8056996967333717,0.0,0.0,0.0,127.0,115.9,137.0,474.0,376.9,592.1,1.0,0.0,2.0,0.0,0.0,0.0,5.0,4.0,6.0,2.0,1.0,3.0,0.0,0.0,0.0,4.0,3.0,5.0,0.27649769947172853,0.05987210384928621,0.19259162031856547,0.618359458174612,0.7381714017337226,-0.10070911886963058,0.5817778326115041,0.2207615169520002,0.6291466768470351,0.7366637546367524
d_R0_40,ⓓ補股池,ⓓ R0-40（第 40 天還在買進價以下）,200,0.3103734126134241,-0.45775702857368894,0.6780309055668836,另列（描述）,4,174,分不出（描述）,-0.08097006161738507,-0.06503206998707964,0.26047631928377285,0.3702254211910876,-0.5084403368608791,-0.4156218693291643,114.0,105.0,123.1,0.482111197787391,0.45454545454545453,0.5102966036575995,8.271292693471683,8.194941634241244,8.343320363164722,1.910307602685664,1.8121990475914296,2.003858902540254,0.392533110149063,0.29537704087059385,0.526550636275963,0.010982489853260367,0.010332792679783131,0.01156042349613547,,,,,,,,,,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,-0.13179356881503854,-0.13850327123362405,-0.12486266043591486,-0.10396036830745026,-0.11376149328729823,-0.0945720485309493,-0.28010610523433294,-0.29479348873683586,-0.268064530813849,-0.018693004651335686,-0.023668829200374778,-0.013494330762943062,-0.03419656735699919,-0.06090677371778523,0.003281467576419907,-0.10492887271231033,-0.13808808667944905,-0.08555831653960788,0.5213675213675214,0.4824248120300752,0.564700453096157,0.14747539159019116,0.1024940184313982,0.19215157002595842,-0.04495940617086128,-0.06459176842516662,-0.030657371060050065,0.11219575269785499,0.0788428843076097,0.1508544156613694,0.01594392198639144,-0.013800313933527313,0.03405712374502609,0.4743571011104617,0.4320463320463321,0.5091622103386809,113.0,104.0,122.0,1.0,1.0,2.0,-0.1093466382792877,-0.16434889838357147,-0.1093466382792877,-0.1093466382792877,-0.1598928761316041,-0.1093466382792877,0.21954153148961678,0.20812335590893913,0.23350098556758997,0.0934118887200453,0.0777921258535025,0.11237700385856099,113.0,104.0,122.0,1.0,0.0,2.0,0.0,0.0,0.0,31.200000000000003,25.450000000000017,38.79999999999998,0.7009345794392523,0.6637774294670847,0.7272727272727273,0.7740901123568995,0.7444344301843873,0.8021920469961662,123.0,120.0,127.0,237.0,230.9,243.0,0.7804584685103833,0.76649901443241,0.7918766440910608,0.0,0.0,0.0,113.0,104.0,122.0,549.0,433.9,570.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,6.0,0.2470047849103829,-0.12523110328994347,0.39390038353031,0.4832167112125024,0.702001490545687,-0.13175252492353973,0.5777405964193452,0.12426914843778869,0.3576299976091659,0.5956266045973544
d_R0_60,ⓓ補股池,ⓓ R0-60（第 60 天還在買進價以下）,200,0.2980671760218089,-0.42657331983353897,0.698747816994563,另列（描述）,6,143,分不出（描述）,-0.09970951533644479,-0.028262658454512285,0.2327380087824485,0.3644735944391717,-0.47697310111383356,-0.37324533445219726,110.0,102.0,118.1,0.5103899982932241,0.4812907776406278,0.5384615384615384,8.279723303069607,8.24941634241245,8.349762213575444,1.686299989676923,1.6132651503381725,1.7431489418168313,0.3019548999962455,0.21861483745744736,0.4283645921180625,0.009482415404684634,0.009030987781597305,0.009911826320104424,,,,,,,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,-0.15942027980999268,-0.1688633259056045,-0.1495261132060847,-0.11986303219537431,-0.13849384283417443,-0.1157025246944986,-0.3294327750198992,-0.34219463750329393,-0.3162742500900507,-0.020972359390452118,-0.025080909019170757,-0.016917836481149,-0.0843134483977479,-0.1100834469875936,-0.05464507849101354,-0.13185891965602964,-0.14982575340921156,-0.10543893341334129,0.5402702702702703,0.5083620265617315,0.5765765765765766,0.11822814227944645,0.07729890538936735,0.1636820236424822,-0.06030774177474604,-0.07144212171268305,-0.036211681341332236,0.07773247570897224,0.053130907114619,0.1074327530378381,0.014014890689161175,0.0010830390511315411,0.023224538169618336,0.43178796942505815,0.3888888888888889,0.4667889908256881,109.0,101.0,117.0,0.0,0.0,1.0,0.6037523020739135,-0.012379613122803224,0.6037523020739135,0.6037523020739135,-0.012379613122803224,0.6037523020739135,0.2566945152997039,0.2426556696928027,0.2727929540729815,0.13819967140705183,0.11966771284392112,0.16054372326900462,109.0,101.0,117.0,1.0,0.0,2.0,0.0,0.0,1.0,54.0,31.680000000000025,59.400000000000006,0.525598462344924,0.4953953691568371,0.5556521739130434,0.7187577008605445,0.6814047656828262,0.7559730386862762,107.0,103.0,111.0,216.0,212.0,220.0,0.7433054847002961,0.7272070459270185,0.7573443303071973,0.0,0.0,0.0,109.0,101.0,117.0,557.0,439.9,571.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,6.0,0.12642121517146465,-0.17039905668408611,0.27884612796642816,0.6041052190789811,0.8063205106442791,-0.16166809103563756,0.7523802547472387,0.03955624788263834,0.3410168510312902,0.6830411479896934
