r,arm,seed,cagr,mdd,vol,first,end,trades,eq_sha,expo,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,dd_單日暴跌型,dd_延續下跌型,dd_混合型,ddlog_單日暴跌型,ddlog_延續下跌型,ddlog_混合型,n_stop,stop_frac_pos,held_mean,turnover_yr,cost_total,cost_drag_yr,dist0_med,dist0_p10,dist0_p90,trig_bar_med,trig_bar_p10,trig_bar_p90,stop_ret_mean,stop_ret_med,stop_ret_p10,stop_ret_p90,stop_h120_mean,stop_h120_med,stop_h120_better_frac,rep_ret_mean,rep_ret_med,cont_ret_mean,cont_ret_med,rep_better_frac,rep_pairs,rebuy20_n,rebuy20_ret_mean,rebuy20_ret_med,cash_mean,cash_med,nx_n,nx_pending_end,nxw_med,nxw_p90,nxw_sameday_frac,nxsz_med,normal_n,sl_block_days,nx_pool_n,nx_pool_empty
0,base,1000,0.4245474925809207,-0.3779174551837645,0.2858868790271357,526,2859,163,ea98c4b878bf35b6,0.8214650566340239,0.22678182627529364,0.0034820427654422836,0.2410577526788349,0.5459966192938406,1.3619157858556146,-0.026440091774618812,0.8088279273810228,0.1402016682982521,0.4600865194240731,0.7265279608697013,2,0,3,2,0,3,0,0.0,8.386078685689581,1.4259348929280775,0.5044802552545955,0.008341719123629254,,,,,,,,,,,,,,,,,,,0,0,,,0.17853494336597603,0.023013642223900285,0,0,,,,,163,0,0,0
1,base,1001,0.37154827317964134,-0.4450722379745732,0.28306297149907655,526,2859,163,469805073227539f,0.820005289496537,0.22678182627529364,-0.043104201521999674,0.13928463052817386,0.5026975231891369,1.2734048130542335,-0.029981141092017438,0.8304917276726973,0.05977398104539633,0.4646720355454037,0.5677276377864955,1,0,2,0,0,3,0,0.0,8.38651102464332,1.4568854955160635,0.41333064439590705,0.008522780148768973,,,,,,,,,,,,,,,,,,,0,0,,,0.17999471050346308,0.03338241493527509,0,0,,,,,163,0,0,0
2,base,1002,0.4371455969386213,-0.3407715731344233,0.2840347252652851,526,2859,163,6d062c39413a87fd,0.8214069147494792,0.354077161677107,0.02393416262271808,0.23960832198229887,0.5643994080861485,1.2130069233732503,-0.03016355301862106,0.8374660806623004,0.11283215544119529,0.5784677332380916,0.6474880626603909,1,0,3,1,0,3,0,0.0,8.386078685689581,1.417645142380627,0.5579490912548012,0.008293224082926667,,,,,,,,,,,,,,,,,,,0,0,,,0.17859308525052073,0.030550170708850258,0,0,,,,,163,0,0,0
3,base,1003,0.37964691804997663,-0.3716907206603616,0.28073781645355544,526,2859,163,b00d91851d0521b7,0.8206920516419887,0.332466305772565,0.028238142016170587,0.13445454309517801,0.5289587385179326,0.8520525683303246,-0.025150004947314897,0.8304917276726977,0.05598037137947065,0.5517315225515838,0.6216587918005683,2,0,3,1,0,4,0,0.0,8.386078685689581,1.4528699431276249,0.4159982904421362,0.00849928916729661,,,,,,,,,,,,,,,,,,,0,0,,,0.17930794835801142,0.029124661846452325,0,0,,,,,163,0,0,0
4,base,1004,0.36110753129829765,-0.40915949898760773,0.27997285947448525,526,2859,163,28a9be99e60f0998,0.8193889016914572,0.18624098825847502,-0.02903917039918069,0.134913704608689,0.46724317848366015,1.2601853362835094,-0.027008029642505815,0.808827927381023,0.03386067148656546,0.4853793601032823,0.5677050823075709,2,0,2,2,0,2,0,0.0,8.386078685689581,1.4557046611680244,0.3847922164367318,0.008515872267832935,,,,,,,,,,,,,,,,,,,0,0,,,0.18061109830854288,0.03226950249776678,0,0,,,,,163,0,0,0
5,base,1005,0.3629288658238661,-0.3772896807240475,0.27867203222853704,526,2859,163,862ff0904ad997e4,0.8187798250529951,0.24455289203698638,-0.055259762280668534,0.13481018333087347,0.4700345395415553,1.1364279945273381,-0.030320579325190833,0.8088279273810233,0.09990300331309965,0.5095133194176862,0.524246193444923,1,0,3,1,0,3,0,0.0,8.386078685689581,1.459275982114762,0.38755543933559317,0.00853676449537136,,,,,,,,,,,,,,,,,,,0,0,,,0.18122017494700493,0.03326581787356436,0,0,,,,,163,0,0,0
6,base,1006,0.40608065576235286,-0.3759275163057537,0.28913826393343656,526,2859,163,7309dca4cfa70448,0.8210155065207245,0.32995629381878966,0.03827248804904326,0.13638000400605632,0.5029746141245068,0.9537218043701712,-0.03037999789674173,0.8304917276726969,0.16625015170467972,0.40932659443859243,0.8572829173267529,1,0,3,1,0,3,0,0.0,8.38651102464332,1.4073707663533581,0.4361954822439537,0.008233118983167144,,,,,,,,,,,,,,,,,,,0,0,,,0.17898449347927556,0.03104476628548254,0,0,,,,,163,0,0,0
7,base,1007,0.38850567796269675,-0.4418143661252927,0.2850051870461571,526,2859,163,3bf29e8500eae651,0.8193444296453659,0.18916146840234882,-0.029323627794231033,0.2399626122628622,0.5346935608330199,1.1185979532117987,-0.030549384731456408,0.808827927381023,0.04183601710028739,0.48167376072868406,0.7599376292131139,1,0,2,1,0,2,0,0.0,8.38651102464332,1.444110329225967,0.4184275132463349,0.00844804542597191,,,,,,,,,,,,,,,,,,,0,0,,,0.18065557035463412,0.03528582008492138,0,0,,,,,163,0,0,0
8,base,1008,0.3999006422506848,-0.3732840193676708,0.2877319401454195,526,2859,163,6815546863fd0aef,0.8240463354835434,0.2384175605796537,-0.017725996505268182,0.12433045398205733,0.46173189557263905,0.8714861416166482,-0.024865496815894006,0.8374660806623002,0.2274119573350244,0.4460122173758445,1.0127170246954749,2,0,2,1,0,3,0,0.0,8.386078685689581,1.3989502803024516,0.37635178492490556,0.008183859139769344,,,,,,,,,,,,,,,,,,,0,0,,,0.17595366451645664,0.027202249035064914,0,0,,,,,163,0,0,0
9,base,1009,0.3890721412723608,-0.3610793738076328,0.28160418175091506,526,2859,163,61edec561b1b61fb,0.8204272258515681,0.3714813588596675,0.02381402899918017,0.1345660948624492,0.509853829356328,0.9127037779707161,-0.023109108916117393,0.8374660806623004,0.13187121333535612,0.5441402436511669,0.5419350497258779,1,0,4,1,0,4,0,0.0,8.386078685689581,1.456246854625706,0.44886394453092715,0.008519044099560375,,,,,,,,,,,,,,,,,,,0,0,,,0.17957277414843192,0.028793814081491138,0,0,,,,,163,0,0,0
