stock_id,date,kind,factor,close_over_expected
00663L,2025-06-11,分割,0.1428,1.135
00712,2020-03-19,息,0.976,0.703
1418,2017-11-27,彌補虧損,2.8152,0.857
1475,2021-04-15,權,0.9345,1.176
2243,2023-01-30,權,0.9721,1.112
2348,2015-08-18,息,0.9865,0.733
2429,2024-07-02,權,0.7494,1.467
2464,2026-09-02,權息,0.9881,1.108
2718,2018-11-28,除權,0.9295,1.127
2736,2024-05-28,除權,0.9527,1.11
3562,2017-03-16,除權,0.7786,1.284
4991,2025-12-22,除權,0.984,1.117
5205,2021-04-19,彌補虧損,2.5005,0.796
5301,2015-08-12,除權息,0.8735,1.116
5468,2021-01-27,除權,0.9235,1.107
6224,2021-01-13,權,0.9811,1.118
6225,2026-08-18,權,0.6766,1.625
7610,2026-07-13,權息,0.823,1.112
8033,2023-03-06,權,0.9743,1.113
910482,2017-06-19,權,0.7733,1.293
9105,2023-10-06,權,0.7115,1.182
911608,2019-01-18,權,0.7895,1.342
9928,2017-04-06,權,0.8695,1.125
