stock_id,date,close_ratio,high_ratio,low_ratio
1256,2015-07-13,0.8943,0.9124,0.8892
1519,2024-07-26,0.8245,0.8809,0.8138
1597,2018-07-30,0.8218,0.852,0.8036
1597,2019-08-26,0.877,0.8909,0.8738
1727,2023-08-04,0.883,0.9441,0.883
1752,2020-07-07,0.878,0.9723,0.8725
2233,2018-09-28,0.7972,0.8038,0.7934
2331,2015-07-13,0.7721,0.8361,0.7574
2884,2024-07-26,0.906,0.9228,0.8876
3034,2026-07-13,0.8625,0.9317,0.8625
3092,2017-08-07,0.9151,0.922,0.8839
3092,2019-07-24,0.8654,0.8881,0.8654
3092,2020-08-31,0.8766,0.8837,0.8743
3209,2023-08-04,0.8933,0.9123,0.892
3293,2024-07-26,0.5365,0.5365,0.499
3489,2026-07-13,0.845,0.8636,0.843
3563,2015-06-15,0.903,0.9106,0.8922
3563,2016-06-24,0.8873,0.9198,0.8635
4736,2016-08-09,0.863,0.9178,0.863
4736,2017-08-16,0.9026,0.9101,0.894
4736,2023-09-04,0.8957,0.9159,0.887
5215,2016-07-11,0.8782,0.9203,0.8782
5236,2022-06-30,0.8689,0.9107,0.8641
5276,2016-07-11,0.8998,0.9306,0.8921
5519,2026-07-13,0.8389,0.8563,0.8287
6143,2019-08-12,0.8868,0.9015,0.8805
6215,2016-07-11,0.8892,0.9329,0.8892
6446,2020-07-17,0.9167,0.9886,0.8864
6472,2019-07-31,0.832,0.832,0.7571
6472,2020-11-09,0.7944,0.8458,0.7859
6472,2021-09-07,0.7459,0.83,0.731
6472,2023-08-10,0.7625,0.819,0.7614
6589,2021-04-13,0.925,0.9812,0.8469
6590,2026-09-08,0.8791,0.8836,0.8716
6869,2024-07-26,0.8855,0.9259,0.8855
7747,2026-07-13,0.8915,0.9031,0.8682
8462,2016-08-16,0.9278,0.9299,0.8557
8462,2017-07-24,0.8333,0.8833,0.8233
8462,2018-07-10,0.8645,0.8645,0.8184
9910,2023-08-04,0.8915,0.8915,0.8514
