period,rows,dup,neg,alive_universe,coverage,chain_n,chain_bad,ly_n,ly_bad,yoy_bad
2015-01,1506,0,0,1546,0.974,0,0,0,0,0
2015-02,1506,0,0,1546,0.974,1506,0,0,0,0
2015-03,1508,0,0,1552,0.972,1506,0,0,0,0
2015-04,1513,0,0,1556,0.972,1508,0,0,0,0
2015-05,1517,0,1,1561,0.972,1513,0,0,0,0
2015-06,1521,0,2,1564,0.973,1517,0,0,0,0
2015-07,1522,0,5,1567,0.971,1519,0,0,0,0
2015-08,1528,0,5,1568,0.974,1522,0,0,0,0
2015-09,1529,0,0,1568,0.975,1528,0,0,0,0
2015-10,1531,0,0,1574,0.973,1529,0,0,0,0
2015-11,1536,0,0,1577,0.974,1531,0,0,0,0
2015-12,1539,0,0,1589,0.969,1536,0,0,0,0
2016-01,1544,0,2,1596,0.967,1539,0,1504,17,0
2016-02,1544,0,2,1596,0.967,1544,0,1504,15,0
2016-03,1544,0,2,1605,0.962,1544,0,1506,78,0
2016-04,1545,0,2,1604,0.963,1544,0,1511,30,0
2016-05,1547,0,1,1607,0.963,1545,0,1515,21,0
2016-06,1551,0,1,1608,0.965,1547,0,1519,83,0
2016-07,1554,0,0,1610,0.965,1550,0,1521,27,0
2016-08,1558,0,0,1611,0.967,1553,0,1527,20,0
2016-09,1559,0,0,1620,0.962,1558,0,1528,71,0
2016-10,1562,0,1,1622,0.963,1559,0,1530,25,0
2016-11,1564,0,1,1626,0.962,1562,0,1535,18,0
2016-12,1564,0,1,1629,0.96,1564,0,1538,118,0
2017-01,1570,0,0,1632,0.962,1564,0,1543,20,0
2017-02,1570,0,0,1632,0.962,1570,0,1543,17,0
2017-03,1571,0,0,1636,0.96,1570,0,1543,77,0
2017-04,1571,0,1,1642,0.957,1571,0,1544,27,0
2017-05,1574,0,0,1643,0.958,1571,0,1546,22,0
2017-06,1578,0,0,1647,0.958,1574,0,1550,79,0
2017-07,1581,0,0,1645,0.961,1577,0,1552,27,0
2017-08,1589,0,0,1646,0.965,1581,0,1557,17,0
2017-09,1593,0,1,1650,0.965,1589,0,1558,67,0
2017-10,1594,0,1,1650,0.966,1593,0,1561,22,0
2017-11,1595,0,1,1651,0.966,1594,0,1563,17,0
2017-12,1596,0,1,1656,0.964,1595,0,1563,100,0
2018-01,1601,0,1,1665,0.962,1596,0,1569,22,0
2018-02,1601,0,5,1668,0.96,1601,0,1569,24,0
2018-03,1602,0,1,1671,0.959,1601,0,1570,68,0
2018-04,1607,0,2,1678,0.958,1602,0,1570,26,0
2018-05,1608,0,0,1678,0.958,1607,0,1573,20,0
2018-06,1612,0,2,1681,0.959,1607,0,1576,63,0
2018-07,1614,0,1,1685,0.958,1612,0,1580,26,0
2018-08,1618,0,3,1687,0.959,1614,0,1588,19,0
2018-09,1622,0,2,1690,0.96,1618,0,1592,70,0
2018-10,1627,0,4,1690,0.963,1622,0,1593,31,0
2018-11,1631,0,0,1696,0.962,1627,0,1594,22,0
2018-12,1632,0,3,1700,0.96,1631,0,1595,105,0
2019-01,1636,0,0,1705,0.96,1631,0,1600,17,0
2019-02,1636,0,1,1704,0.96,1636,0,1600,16,0
2019-03,1639,0,0,1708,0.96,1636,0,1601,73,0
2019-04,1640,0,1,1709,0.96,1639,0,1606,29,0
2019-05,1640,0,4,1712,0.958,1640,0,1607,21,0
2019-06,1642,0,0,1714,0.958,1640,0,1612,68,0
2019-07,1643,0,1,1713,0.959,1642,0,1614,28,0
2019-08,1649,0,0,1711,0.964,1643,0,1618,19,0
2019-09,1653,0,0,1718,0.962,1649,0,1622,66,0
2019-10,1657,0,0,1719,0.964,1653,0,1627,22,0
2019-11,1657,0,1,1719,0.964,1657,0,1631,14,0
2019-12,1659,0,1,1722,0.963,1657,0,1632,101,0
2020-01,1662,0,3,1722,0.965,1659,0,1636,18,0
2020-02,1663,0,2,1721,0.966,1662,0,1636,16,0
2020-03,1663,0,7,1724,0.965,1663,0,1639,63,0
2020-04,1664,0,0,1725,0.965,1663,0,1640,31,0
2020-05,1664,0,0,1724,0.965,1664,0,1640,19,0
2020-06,1667,0,0,1724,0.967,1664,0,1642,70,0
2020-07,1669,0,1,1724,0.968,1667,0,1643,33,0
2020-08,1675,0,1,1726,0.97,1669,0,1649,23,0
2020-09,1680,0,1,1726,0.973,1675,0,1653,66,0
2020-10,1682,0,1,1729,0.973,1680,0,1657,30,0
2020-11,1683,0,0,1728,0.974,1682,0,1657,18,0
2020-12,1686,0,0,1733,0.973,1683,0,1659,96,0
2021-01,1688,0,2,1738,0.971,1686,0,1662,18,0
2021-02,1688,0,0,1737,0.972,1688,0,1663,17,0
2021-03,1691,0,0,1739,0.972,1688,0,1663,74,0
2021-04,1693,0,0,1742,0.972,1691,0,1664,29,0
2021-05,1694,0,2,1744,0.971,1693,0,1664,16,0
2021-06,1697,0,2,1744,0.973,1694,0,1667,64,0
2021-07,1702,0,3,1744,0.976,1697,0,1669,32,0
2021-08,1705,0,0,1745,0.977,1702,0,1675,19,0
2021-09,1708,0,2,1748,0.977,1705,0,1680,69,0
2021-10,1714,0,3,1750,0.979,1708,0,1682,28,0
2021-11,1718,0,0,1751,0.981,1714,0,1683,24,0
2021-12,1719,0,1,1753,0.981,1718,0,1686,93,0
2022-01,1725,0,6,1754,0.983,1719,0,1688,16,0
2022-02,1340,0,0,1754,0.764,1340,0,1311,10,0
2022-03,1727,0,2,1761,0.981,1340,0,1691,53,0
2022-04,1730,0,4,1764,0.981,1727,0,1693,18,0
2022-05,1733,0,2,1765,0.982,1730,0,1694,16,0
2022-06,1735,0,6,1769,0.981,1733,0,1697,54,0
2022-07,1741,0,3,1768,0.985,1735,0,1702,21,0
2022-08,1746,0,2,1771,0.986,1740,0,1704,14,0
2022-09,1753,0,3,1773,0.989,1746,0,1708,53,0
2022-10,1757,0,7,1773,0.991,1753,0,1714,19,0
2022-11,1760,0,5,1779,0.989,1757,0,1718,16,0
2022-12,1761,0,4,1783,0.988,1760,0,1719,87,0
2023-01,1769,0,0,1783,0.992,1761,0,1725,16,0
2023-02,1769,0,0,1783,0.992,1769,0,1340,13,0
2023-03,1772,0,2,1791,0.989,1769,0,1727,62,0
2023-04,1774,0,1,1790,0.991,1772,0,1730,25,0
2023-05,1774,0,1,1793,0.989,1773,0,1732,18,0
2023-06,1779,0,1,1795,0.991,1774,0,1735,59,0
2023-07,1783,0,3,1797,0.992,1779,0,1741,26,0
2023-08,1788,0,3,1798,0.994,1783,0,1746,19,0
2023-09,1794,0,3,1800,0.997,1788,0,1753,51,0
2023-10,1799,0,3,1803,0.998,1794,0,1757,22,0
2023-11,1801,0,3,1809,0.996,1799,0,1760,16,0
2023-12,1808,0,3,1816,0.996,1801,0,1761,91,0
2024-01,1809,0,2,1819,0.995,1807,0,1768,10,0
2024-02,1809,0,0,1819,0.995,1809,0,1768,10,0
2024-03,1809,0,1,1828,0.99,1809,0,1771,48,0
2024-04,1812,0,2,1829,0.991,1809,0,1773,16,0
2024-05,1814,0,2,1836,0.988,1812,0,1773,12,0
2024-06,1816,0,0,1843,0.985,1814,0,1778,51,0
2024-07,1818,0,2,1844,0.986,1816,0,1782,18,0
2024-08,1824,0,3,1847,0.988,1818,0,1787,12,0
2024-09,1826,0,2,1854,0.985,1824,0,1793,45,0
2024-10,1832,0,3,1860,0.985,1826,0,1798,19,0
2024-11,1836,0,3,1863,0.986,1832,0,1800,14,0
2024-12,1840,0,0,1873,0.982,1836,0,1807,85,0
2025-01,1843,0,3,1878,0.981,1840,0,1809,14,0
2025-02,1843,0,3,1881,0.98,1843,0,1809,14,0
2025-03,1846,0,9,1890,0.977,1843,0,1809,43,0
2025-04,1846,0,8,1892,0.976,1846,0,1812,18,0
2025-05,1848,0,4,1899,0.973,1846,0,1814,12,0
2025-06,1849,0,3,1902,0.972,1848,0,1816,41,0
2025-07,1849,0,3,1904,0.971,1849,0,1818,19,0
2025-08,1850,0,1,1908,0.97,1849,0,1824,10,0
2025-09,1850,0,2,1914,0.967,1850,0,1826,44,0
2025-10,1850,0,2,1919,0.964,1850,0,1832,16,0
2025-11,1850,0,2,1929,0.959,1850,0,1836,8,0
2025-12,1850,0,1,1941,0.953,1850,0,1840,80,0
2026-01,1850,0,3,1948,0.95,1850,0,1843,28,0
2026-02,1850,0,1,1951,0.948,1850,0,1843,27,0
2026-03,1850,0,6,1956,0.946,1850,0,1846,60,0
2026-04,1851,0,1,1962,0.943,1850,0,1846,33,0
2026-05,1851,0,1,1971,0.939,1851,0,1848,27,0
2026-06,1851,0,0,1974,0.938,1851,0,1849,55,0
2026-07,1851,0,6,1976,0.937,1851,0,1849,30,0
2026-08,215,0,0,1977,0.109,215,0,215,4,0
