# run=2026-09-15 18:50 (Asia/Taipei) 假訊號組＝代表種子 log 上 in／擋掉(ex c) 標籤重排 200 次（seed 20260915）；hw95_pp＝95% 帶半寬；K線分析 1840 §5-1 P1b 前置
N,d,rule,H,n_in,n_blk,diff_pp,hw95_pp,band_lo,band_hi,reading
10,inf,null,60,366,181,3.1807574387259403,6.062600881843449,-6.371850289850671,5.753351473836227,量不準（hw>0.585）
10,inf,null,120,354,141,9.358654990969631,11.30494730982399,-10.992361883188908,11.617532736459072,量不準（hw>0.585）
10,inf,relvol,60,365,176,4.568852134450788,7.427832643056631,-6.646520033704453,8.209145252408808,量不準（hw>0.585）
10,inf,relvol,120,355,135,12.51769304595786,10.636348238408782,-11.228001598771918,10.044694878045647,測得出
20,inf,null,60,701,245,0.13152111424420132,6.048235933926028,-6.027149473209708,6.069322394642348,量不準（hw>0.585）
20,inf,null,120,679,190,3.551754953232289,10.31915538743906,-10.216793717378268,10.421517057499853,量不準（hw>0.585）
20,inf,relvol,60,699,244,-0.37993250172257964,5.6712769844660365,-6.077598814135202,5.264955154796872,量不準（hw>0.585）
20,inf,relvol,120,676,190,1.8295188119618944,10.026031884281938,-10.200614497170745,9.851449271393133,量不準（hw>0.585）
2,inf,null,60,76,52,2.672033844138645,11.836276802303367,-12.859842093774306,10.812711510832425,量不準（hw>0.585）
2,inf,null,120,74,41,-4.806303407342691,29.177676681371903,-31.283153929081355,27.07219943366245,量不準（hw>0.585）
2,inf,relvol,60,76,52,12.454805397805313,11.975797313014972,-13.237545167157347,10.714049458872598,測得出
2,inf,relvol,120,74,41,5.3643542110444535,29.638600413787316,-28.851555499817167,30.42564532775747,量不準（hw>0.585）
30,inf,null,60,969,234,-1.9642487067225587,5.15662179961102,-5.086037420558979,5.227206178663061,量不準（hw>0.585）
30,inf,null,120,935,176,-4.623606002496366,9.852468361124185,-10.850053142024562,8.854883580223808,量不準（hw>0.585）
30,inf,relvol,60,971,220,-0.12062276197945254,5.929025873908888,-6.8989991575786656,4.959052590239109,量不準（hw>0.585）
30,inf,relvol,120,937,160,-1.8703268103437587,10.442698976709996,-9.88936592370341,10.996032029716583,量不準（hw>0.585）
3,inf,null,60,114,65,0.7059161663725597,9.53232631691902,-9.760299695742027,9.304352938096013,量不準（hw>0.585）
3,inf,null,120,111,52,-3.4861911916849038,21.947742527476127,-23.82644277224555,20.069042282706704,量不準（hw>0.585）
3,inf,relvol,60,114,65,7.516071571489411,9.360010949346139,-9.354955223877623,9.365066674814654,量不準（hw>0.585）
3,inf,relvol,120,111,52,6.422079543834775,21.934822063349316,-23.527649468993435,20.341994657705193,量不準（hw>0.585）
40,inf,null,60,1135,234,2.0841292556648074,5.408624829168808,-5.437163992390968,5.380085665946647,量不準（hw>0.585）
40,inf,null,120,1087,156,6.4649585536589065,10.161396254062671,-11.539138951053046,8.783653557072297,量不準（hw>0.585）
40,inf,relvol,60,1137,252,3.99498244392099,4.885421585492398,-4.56854984037635,5.202293330608446,量不準（hw>0.585）
40,inf,relvol,120,1089,156,5.611504406058073,8.396183974606807,-9.054564775291679,7.737803173921935,量不準（hw>0.585）
5,inf,null,60,188,100,1.4771249216008733,8.53655496102888,-9.216699665589625,7.856410256468135,量不準（hw>0.585）
5,inf,null,120,182,83,11.182766093182078,15.259107529283899,-16.063021157417516,14.455193901150281,量不準（hw>0.585）
5,inf,relvol,60,188,101,6.556454474075118,7.676415903867764,-7.570306648197377,7.782525159538151,量不準（hw>0.585）
5,inf,relvol,120,183,83,10.84291657784865,14.518831528664585,-13.855878035114618,15.181785022214552,量不準（hw>0.585）
8,1,null,60,297,175,2.9656558447120536,5.5976256718798645,-5.687440169579144,5.507811174180586,量不準（hw>0.585）
8,1,null,120,287,141,6.17518598533772,11.18314066305691,-10.568156172649706,11.798125153464113,量不準（hw>0.585）
8,1,relvol,60,296,176,7.223907930121079,6.2106403634929945,-5.298863898720694,7.122416828265295,測得出
8,1,relvol,120,288,139,8.172511486023762,11.500635809056307,-11.912390194607747,11.088881423504867,量不準（hw>0.585）
8,2,null,60,297,141,2.182307881974182,5.593618171698363,-5.977862003552611,5.209374339844116,量不準（hw>0.585）
8,2,null,120,289,105,6.926590401038949,13.95836700015203,-12.852968312433848,15.063765687870214,量不準（hw>0.585）
8,2,relvol,60,296,139,7.837858484646482,6.851919542049655,-6.381153516003941,7.322685568095368,測得出
8,2,relvol,120,288,106,15.591656061183517,14.975056424937726,-15.597047929168049,14.353064920707405,測得出
8,3,null,60,297,140,2.6917079338978986,6.212509647924842,-6.678261585956179,5.746757709893504,量不準（hw>0.585）
8,3,null,120,289,103,8.866927208070564,13.254272975299191,-13.80028435026402,12.70826160033436,量不準（hw>0.585）
8,3,relvol,60,296,138,7.055549798985357,6.182495600992933,-6.149555641218194,6.215435560767671,測得出
8,3,relvol,120,288,102,15.843128044651934,12.676467423854088,-14.311082856522622,11.041851991185556,測得出
8,inf,null,60,297,140,2.6917079338978986,6.212509647924842,-6.678261585956179,5.746757709893504,量不準（hw>0.585）
8,inf,null,120,289,103,8.866927208070564,13.254272975299191,-13.80028435026402,12.70826160033436,量不準（hw>0.585）
8,inf,relvol,60,296,138,7.055549798985357,6.182495600992933,-6.149555641218194,6.215435560767671,測得出
8,inf,relvol,120,288,102,15.843128044651934,12.676467423854088,-14.311082856522622,11.041851991185556,測得出
