month,entry_pos,cand,N,rate_real,sold_out,sigset,rate
2017-03,523,8,2,0.25,False,B,0.25
2017-04,546,4,1,0.25,False,B,0.25
2017-05,564,22,6,0.2727272727272727,False,B,0.25
2017-06,584,6,2,0.3333333333333333,False,B,0.25
2017-07,607,15,4,0.26666666666666666,False,B,0.25
2017-08,628,16,4,0.25,False,B,0.25
2017-09,651,6,2,0.3333333333333333,False,B,0.25
2017-10,673,34,9,0.2647058823529412,False,B,0.25
2017-11,692,33,8,0.24242424242424243,False,B,0.25
2017-12,714,19,5,0.2631578947368421,False,B,0.25
2018-01,735,16,4,0.25,False,B,0.25
2018-02,757,31,8,0.25806451612903225,False,B,0.25
2018-03,770,26,7,0.2692307692307692,False,B,0.25
2018-04,793,4,1,0.25,False,B,0.25
2018-05,811,29,7,0.2413793103448276,False,B,0.25
2018-06,833,14,4,0.2857142857142857,False,B,0.25
2018-07,853,35,9,0.2571428571428571,False,B,0.25
2018-08,875,26,7,0.2692307692307692,False,B,0.25
2018-09,898,28,7,0.25,False,B,0.25
2018-10,917,25,6,0.24,False,B,0.25
2018-11,939,10,3,0.3,False,B,0.25
2018-12,961,4,1,0.25,False,B,0.25
2019-01,982,13,3,0.23076923076923078,False,B,0.25
2019-02,1003,13,3,0.23076923076923078,False,B,0.25
2019-03,1016,13,3,0.23076923076923078,False,B,0.25
2019-04,1036,2,1,0.5,False,B,0.25
2019-05,1056,15,4,0.26666666666666666,False,B,0.25
2019-06,1078,16,4,0.25,False,B,0.25
2019-07,1097,9,2,0.2222222222222222,False,B,0.25
2019-08,1120,13,3,0.23076923076923078,False,B,0.25
2019-09,1141,19,5,0.2631578947368421,False,B,0.25
2019-10,1160,31,8,0.25806451612903225,False,B,0.25
2019-11,1181,18,5,0.2777777777777778,False,B,0.25
2019-12,1202,29,7,0.2413793103448276,False,B,0.25
2020-01,1224,9,2,0.2222222222222222,False,B,0.25
2020-02,1239,32,8,0.25,False,B,0.25
2020-03,1258,8,2,0.25,False,B,0.25
2020-04,1280,3,1,0.3333333333333333,False,B,0.25
2020-05,1300,5,1,0.2,False,B,0.25
2020-06,1320,23,6,0.2608695652173913,False,B,0.25
2020-07,1340,15,4,0.26666666666666666,False,B,0.25
2020-08,1363,41,10,0.24390243902439024,False,B,0.25
2020-09,1384,37,9,0.24324324324324326,False,B,0.25
2020-10,1406,51,13,0.2549019607843137,False,B,0.25
2020-11,1425,74,19,0.25675675675675674,False,B,0.25
2020-12,1446,21,5,0.23809523809523808,False,B,0.25
2021-01,1469,23,6,0.2608695652173913,False,B,0.25
2021-02,1489,98,25,0.25510204081632654,False,B,0.25
2021-03,1502,44,11,0.25,False,B,0.25
2021-04,1524,3,1,0.3333333333333333,False,B,0.25
2021-05,1543,120,30,0.25,False,B,0.25
2021-06,1564,37,9,0.24324324324324326,False,B,0.25
2021-07,1585,33,8,0.24242424242424243,False,B,0.25
2021-08,1607,61,15,0.2459016393442623,False,B,0.25
2021-09,1629,65,16,0.24615384615384617,False,B,0.25
2021-10,1649,82,21,0.25609756097560976,False,B,0.25
2021-11,1669,12,3,0.25,False,B,0.25
2021-12,1691,34,9,0.2647058823529412,False,B,0.25
2022-01,1713,36,9,0.25,False,B,0.25
2022-02,1731,76,19,0.25,False,B,0.25
2022-03,1746,38,10,0.2631578947368421,False,B,0.25
2022-04,1769,1,1,1.0,True,B,0.25
2022-05,1788,45,11,0.24444444444444444,False,B,0.25
2022-06,1809,15,4,0.26666666666666666,False,B,0.25
2022-07,1830,32,8,0.25,False,B,0.25
2022-08,1851,23,6,0.2608695652173913,False,B,0.25
2022-09,1874,36,9,0.25,False,B,0.25
2022-10,1895,58,15,0.25862068965517243,False,B,0.25
2022-11,1915,25,6,0.24,False,B,0.25
2022-12,1937,6,2,0.3333333333333333,False,B,0.25
2023-01,1959,37,9,0.24324324324324326,False,B,0.25
2023-02,1972,19,5,0.2631578947368421,False,B,0.25
2023-03,1990,6,2,0.3333333333333333,False,B,0.25
2023-04,2013,2,1,0.5,False,B,0.25
2023-05,2030,21,5,0.23809523809523808,False,B,0.25
2023-06,2052,4,1,0.25,False,B,0.25
2023-07,2072,4,1,0.25,False,B,0.25
2023-08,2093,17,4,0.23529411764705882,False,B,0.25
2023-09,2115,14,4,0.2857142857142857,False,B,0.25
2023-10,2135,21,5,0.23809523809523808,False,B,0.25
2023-11,2155,17,4,0.23529411764705882,False,B,0.25
2023-12,2177,17,4,0.23529411764705882,False,B,0.25
2024-01,2198,30,8,0.26666666666666666,False,B,0.25
2024-02,2220,22,6,0.2727272727272727,False,B,0.25
2024-03,2233,12,3,0.25,False,B,0.25
2024-04,2254,4,1,0.25,False,B,0.25
2024-05,2274,19,5,0.2631578947368421,False,B,0.25
2024-06,2296,14,4,0.2857142857142857,False,B,0.25
2024-07,2315,19,5,0.2631578947368421,False,B,0.25
2024-08,2336,41,10,0.24390243902439024,False,B,0.25
2024-09,2358,35,9,0.2571428571428571,False,B,0.25
2024-10,2378,28,7,0.25,False,B,0.25
2024-11,2397,37,9,0.24324324324324326,False,B,0.25
2024-12,2418,30,8,0.26666666666666666,False,B,0.25
2025-01,2440,38,10,0.2631578947368421,False,B,0.25
2025-02,2455,41,10,0.24390243902439024,False,B,0.25
2025-03,2474,24,6,0.25,False,B,0.25
2025-04,2495,19,5,0.2631578947368421,False,B,0.25
2025-05,2515,11,3,0.2727272727272727,False,B,0.25
2025-06,2535,23,6,0.2608695652173913,False,B,0.25
2025-07,2556,23,6,0.2608695652173913,False,B,0.25
2025-08,2579,28,7,0.25,False,B,0.25
2025-09,2600,25,6,0.24,False,B,0.25
2025-10,2621,36,9,0.25,False,B,0.25
2025-11,2641,42,11,0.2619047619047619,False,B,0.25
2025-12,2661,38,10,0.2631578947368421,False,B,0.25
2026-01,2683,17,4,0.23529411764705882,False,B,0.25
2026-02,2704,89,22,0.24719101123595505,False,B,0.25
2026-03,2716,34,9,0.2647058823529412,False,B,0.25
2017-03,523,8,3,0.375,False,B,0.35
2017-04,546,4,1,0.25,False,B,0.35
2017-05,564,22,8,0.36363636363636365,False,B,0.35
2017-06,584,6,2,0.3333333333333333,False,B,0.35
2017-07,607,15,5,0.3333333333333333,False,B,0.35
2017-08,628,16,6,0.375,False,B,0.35
2017-09,651,6,2,0.3333333333333333,False,B,0.35
2017-10,673,34,12,0.35294117647058826,False,B,0.35
2017-11,692,33,12,0.36363636363636365,False,B,0.35
2017-12,714,19,7,0.3684210526315789,False,B,0.35
2018-01,735,16,6,0.375,False,B,0.35
2018-02,757,31,11,0.3548387096774194,False,B,0.35
2018-03,770,26,9,0.34615384615384615,False,B,0.35
2018-04,793,4,1,0.25,False,B,0.35
2018-05,811,29,10,0.3448275862068966,False,B,0.35
2018-06,833,14,5,0.35714285714285715,False,B,0.35
2018-07,853,35,12,0.34285714285714286,False,B,0.35
2018-08,875,26,9,0.34615384615384615,False,B,0.35
2018-09,898,28,10,0.35714285714285715,False,B,0.35
2018-10,917,25,9,0.36,False,B,0.35
2018-11,939,10,4,0.4,False,B,0.35
2018-12,961,4,1,0.25,False,B,0.35
2019-01,982,13,5,0.38461538461538464,False,B,0.35
2019-02,1003,13,5,0.38461538461538464,False,B,0.35
2019-03,1016,13,5,0.38461538461538464,False,B,0.35
2019-04,1036,2,1,0.5,False,B,0.35
2019-05,1056,15,5,0.3333333333333333,False,B,0.35
2019-06,1078,16,6,0.375,False,B,0.35
2019-07,1097,9,3,0.3333333333333333,False,B,0.35
2019-08,1120,13,5,0.38461538461538464,False,B,0.35
2019-09,1141,19,7,0.3684210526315789,False,B,0.35
2019-10,1160,31,11,0.3548387096774194,False,B,0.35
2019-11,1181,18,6,0.3333333333333333,False,B,0.35
2019-12,1202,29,10,0.3448275862068966,False,B,0.35
2020-01,1224,9,3,0.3333333333333333,False,B,0.35
2020-02,1239,32,11,0.34375,False,B,0.35
2020-03,1258,8,3,0.375,False,B,0.35
2020-04,1280,3,1,0.3333333333333333,False,B,0.35
2020-05,1300,5,2,0.4,False,B,0.35
2020-06,1320,23,8,0.34782608695652173,False,B,0.35
2020-07,1340,15,5,0.3333333333333333,False,B,0.35
2020-08,1363,41,14,0.34146341463414637,False,B,0.35
2020-09,1384,37,13,0.35135135135135137,False,B,0.35
2020-10,1406,51,18,0.35294117647058826,False,B,0.35
2020-11,1425,74,26,0.35135135135135137,False,B,0.35
2020-12,1446,21,7,0.3333333333333333,False,B,0.35
2021-01,1469,23,8,0.34782608695652173,False,B,0.35
2021-02,1489,98,34,0.3469387755102041,False,B,0.35
2021-03,1502,44,15,0.3409090909090909,False,B,0.35
2021-04,1524,3,1,0.3333333333333333,False,B,0.35
2021-05,1543,120,42,0.35,False,B,0.35
2021-06,1564,37,13,0.35135135135135137,False,B,0.35
2021-07,1585,33,12,0.36363636363636365,False,B,0.35
2021-08,1607,61,21,0.3442622950819672,False,B,0.35
2021-09,1629,65,23,0.35384615384615387,False,B,0.35
2021-10,1649,82,29,0.35365853658536583,False,B,0.35
2021-11,1669,12,4,0.3333333333333333,False,B,0.35
2021-12,1691,34,12,0.35294117647058826,False,B,0.35
2022-01,1713,36,13,0.3611111111111111,False,B,0.35
2022-02,1731,76,27,0.35526315789473684,False,B,0.35
2022-03,1746,38,13,0.34210526315789475,False,B,0.35
2022-04,1769,1,1,1.0,True,B,0.35
2022-05,1788,45,16,0.35555555555555557,False,B,0.35
2022-06,1809,15,5,0.3333333333333333,False,B,0.35
2022-07,1830,32,11,0.34375,False,B,0.35
2022-08,1851,23,8,0.34782608695652173,False,B,0.35
2022-09,1874,36,13,0.3611111111111111,False,B,0.35
2022-10,1895,58,20,0.3448275862068966,False,B,0.35
2022-11,1915,25,9,0.36,False,B,0.35
2022-12,1937,6,2,0.3333333333333333,False,B,0.35
2023-01,1959,37,13,0.35135135135135137,False,B,0.35
