S,T,wk,版本,trades,trades上限,買光率,曝險,槽位使用率,容量
S1,T1,*,C0f 字面最小 n_slots,2027,2029,0.9990142927550517,0.40902620232361314,0.39938968861866964,261
S1,T1,*,C0a 對齊（在場候選數）,1651,2029,0.8137013307047807,0.7853519950204871,0.8136945906656782,逐日 1~259
S1,T1,*,窄讀（當日新訊號數）,560,2029,0.2759980285855101,0.8997441499444045,1.0987090498408982,逐日 1~120
S1,T0,主格窗,C0f 字面最小 n_slots,4,4,1.0,0.9953271028037384,0.9953271028037384,4
S1,T0,主格窗,C0a 對齊（在場候選數）,4,4,1.0,0.9953271028037384,0.9988276670574443,逐日 1~4
S1,T0,主格窗,窄讀（當日新訊號數）,4,4,1.0,0.9953271028037384,0.9953271028037384,逐日 4~4
S1,T0,全窗,C0f 字面最小 n_slots,8,8,1.0,0.9995676610462603,0.9991356957649092,8
S1,T0,全窗,C0a 對齊（在場候選數）,8,8,1.0,0.9995676610462603,0.9998918802032652,逐日 1~8
S1,T0,全窗,窄讀（當日新訊號數）,8,8,1.0,0.9995676610462603,0.9991356957649092,逐日 8~8
S0,T1,*,C0f 字面最小 n_slots,11792,11803,0.9990680335507922,0.6390846501015558,0.625141667795257,956
S0,T1,*,C0a 對齊（在場候選數）,10856,11803,0.9197661611454715,0.8633906617993806,0.9197648514587141,逐日 1~968
S0,T1,*,窄讀（當日新訊號數）,8789,11803,0.744641192917055,0.9113705144833526,0.8926779972909605,逐日 269~808
S0,T0,主格窗,C0f 字面最小 n_slots,670,670,1.0,0.9953271028037276,0.9953271028037384,670
S0,T0,主格窗,C0a 對齊（在場候選數）,670,670,1.0,0.9953271028037276,0.9999929928316668,逐日 1~670
S0,T0,主格窗,窄讀（當日新訊號數）,670,670,1.0,0.9953271028037276,0.9953271028037384,逐日 670~670
S0,T0,全窗,C0f 字面最小 n_slots,371,371,1.0,0.9995676610462603,0.9991356957649092,371
S0,T0,全窗,C0a 對齊（在場候選數）,371,371,1.0,0.9995676610462603,0.9999976683291479,逐日 1~371
S0,T0,全窗,窄讀（當日新訊號數）,371,371,1.0,0.9995676610462603,0.9991356957649092,逐日 371~371
