r,w,cagr,mdd,calmar,peak,trough
0,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
0,0.25,0.2571033369008431,-0.3093873601923316,0.8310078884315572,2020-01-14,2020-03-19
0,0.5,0.27227998016307553,-0.33318954937362005,0.8171924379829694,2020-01-14,2020-03-19
0,0.75,0.28606696484240834,-0.3750476334553744,0.7627483533406869,2018-07-12,2018-10-29
0,1.0,0.29870900754219387,-0.4365922732834437,0.6841829913656454,2018-07-12,2018-10-30
1,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
1,0.25,0.26840670548012513,-0.3017024773715311,0.8896403762359434,2024-07-11,2025-04-09
1,0.5,0.2921412521144333,-0.32642129933627023,0.8949821984915189,2024-07-11,2025-04-09
1,0.75,0.31268322898851997,-0.34934367702146096,0.8950590766505018,2024-07-05,2025-04-09
1,1.0,0.33082465821743323,-0.3693403626630284,0.8957175864346693,2024-07-05,2025-04-09
2,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
2,0.25,0.2849141555717465,-0.33053524140653406,0.8619781490147461,2024-07-11,2025-04-09
2,0.5,0.3194144375859693,-0.3696075196782039,0.8641989693934399,2024-07-11,2025-04-09
2,0.75,0.3476532942254622,-0.39647443366357477,0.8768618218658222,2024-07-12,2025-04-09
2,1.0,0.37163711047419157,-0.4177226366560118,0.8896743385736815,2024-07-12,2025-04-09
3,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
3,0.25,0.2372129901779314,-0.3465822178199927,0.6844349709284124,2024-07-11,2025-04-09
3,0.5,0.23416165243467524,-0.4042938378571904,0.579186795613216,2024-07-11,2025-04-09
3,0.75,0.23104527553017618,-0.448599309610841,0.515037073353072,2024-07-05,2025-04-09
3,1.0,0.2278608507203448,-0.49153882590816295,0.46356633232247935,2024-05-17,2025-04-09
4,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
4,0.25,0.23798161289190944,-0.32210585892719595,0.7388304381811921,2024-07-11,2025-04-09
4,0.5,0.23572699163457345,-0.3707965258744244,0.6357313922472019,2024-07-11,2025-04-09
4,0.75,0.23343710392586114,-0.4158058273433337,0.561408928338829,2024-07-17,2025-04-09
4,1.0,0.23111076030382316,-0.4581959255260565,0.5043928752497832,2024-07-17,2025-04-09
5,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
5,0.25,0.2522910126669444,-0.31706491173023077,0.7957077662431531,2020-01-14,2020-03-19
5,0.5,0.2634685068259992,-0.35094417975739706,0.7507419185812724,2020-01-14,2020-03-19
5,0.75,0.2738689056143029,-0.38639864284886966,0.7087729490846582,2020-01-20,2020-03-19
5,1.0,0.28359845514955295,-0.4206631808096972,0.6741699014486588,2020-01-20,2020-03-19
6,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
6,0.25,0.28709100838505175,-0.32620582162409695,0.8800916150291176,2024-07-11,2025-04-09
6,0.5,0.32288192694931217,-0.36393069907081266,0.8872071737110769,2024-07-11,2025-04-09
6,0.75,0.35199229728736126,-0.3895693894575527,0.9035419794596418,2024-07-11,2025-04-09
6,1.0,0.37661348181908894,-0.4163920295297883,0.9044685179117876,2018-07-12,2018-10-11
7,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
7,0.25,0.2353185522892518,-0.31442384517633937,0.7484119156334257,2022-01-04,2022-10-25
7,0.5,0.2302663989386009,-0.32451554598054816,0.7095697010225924,2021-04-28,2022-10-25
7,0.75,0.22503280945138604,-0.34064141409231835,0.660614946221422,2021-04-28,2022-10-21
7,1.0,0.21960340020440272,-0.3964017536053008,0.5539919998009467,2024-04-18,2025-04-09
8,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
8,0.25,0.2328386021334019,-0.3146920773596939,0.7398934351539672,2019-12-17,2020-03-19
8,0.5,0.22508403597246418,-0.3466456691143729,0.6493202022327864,2019-12-17,2020-03-19
8,0.75,0.21689160516413208,-0.3753363756012906,0.5778592730765058,2019-12-17,2020-03-19
8,1.0,0.20820537788180538,-0.41167677822724635,0.5057496290618453,2018-07-12,2020-03-23
9,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
9,0.25,0.2567583361984598,-0.33977179152209136,0.755678789720146,2022-01-17,2022-10-25
9,0.5,0.2716558792425323,-0.34699860632512736,0.7828731132942904,2022-01-04,2022-10-25
9,0.75,0.2852115921362417,-0.3529615901619345,0.8080527742562301,2021-12-08,2022-10-25
9,1.0,0.2976582585402332,-0.3830203857031354,0.777134245723769,2017-08-21,2020-03-19
10,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
10,0.25,0.26272640030570726,-0.3116138325168704,0.8431153334359236,2024-07-11,2025-04-09
10,0.5,0.2822972883203896,-0.3405294881043181,0.8289951331143175,2024-07-11,2025-04-09
10,0.75,0.2996313004927025,-0.3612462421982873,0.8294378335103496,2024-07-05,2025-04-09
10,1.0,0.31520923438621584,-0.3837879161876972,0.8213109925849205,2024-04-18,2025-04-09
11,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
11,0.25,0.25542312318474303,-0.32126217344072633,0.7950613060017451,2024-07-11,2025-04-09
11,0.5,0.26922966081828714,-0.35640653889623125,0.7554004526742819,2024-07-11,2025-04-09
11,0.75,0.28187416762432904,-0.3831422986524947,0.7356905479130755,2024-07-09,2025-04-09
11,1.0,0.2935461385099989,-0.4033304234672244,0.7278055941987553,2024-07-17,2025-04-09
12,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
12,0.25,0.26850020467393443,-0.3266181331781921,0.8220615373104516,2024-07-11,2025-04-09
12,0.5,0.2923011288473354,-0.3646705506462817,0.8015484889835751,2024-07-09,2025-04-09
12,0.75,0.31289311867825487,-0.3941988845917013,0.7937443024536703,2024-07-09,2025-04-09
12,1.0,0.3310738678323981,-0.4283565623760502,0.7728931850511759,2023-07-05,2025-04-09
13,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
13,0.25,0.23876776816503353,-0.322907964249764,0.7394297899086522,2024-07-11,2025-04-09
13,0.5,0.23731928072128805,-0.3686387764266169,0.6437718869993321,2024-07-17,2025-04-09
13,0.75,0.2358563372190594,-0.41096575136115604,0.5739075249893251,2024-07-17,2025-04-09
13,1.0,0.23437862856622527,-0.4442229334849359,0.527614877348905,2024-07-17,2025-04-09
14,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
14,0.25,0.2403472195049816,-0.3455559876083803,0.6955377077053224,2022-01-04,2022-10-25
14,0.5,0.24049219697003088,-0.3592769560176043,0.6693782969989507,2022-01-04,2022-10-26
14,0.75,0.2406370315577746,-0.3795228774738144,0.6340514520745264,2020-01-02,2020-03-19
14,1.0,0.24078172356618133,-0.40480239029828285,0.5948129984824417,2020-01-02,2020-03-19
15,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
15,0.25,0.26816855019279595,-0.32282263702976727,0.8306993358959158,2024-07-11,2025-04-09
15,0.5,0.29173371871670817,-0.35564915722707136,0.8202851399713704,2020-01-02,2020-03-19
15,0.75,0.3121479198483883,-0.38443262993739935,0.8119704092215538,2020-01-02,2020-03-19
15,1.0,0.33018880516943927,-0.4122538500300803,0.8009356495890745,2018-06-12,2018-10-11
16,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
16,0.25,0.2677760693021072,-0.31378661778027916,0.8533699467375321,2020-01-14,2020-03-19
16,0.5,0.2910611408500894,-0.34665872084423777,0.839618689358951,2020-01-02,2020-03-19
16,0.75,0.3112635489665909,-0.3779971464140634,0.8234547586389143,2020-01-02,2020-03-19
16,1.0,0.32913750163099986,-0.41852930168780206,0.7864144763668587,2018-06-12,2020-03-19
