month,cand,n_prev,med_prev,K,套閘門
2017-03,8,0,,,False
2017-04,4,1,,,False
2017-05,22,2,,,False
2017-06,6,3,,,False
2017-07,15,4,,,False
2017-08,16,5,,,False
2017-09,6,6,,,False
2017-10,34,7,,,False
2017-11,33,8,,,False
2017-12,19,9,,,False
2018-01,16,10,,,False
2018-02,31,11,,,False
2018-03,26,12,16.0,8.0,True
2018-04,4,13,16.0,8.0,True
2018-05,29,14,16.0,8.0,True
2018-06,14,15,16.0,8.0,True
2018-07,35,16,16.0,8.0,True
2018-08,26,17,16.0,8.0,True
2018-09,28,18,17.5,9.0,True
2018-10,25,19,19.0,10.0,True
2018-11,10,20,20.5,10.0,True
2018-12,4,21,19.0,10.0,True
2019-01,13,22,17.5,9.0,True
2019-02,13,23,16.0,8.0,True
2019-03,13,24,16.0,8.0,True
2019-04,2,25,16.0,8.0,True
2019-05,15,26,15.5,8.0,True
2019-06,16,27,15.0,8.0,True
2019-07,9,28,15.5,8.0,True
2019-08,13,29,15.0,8.0,True
2019-09,19,30,15.0,8.0,True
2019-10,31,31,15.0,8.0,True
2019-11,18,32,15.5,8.0,True
2019-12,29,33,16.0,8.0,True
2020-01,9,34,16.0,8.0,True
2020-02,32,35,16.0,8.0,True
2020-03,8,36,16.0,8.0,True
2020-04,3,37,16.0,8.0,True
2020-05,5,38,15.5,8.0,True
2020-06,23,39,15.0,8.0,True
2020-07,15,40,15.5,8.0,True
2020-08,41,41,15.0,8.0,True
2020-09,37,42,15.5,8.0,True
2020-10,51,43,16.0,8.0,True
2020-11,74,44,16.0,8.0,True
2020-12,21,45,16.0,8.0,True
2021-01,23,46,16.0,8.0,True
2021-02,98,47,16.0,8.0,True
2021-03,44,48,17.0,8.0,True
2021-04,3,49,18.0,9.0,True
2021-05,120,50,17.0,8.0,True
2021-06,37,51,18.0,9.0,True
2021-07,33,52,18.5,9.0,True
2021-08,61,53,19.0,10.0,True
2021-09,65,54,19.0,10.0,True
2021-10,82,55,19.0,10.0,True
2021-11,12,56,20.0,10.0,True
2021-12,34,57,19.0,10.0,True
2022-01,36,58,20.0,10.0,True
2022-02,76,59,21.0,10.0,True
2022-03,38,60,21.5,11.0,True
2022-04,1,61,22.0,11.0,True
2022-05,45,62,21.5,11.0,True
2022-06,15,63,22.0,11.0,True
2022-07,32,64,21.5,11.0,True
2022-08,23,65,22.0,11.0,True
2022-09,36,66,22.5,11.0,True
2022-10,58,67,23.0,12.0,True
2022-11,25,68,23.0,12.0,True
2022-12,6,69,23.0,12.0,True
2023-01,37,70,23.0,12.0,True
2023-02,19,71,23.0,12.0,True
2023-03,6,72,23.0,12.0,True
2023-04,2,73,23.0,12.0,True
2023-05,21,74,22.5,11.0,True
2023-06,4,75,22.0,11.0,True
2023-07,4,76,21.5,11.0,True
2023-08,17,77,21.0,10.0,True
2023-09,14,78,21.0,10.0,True
2023-10,21,79,21.0,10.0,True
2023-11,17,80,21.0,10.0,True
2023-12,17,81,21.0,10.0,True
2024-01,30,82,20.0,10.0,True
2024-02,22,83,21.0,10.0,True
2024-03,12,84,21.0,10.0,True
2024-04,4,85,21.0,10.0,True
2024-05,19,86,20.0,10.0,True
2024-06,14,87,19.0,10.0,True
2024-07,19,88,19.0,10.0,True
2024-08,41,89,19.0,10.0,True
2024-09,35,90,19.0,10.0,True
2024-10,28,91,19.0,10.0,True
2024-11,37,92,20.0,10.0,True
2024-12,30,93,21.0,10.0,True
2025-01,38,94,21.0,10.0,True
2025-02,41,95,21.0,10.0,True
2025-03,24,96,21.0,10.0,True
2025-04,19,97,21.0,10.0,True
2025-05,11,98,21.0,10.0,True
2025-06,23,99,21.0,10.0,True
2025-07,23,100,21.0,10.0,True
2025-08,28,101,21.0,10.0,True
2025-09,25,102,21.5,11.0,True
2025-10,36,103,22.0,11.0,True
2025-11,42,104,22.0,11.0,True
2025-12,38,105,22.0,11.0,True
2026-01,17,106,22.5,11.0,True
2026-02,89,107,22.0,11.0,True
2026-03,34,108,22.5,11.0,True
