r,n_E1,n_R1,D_signed
0,745.0,753.5,0.011409395973154362
1,756.0,767.5,0.01521164021164021
2,747.0,758.5,0.015394912985274432
3,739.0,748.0,0.012178619756427604
4,754.0,763.0,0.011936339522546418
5,752.0,761.0,0.011968085106382979
6,756.0,759.5,0.004629629629629629
7,759.0,763.5,0.005928853754940711
8,758.0,767.5,0.012532981530343008
9,757.0,763.0,0.007926023778071334
10,755.0,757.5,0.0033112582781456954
11,749.0,759.0,0.01335113484646195
12,752.0,765.0,0.017287234042553192
13,757.0,764.0,0.009247027741083224
14,753.0,761.0,0.010624169986719787
15,753.0,760.5,0.0099601593625498
16,755.0,763.0,0.010596026490066225
17,756.0,762.0,0.007936507936507936
18,751.0,753.5,0.003328894806924101
19,750.0,758.5,0.011333333333333334
20,759.0,769.5,0.01383399209486166
21,757.0,764.0,0.009247027741083224
22,740.0,753.0,0.01756756756756757
23,752.0,762.0,0.013297872340425532
24,749.0,759.5,0.014018691588785047
25,758.0,764.0,0.0079155672823219
26,763.0,770.5,0.009829619921363041
27,749.0,758.5,0.012683578104138851
28,752.0,762.0,0.013297872340425532
29,759.0,763.0,0.005270092226613966
30,756.0,766.0,0.013227513227513227
31,761.0,768.0,0.009198423127463863
32,744.0,749.5,0.00739247311827957
33,755.0,763.5,0.011258278145695364
34,757.0,765.0,0.010568031704095112
35,755.0,761.5,0.008609271523178808
36,744.0,757.0,0.01747311827956989
37,759.0,766.0,0.00922266139657444
38,751.0,760.0,0.011984021304926764
39,758.0,767.0,0.011873350923482849
40,758.0,765.5,0.009894459102902375
41,760.0,766.0,0.007894736842105263
42,754.0,763.0,0.011936339522546418
43,757.0,761.5,0.0059445178335535
44,758.0,764.0,0.0079155672823219
45,760.0,766.0,0.007894736842105263
46,753.0,765.0,0.01593625498007968
47,755.0,761.5,0.008609271523178808
48,762.0,765.5,0.004593175853018373
49,760.0,769.0,0.011842105263157895
50,741.0,751.5,0.01417004048582996
51,748.0,757.0,0.012032085561497326
52,761.0,769.0,0.010512483574244415
53,763.0,767.0,0.005242463958060288
54,759.0,762.5,0.00461133069828722
55,763.0,771.0,0.010484927916120577
56,755.0,763.0,0.010596026490066225
57,754.0,767.0,0.017241379310344827
58,751.0,758.0,0.009320905459387484
59,766.0,772.5,0.008485639686684074
60,750.0,759.0,0.012
61,750.0,757.0,0.009333333333333334
62,758.0,765.0,0.009234828496042216
63,757.0,764.5,0.009907529722589167
64,752.0,759.0,0.009308510638297872
65,750.0,759.0,0.012
66,751.0,759.0,0.010652463382157125
67,755.0,759.5,0.005960264900662252
68,758.0,766.0,0.010554089709762533
69,748.0,761.5,0.01804812834224599
70,756.0,767.0,0.01455026455026455
71,753.0,764.0,0.014608233731739707
72,759.0,764.0,0.006587615283267457
73,751.0,757.0,0.007989347536617843
74,754.0,764.0,0.013262599469496022
75,753.0,762.0,0.01195219123505976
76,756.0,763.5,0.00992063492063492
77,757.0,761.5,0.0059445178335535
78,758.0,765.0,0.009234828496042216
79,756.0,763.5,0.00992063492063492
80,758.0,765.0,0.009234828496042216
81,757.0,762.0,0.0066050198150594455
82,761.0,766.0,0.006570302233902759
83,742.0,749.0,0.009433962264150943
84,754.0,765.0,0.014588859416445624
85,748.0,758.0,0.013368983957219251
86,766.0,765.0,-0.0013054830287206266
87,754.0,764.5,0.013925729442970823
88,755.0,761.0,0.007947019867549669
89,759.0,765.0,0.007905138339920948
90,758.0,769.0,0.014511873350923483
91,753.0,760.0,0.009296148738379814
92,755.0,762.0,0.009271523178807948
93,756.0,761.5,0.007275132275132275
94,755.0,763.5,0.011258278145695364
95,758.0,764.5,0.008575197889182058
96,755.0,762.5,0.009933774834437087
97,753.0,759.0,0.00796812749003984
98,752.0,759.0,0.009308510638297872
99,762.0,768.5,0.00853018372703412
100,748.0,756.0,0.0106951871657754
101,759.0,764.5,0.007246376811594203
102,754.0,763.0,0.011936339522546418
103,746.0,756.0,0.013404825737265416
104,757.0,762.0,0.0066050198150594455
105,751.0,760.0,0.011984021304926764
106,760.0,766.0,0.007894736842105263
107,755.0,759.5,0.005960264900662252
108,745.0,751.5,0.0087248322147651
109,756.0,767.0,0.01455026455026455
110,748.0,758.0,0.013368983957219251
111,760.0,767.0,0.009210526315789473
112,761.0,768.5,0.00985545335085414
113,756.0,763.0,0.009259259259259259
114,752.0,760.0,0.010638297872340425
115,757.0,764.0,0.009247027741083224
116,759.0,769.0,0.013175230566534914
117,755.0,763.0,0.010596026490066225
118,758.0,766.5,0.011213720316622692
119,753.0,763.0,0.013280212483399735
120,756.0,765.5,0.012566137566137565
121,751.0,754.0,0.0039946737683089215
122,764.0,771.5,0.00981675392670157
123,756.0,764.0,0.010582010582010581
124,754.0,764.0,0.013262599469496022
125,758.0,762.0,0.005277044854881266
126,754.0,762.0,0.010610079575596816
127,759.0,766.5,0.009881422924901186
128,763.0,768.0,0.00655307994757536
