sid,entry_pos,xpos_E0,xpos,reason,judge_pos,delay,crossed,hold_bars,nan_exit
1314,523,642,531,cond,530,0,False,9,False
2103,523,642,550,cond,549,0,False,28,False
3016,523,642,550,cond,549,0,False,28,False
3529,523,642,531,cond,530,0,False,9,False
3546,523,642,531,cond,530,0,False,9,False
6173,523,642,531,cond,530,0,False,9,False
6274,523,642,571,cond,570,0,False,49,False
6462,523,642,531,cond,530,0,False,9,False
1536,546,665,571,cond,570,0,False,26,False
2103,546,665,550,cond,549,0,False,5,False
4147,546,665,665,H120,-1,0,False,120,False
8358,546,665,613,cond,612,0,False,68,False
1314,564,683,571,cond,570,0,False,8,False
1536,564,683,571,cond,570,0,False,8,False
2002,564,683,571,cond,570,0,False,8,False
2049,564,683,683,H120,-1,0,False,120,False
2233,564,683,571,cond,570,0,False,8,False
2345,564,683,571,cond,570,0,False,8,False
2351,564,683,571,cond,570,0,False,8,False
3236,564,683,571,cond,570,0,False,8,False
3260,564,683,571,cond,570,0,False,8,False
3289,564,683,571,cond,570,0,False,8,False
4147,564,683,683,H120,-1,0,False,120,False
4919,564,683,571,cond,570,0,False,8,False
5347,564,683,571,cond,570,0,False,8,False
5425,564,683,571,cond,570,0,False,8,False
5483,564,683,571,cond,570,0,False,8,False
6182,564,683,571,cond,570,0,False,8,False
6488,564,683,571,cond,570,0,False,8,False
6510,564,683,683,H120,-1,0,False,120,False
8049,564,683,571,cond,570,0,False,8,False
8358,564,683,613,cond,612,0,False,50,False
8383,564,683,571,cond,570,0,False,8,False
9938,564,683,571,cond,570,0,False,8,False
3105,584,703,703,H120,-1,0,False,120,False
3532,584,703,592,cond,591,0,False,9,False
4147,584,703,703,H120,-1,0,False,120,False
4721,584,703,592,cond,591,0,False,9,False
5289,584,703,592,cond,591,0,False,9,False
8464,584,703,636,cond,635,0,False,53,False
1597,607,726,636,cond,635,0,False,30,False
2049,607,726,726,H120,-1,0,False,120,False
2344,607,726,720,cond,719,0,False,114,False
3227,607,726,657,cond,656,0,False,51,False
3323,607,726,636,cond,635,0,False,30,False
3515,607,726,636,cond,635,0,False,30,False
3580,607,726,613,cond,612,0,False,7,False
3665,607,726,636,cond,635,0,False,30,False
4129,607,726,613,cond,612,0,False,7,False
4502,607,726,613,cond,612,0,False,7,False
4968,607,726,700,cond,699,0,False,94,False
4974,607,726,613,cond,612,0,False,7,False
6156,607,726,613,cond,612,0,False,7,False
6409,607,726,613,cond,612,0,False,7,False
6510,607,726,700,cond,699,0,False,94,False
1597,628,747,636,cond,635,0,False,9,False
1707,628,747,636,cond,635,0,False,9,False
2344,628,747,720,cond,719,0,False,93,False
2356,628,747,636,cond,635,0,False,9,False
2376,628,747,657,cond,656,0,False,30,False
2395,628,747,636,cond,635,0,False,9,False
2399,628,747,636,cond,635,0,False,9,False
2618,628,747,677,cond,676,0,False,50,False
2890,628,747,636,cond,635,0,False,9,False
3587,628,747,700,cond,699,0,False,73,False
3665,628,747,636,cond,635,0,False,9,False
4968,628,747,700,cond,699,0,False,73,False
6239,628,747,677,cond,676,0,False,50,False
6414,628,747,700,cond,699,0,False,73,False
6415,628,747,636,cond,635,0,False,9,False
9951,628,747,636,cond,635,0,False,9,False
2328,651,770,677,cond,676,0,False,27,False
4916,651,770,677,cond,676,0,False,27,False
5269,651,770,657,cond,656,0,False,7,False
6239,651,770,677,cond,676,0,False,27,False
6510,651,770,700,cond,699,0,False,50,False
9941,651,770,657,cond,656,0,False,7,False
1301,673,792,677,cond,676,0,False,5,False
1303,673,792,700,cond,699,0,False,28,False
1312,673,792,677,cond,676,0,False,5,False
1565,673,792,677,cond,676,0,False,5,False
1710,673,792,700,cond,699,0,False,28,False
1718,673,792,677,cond,676,0,False,5,False
1909,673,792,720,cond,719,0,False,48,False
2327,673,792,777,cond,776,0,False,105,False
2328,673,792,677,cond,676,0,False,5,False
2354,673,792,720,cond,719,0,False,48,False
2367,673,792,742,cond,741,0,False,70,False
2439,673,792,742,cond,741,0,False,70,False
2458,673,792,700,cond,699,0,False,28,False
2464,673,792,700,cond,699,0,False,28,False
2609,673,792,677,cond,676,0,False,5,False
2618,673,792,677,cond,676,0,False,5,False
2723,673,792,700,cond,699,0,False,28,False
2884,673,792,677,cond,676,0,False,5,False
2892,673,792,677,cond,676,0,False,5,False
3036,673,792,742,cond,741,0,False,70,False
3545,673,792,677,cond,676,0,False,5,False
3563,673,792,792,H120,-1,0,False,120,False
3625,673,792,700,cond,699,0,False,28,False
4147,673,792,764,cond,763,0,False,92,False
4977,673,792,677,cond,676,0,False,5,False
5274,673,792,677,cond,676,0,False,5,False
6182,673,792,677,cond,676,0,False,5,False
6220,673,792,677,cond,676,0,False,5,False
6414,673,792,700,cond,699,0,False,28,False
6449,673,792,677,cond,676,0,False,5,False
6456,673,792,720,cond,719,0,False,48,False
6462,673,792,677,cond,676,0,False,5,False
8039,673,792,700,cond,699,0,False,28,False
8105,673,792,677,cond,676,0,False,5,False
1909,692,811,720,cond,719,0,False,29,False
2337,692,811,700,cond,699,0,False,9,False
2344,692,811,720,cond,719,0,False,29,False
2354,692,811,720,cond,719,0,False,29,False
2428,692,811,700,cond,699,0,False,9,False
2606,692,811,700,cond,699,0,False,9,False
2883,692,811,700,cond,699,0,False,9,False
3014,692,811,700,cond,699,0,False,9,False
3036,692,811,742,cond,741,0,False,51,False
3232,692,811,700,cond,699,0,False,9,False
3324,692,811,700,cond,699,0,False,9,False
3362,692,811,700,cond,699,0,False,9,False
3526,692,811,700,cond,699,0,False,9,False
3532,692,811,720,cond,719,0,False,29,False
3625,692,811,700,cond,699,0,False,9,False
3653,692,811,700,cond,699,0,False,9,False
3661,692,811,700,cond,699,0,False,9,False
4147,692,811,764,cond,763,0,False,73,False
4739,692,811,700,cond,699,0,False,9,False
4763,692,811,764,cond,763,0,False,73,False
4968,692,811,700,cond,699,0,False,9,False
4991,692,811,700,cond,699,0,False,9,False
5457,692,811,700,cond,699,0,False,9,False
6269,692,811,742,cond,741,0,False,51,False
6271,692,811,700,cond,699,0,False,9,False
6412,692,811,700,cond,699,0,False,9,False
6414,692,811,700,cond,699,0,False,9,False
