sid,entry_pos,xpos_E0,xpos,reason,judge_pos,delay,crossed,hold_bars,nan_exit
1314,523,642,527,cond,526,0,False,5,False
2103,523,642,642,H120,-1,0,False,120,False
3016,523,642,535,cond,534,0,False,13,False
3529,523,642,534,cond,533,0,False,12,False
3546,523,642,556,cond,555,0,False,34,False
6173,523,642,528,cond,527,0,False,6,False
6274,523,642,526,cond,525,0,False,4,False
6462,523,642,642,cap_priority,641,0,False,120,False
1536,546,665,573,cond,572,0,False,28,False
2103,546,665,665,H120,-1,0,False,120,False
4147,546,665,589,cond,588,0,False,44,False
8358,546,665,665,H120,-1,0,False,120,False
1314,564,683,632,cond,631,0,False,69,False
1536,564,683,573,cond,572,0,False,10,False
2002,564,683,643,cond,642,0,False,80,False
2049,564,683,577,cond,576,0,False,14,False
2233,564,683,656,cond,655,0,False,93,False
2345,564,683,573,cond,572,0,False,10,False
2351,564,683,577,cond,576,0,False,14,False
3236,564,683,576,cond,575,0,False,13,False
3260,564,683,573,cond,572,0,False,10,False
3289,564,683,588,cond,587,0,False,25,False
4147,564,683,589,cond,588,0,False,26,False
4919,564,683,590,cond,589,0,False,27,False
5347,564,683,683,H120,-1,0,False,120,False
5425,564,683,565,cond,564,0,False,2,False
5483,564,683,590,cond,589,0,False,27,False
6182,564,683,578,cond,577,0,False,15,False
6488,564,683,571,cond,570,0,False,8,False
6510,564,683,588,cond,587,0,False,25,False
8049,564,683,574,cond,573,0,False,11,False
8358,564,683,676,cond,675,0,False,113,False
8383,564,683,683,H120,-1,0,False,120,False
9938,564,683,567,cond,566,0,False,4,False
3105,584,703,586,cond,585,0,False,3,False
3532,584,703,667,cond,666,0,False,84,False
4147,584,703,589,cond,588,0,False,6,False
4721,584,703,615,cond,614,0,False,32,False
5289,584,703,630,cond,629,0,False,47,False
8464,584,703,602,cond,601,0,False,19,False
1597,607,726,613,cond,612,0,False,7,False
2049,607,726,615,cond,614,0,False,9,False
2344,607,726,614,cond,613,0,False,8,False
3227,607,726,613,cond,612,0,False,7,False
3323,607,726,608,cond,607,0,False,2,False
3515,607,726,612,cond,611,0,False,6,False
3580,607,726,702,cond,701,0,False,96,False
3665,607,726,632,cond,631,0,False,26,False
4129,607,726,621,cond,620,0,False,15,False
4502,607,726,611,cond,610,0,False,5,False
4968,607,726,652,cond,651,0,False,46,False
4974,607,726,620,cond,619,0,False,14,False
6156,607,726,656,cond,655,0,False,50,False
6409,607,726,614,cond,613,0,False,8,False
6510,607,726,616,cond,615,0,False,10,False
1597,628,747,629,cond,628,0,False,2,False
1707,628,747,731,cond,730,0,False,104,False
2344,628,747,632,cond,631,0,False,5,False
2356,628,747,630,cond,629,0,False,3,False
2376,628,747,645,cond,644,0,False,18,False
2395,628,747,643,cond,642,0,False,16,False
2399,628,747,630,cond,629,0,False,3,False
2618,628,747,651,cond,650,0,False,24,False
2890,628,747,643,cond,642,0,False,16,False
3587,628,747,747,H120,-1,0,False,120,False
3665,628,747,632,cond,631,0,False,5,False
