arm,r,seed,eq_sha,tr,tr_prev,cagr,mdd,expo,slot,trades
E1,0,102000,fa00658276d0e7602ed81e01b826dd11feb7139d5db87269104e5de047985ead,-0.7070998647921235,-0.7102341725834729,-0.12196199573037336,-0.7391187004252403,0.307277762127528,0.3258624602814344,745
E1,1,102001,035eb8370f291092c4b03e63259579e8b9d2c64ebf91f3c38f998ee116e4af74,-0.7569208228533432,-0.7595219993884952,-0.13913206287093172,-0.8060789869036674,0.30106257911243395,0.3188266000907853,756
E1,2,102002,76677164d0fdeb4f49f16b52a935d9ced71e50e88a941dae3aadebc20cb9fb02,-0.592867381867176,-0.5972240850015755,-0.09079453292300965,-0.7233244164505189,0.30313389126743706,0.32081252837040397,747
E1,3,102003,58338c6aa55441cdf93aece36681c98a9f999ee90d96c73cf33b12f0426c017a,-0.5696886437644899,-0.5742933812652011,-0.08544640690270167,-0.6651424755822302,0.3148058745877454,0.3336359509759419,739
E1,4,102004,b5421b671627d015e2bd683e811cdafc8f4fce2d76418c4ff97d506a327980aa,-0.6842669943106547,-0.6876456353584506,-0.11495276668470933,-0.7707347532290078,0.30306418391761536,0.3203586019064911,754
E1,5,102005,19963158f1e952854746eca7e46087b3bd7ac2a34894d56d1842e4b20a0a30a4,-0.5268226019897366,-0.5318860465805745,-0.07620086323475062,-0.6784604766415989,0.2982721266472835,0.3157058556513845,752
E1,6,102006,21cbf98779fe8bba43281e5982b227b2443687e1f94e827b2db7c152c9b7f017,-0.7162851927545639,-0.7193212088705669,-0.12492032576358447,-0.7673959988786049,0.30193629361751007,0.3199046754425783,756
E1,7,102007,36d9dbd94ab26464a3b3ac692deacdfce4d9ab3e54b9bc69bf22a5f45011e2fc,-0.6295371988554221,-0.633501500350908,-0.09983915930359821,-0.6920202963497372,0.296464209046149,0.31286881525192917,759
E1,8,102008,a148433b018f3660e7abde93ecb9d160cf7cec1574648f384b1b9789ba8a0bd7,-0.7310263369307937,-0.7339046088961764,-0.12985200915869466,-0.7975745883594387,0.2959054624139086,0.31360644575578756,758
E1,9,102009,8c8b6e13a25d1b21438b2d5ef7997f680a3b0be14970a7b9019141497ef1afa3,-0.7572797090291731,-0.7598770451436427,-0.139266779984901,-0.8003786542208523,0.29420886286516257,0.31082614616432136,757
E1,10,102010,8d855a6d3f19a6b99ff4737b8e6aebfc27c1538c864609f5cb16abbe79b9475b,-0.6123479319080942,-0.6164961747775994,-0.09550424045571648,-0.7180054666196447,0.30539277178937024,0.32302541988197914,755
E1,11,102011,527158a7798fec0bf94c0173fabb6e842baa7f8fdb5b1add29f77dd8f000aad5,-0.6177493779253196,-0.6218398202262988,-0.0968475794093393,-0.6999780485072055,0.3081553099764153,0.3259192010894235,749
