month,筆數,高峰月
2017-03,7,False
2017-04,2,False
2017-05,23,False
2017-06,8,False
2017-07,13,False
2017-08,18,False
2017-09,6,False
2017-10,27,False
2017-11,37,False
2017-12,19,False
2018-01,18,False
2018-02,27,False
2018-03,31,False
2018-04,4,False
2018-05,28,False
2018-06,12,False
2018-07,34,False
2018-08,27,False
2018-09,29,False
2018-10,26,False
2018-11,10,False
2018-12,5,False
2019-01,11,False
2019-02,9,False
2019-03,19,False
2019-04,2,False
2019-05,14,False
2019-06,14,False
2019-07,12,False
2019-08,13,False
2019-09,18,False
2019-10,29,False
2019-11,21,False
2019-12,28,False
2020-01,10,False
2020-02,32,False
2020-03,7,False
2020-04,3,False
2020-05,6,False
2020-06,20,False
2020-07,18,False
2020-08,38,False
2020-09,36,False
2020-10,50,True
2020-11,78,True
2020-12,20,False
2021-01,25,False
2021-02,93,True
2021-03,47,True
2021-04,2,False
2021-05,107,True
2021-06,44,False
2021-07,40,False
2021-08,45,False
2021-09,74,True
2021-10,89,True
2021-11,12,False
2021-12,34,False
2022-01,27,False
2022-02,78,True
2022-03,47,True
2022-04,1,False
2022-05,44,False
2022-06,15,False
2022-07,31,False
2022-08,24,False
2022-09,35,False
2022-10,51,True
2022-11,33,False
2022-12,7,False
2023-01,33,False
2023-02,22,False
2023-03,7,False
2023-04,2,False
2023-05,21,False
2023-06,4,False
2023-07,4,False
2023-08,15,False
2023-09,15,False
2023-10,19,False
2023-11,19,False
2023-12,17,False
2024-01,30,False
2024-02,22,False
2024-03,13,False
2024-04,4,False
2024-05,18,False
2024-06,14,False
2024-07,19,False
2024-08,36,False
2024-09,35,False
2024-10,32,False
2024-11,36,False
2024-12,31,False
2025-01,33,False
2025-02,47,True
2025-03,24,False
2025-04,17,False
2025-05,11,False
2025-06,24,False
2025-07,25,False
2025-08,27,False
2025-09,26,False
2025-10,30,False
2025-11,45,False
2025-12,39,False
2026-01,19,False
2026-02,83,True
2026-03,40,False
