r,共同區間日數,三臂互比,各臂對E0
0,1,區間過短,✅ 相同
1,1,區間過短,✅ 相同
2,1,區間過短,✅ 相同
3,1,區間過短,✅ 相同
4,1,區間過短,✅ 相同
5,1,區間過短,✅ 相同
6,1,區間過短,✅ 相同
7,1,區間過短,✅ 相同
8,1,區間過短,✅ 相同
9,1,區間過短,✅ 相同
10,1,區間過短,✅ 相同
11,1,區間過短,✅ 相同
12,1,區間過短,✅ 相同
13,1,區間過短,✅ 相同
14,1,區間過短,✅ 相同
15,1,區間過短,✅ 相同
16,1,區間過短,✅ 相同
17,1,區間過短,✅ 相同
18,1,區間過短,✅ 相同
19,1,區間過短,✅ 相同
20,1,區間過短,✅ 相同
21,1,區間過短,✅ 相同
22,1,區間過短,✅ 相同
23,1,區間過短,✅ 相同
24,1,區間過短,✅ 相同
25,1,區間過短,✅ 相同
26,1,區間過短,✅ 相同
27,1,區間過短,✅ 相同
28,1,區間過短,✅ 相同
29,1,區間過短,✅ 相同
30,1,區間過短,✅ 相同
31,1,區間過短,✅ 相同
32,1,區間過短,✅ 相同
33,1,區間過短,✅ 相同
34,1,區間過短,✅ 相同
35,1,區間過短,✅ 相同
36,1,區間過短,✅ 相同
37,1,區間過短,✅ 相同
38,1,區間過短,✅ 相同
39,1,區間過短,✅ 相同
40,1,區間過短,✅ 相同
41,1,區間過短,✅ 相同
42,1,區間過短,✅ 相同
43,1,區間過短,✅ 相同
44,1,區間過短,✅ 相同
45,1,區間過短,✅ 相同
46,1,區間過短,✅ 相同
47,1,區間過短,✅ 相同
48,1,區間過短,✅ 相同
49,1,區間過短,✅ 相同
50,1,區間過短,✅ 相同
51,1,區間過短,✅ 相同
52,1,區間過短,✅ 相同
53,1,區間過短,✅ 相同
54,1,區間過短,✅ 相同
55,1,區間過短,✅ 相同
56,1,區間過短,✅ 相同
57,1,區間過短,✅ 相同
58,1,區間過短,✅ 相同
59,1,區間過短,✅ 相同
60,1,區間過短,✅ 相同
61,1,區間過短,✅ 相同
62,1,區間過短,✅ 相同
63,1,區間過短,✅ 相同
64,1,區間過短,✅ 相同
65,1,區間過短,✅ 相同
66,1,區間過短,✅ 相同
67,1,區間過短,✅ 相同
68,1,區間過短,✅ 相同
69,1,區間過短,✅ 相同
70,1,區間過短,✅ 相同
71,1,區間過短,✅ 相同
72,1,區間過短,✅ 相同
73,1,區間過短,✅ 相同
74,1,區間過短,✅ 相同
75,1,區間過短,✅ 相同
76,1,區間過短,✅ 相同
77,1,區間過短,✅ 相同
78,1,區間過短,✅ 相同
79,1,區間過短,✅ 相同
80,1,區間過短,✅ 相同
81,1,區間過短,✅ 相同
82,1,區間過短,✅ 相同
83,1,區間過短,✅ 相同
84,1,區間過短,✅ 相同
85,1,區間過短,✅ 相同
86,1,區間過短,✅ 相同
87,1,區間過短,✅ 相同
88,1,區間過短,✅ 相同
89,1,區間過短,✅ 相同
90,1,區間過短,✅ 相同
91,1,區間過短,✅ 相同
92,1,區間過短,✅ 相同
93,1,區間過短,✅ 相同
94,1,區間過短,✅ 相同
95,1,區間過短,✅ 相同
96,1,區間過短,✅ 相同
97,1,區間過短,✅ 相同
98,1,區間過短,✅ 相同
99,1,區間過短,✅ 相同
100,1,區間過短,✅ 相同
101,1,區間過短,✅ 相同
102,1,區間過短,✅ 相同
103,1,區間過短,✅ 相同
104,1,區間過短,✅ 相同
105,1,區間過短,✅ 相同
106,1,區間過短,✅ 相同
107,1,區間過短,✅ 相同
108,1,區間過短,✅ 相同
109,1,區間過短,✅ 相同
110,1,區間過短,✅ 相同
111,1,區間過短,✅ 相同
112,1,區間過短,✅ 相同
113,1,區間過短,✅ 相同
114,1,區間過短,✅ 相同
115,1,區間過短,✅ 相同
116,1,區間過短,✅ 相同
117,1,區間過短,✅ 相同
118,1,區間過短,✅ 相同
119,1,區間過短,✅ 相同
120,1,區間過短,✅ 相同
121,1,區間過短,✅ 相同
122,1,區間過短,✅ 相同
123,1,區間過短,✅ 相同
124,1,區間過短,✅ 相同
125,1,區間過短,✅ 相同
126,1,區間過短,✅ 相同
127,1,區間過短,✅ 相同
128,1,區間過短,✅ 相同
129,1,區間過短,✅ 相同
130,1,區間過短,✅ 相同
131,1,區間過短,✅ 相同
132,1,區間過短,✅ 相同
133,1,區間過短,✅ 相同
134,1,區間過短,✅ 相同
135,1,區間過短,✅ 相同
136,1,區間過短,✅ 相同
137,1,區間過短,✅ 相同
138,1,區間過短,✅ 相同
139,1,區間過短,✅ 相同
140,1,區間過短,✅ 相同
141,1,區間過短,✅ 相同
142,1,區間過短,✅ 相同
143,1,區間過短,✅ 相同
144,1,區間過短,✅ 相同
145,1,區間過短,✅ 相同
146,1,區間過短,✅ 相同
147,1,區間過短,✅ 相同
148,1,區間過短,✅ 相同
149,1,區間過短,✅ 相同
150,1,區間過短,✅ 相同
151,1,區間過短,✅ 相同
152,1,區間過短,✅ 相同
153,1,區間過短,✅ 相同
154,1,區間過短,✅ 相同
155,1,區間過短,✅ 相同
156,1,區間過短,✅ 相同
157,1,區間過短,✅ 相同
158,1,區間過短,✅ 相同
159,1,區間過短,✅ 相同
160,1,區間過短,✅ 相同
161,1,區間過短,✅ 相同
162,1,區間過短,✅ 相同
163,1,區間過短,✅ 相同
164,1,區間過短,✅ 相同
165,1,區間過短,✅ 相同
166,1,區間過短,✅ 相同
167,1,區間過短,✅ 相同
168,1,區間過短,✅ 相同
169,1,區間過短,✅ 相同
170,1,區間過短,✅ 相同
171,1,區間過短,✅ 相同
172,1,區間過短,✅ 相同
173,1,區間過短,✅ 相同
174,1,區間過短,✅ 相同
175,1,區間過短,✅ 相同
176,1,區間過短,✅ 相同
177,1,區間過短,✅ 相同
178,1,區間過短,✅ 相同
179,1,區間過短,✅ 相同
180,1,區間過短,✅ 相同
181,1,區間過短,✅ 相同
182,1,區間過短,✅ 相同
183,1,區間過短,✅ 相同
184,1,區間過短,✅ 相同
185,1,區間過短,✅ 相同
186,1,區間過短,✅ 相同
187,1,區間過短,✅ 相同
188,1,區間過短,✅ 相同
189,1,區間過短,✅ 相同
190,1,區間過短,✅ 相同
191,1,區間過短,✅ 相同
192,1,區間過短,✅ 相同
193,1,區間過短,✅ 相同
194,1,區間過短,✅ 相同
195,1,區間過短,✅ 相同
196,1,區間過短,✅ 相同
197,1,區間過短,✅ 相同
198,1,區間過短,✅ 相同
199,1,區間過短,✅ 相同
