欄,本趟,P12交件,逐位元
C,C1,C1,✅
S,S1,S1,✅
T,T1,T1,✅
cagr_med,0.2820350701063953,0.2820350701063953,✅
cagr_p10,0.20434354723573306,0.20434354723573306,✅
cagr_p90,0.36820505943804477,0.36820505943804477,✅
cost,成本0.585%,成本0.585%,✅
expo_med,0.8713977071219294,0.8713977071219294,✅
mdd_med,-0.41432426935458594,-0.41432426935458594,✅
mdd_p10,-0.47524809022050024,-0.47524809022050024,✅
mdd_p90,-0.37023358981058885,-0.37023358981058885,✅
seeds,200,200,✅
slot_med,0.8871002592912706,0.8871002592912706,✅
tr_mean,10.721624085824924,10.721624085824924,✅
tr_med,9.439161911168174,9.439161911168174,✅
tr_p10,4.785625917637471,4.785625917637471,✅
tr_p90,18.292071231974276,18.292071231974276,✅
tr_prev_med,9.327453029606506,9.327453029606506,✅
trades_med,138.0,138.0,✅
win,全窗,全窗,✅
