格,得,手算,判,依據
①σ_E,0.39528470752104744,0.39528470752104744,✅≤4ulp,變異數 0.625/4 ＝ 5/32
②σ_B,0.19764235376052372,0.19764235376052372,✅≤4ulp,變異數 0.15625/4 ＝ 5/128
③σ_B＝σ_E/2,0.19764235376052372,0.19764235376052372,✅≤4ulp,5/128 ＝ (5/32)/4
"④ρ(E,B)",0.9999999999999999,1.0,✅≤4ulp,r_B ＝ r_E×0.5
"⑤ρ(E,B2)",0.8999999999999998,0.9,✅≤4ulp,cov 0.28125/4 ÷ (σ_Eσ_B2 ＝ 5/64)
⑥w_eq,0.33333333333333337,0.3333333333333333,✅≤4ulp,0.5σ/1.5σ
⑦w_tv,0.5,0.5,✅≤4ulp,"min(1, 0.5)"
⑧w_rp(ρ=0.9),0.3333333333334849,0.3333333333333333,✅≤1e−12,⚠ 二分搜尋 ⇒ 容差＝登錄的收斂門檻，⛔ 非逐位元
⑨換手金額,0.25,0.25,✅逐位元,|0.75 − 1.0|
⑩換手成本,0.0014625,0.0014625,✅逐位元,0.25 × 0.585%
⑪再平衡後,1.4985375,1.4985375,✅逐位元,1.5 − 成本
⑫次日,2.24780625,2.24780625,✅逐位元,兩邊各半
⑬w_tv截斷,1.0,1.0,✅逐位元,σ_B/σ_E ＝ 2 ⇒ min 要咬
⑭期初照w,1.25,1.25,✅逐位元,w[0]=0.25 ⇒ ⛔ 不是寫死 0.5
⑮期初照w次日,2.0,2.0,✅逐位元,E 側不動、B 側翻倍
⑯常數L,120.0,120.0,✅逐位元,§1-2 寫死
⑰常數成本,0.00585,0.00585,✅逐位元,§1-4 寫死
