r,eq_sha_raw,n_in,n_out,n_hold,ep_dev,n_turn
0,dac47549f79f483a387b73c6607c9f2ab7c3d3784527576fe7ba090249ea355b,8,0,8,1.2644511424832435e-16,8
1,7b49fbf5674072c1c80de79678a57273bd87802d94430262593a229f6d41a1ad,8,0,8,1.2644511424832435e-16,8
2,a4948e2eda8613e51217dcb6e3655ed1150c2eeab0a64454198c20ac4c1d34c2,8,0,8,1.2644511424832435e-16,8
3,6569498263e963dd5bcf5a882a237ddc95fbe97014baaacca3afa9f16423a3bc,8,0,8,1.2644511424832435e-16,8
4,58abc0a40b0e22eac1e3b83ad6206f82e72fdd7da9070c025466a44a0bb01e61,8,0,8,1.2644511424832435e-16,8
5,2fd1d27c15bd70efb4ca48b80b4e4c38a8931e220c5716e3f157a7039cc70fde,8,0,8,1.2644511424832435e-16,8
6,9a82e5e8d3f080f13de3947aaabf7eb015cae0cbec1e7f686efdcfcbe5a61a0b,8,0,8,1.2644511424832435e-16,8
7,dfc32fe6f31fdfd67a9360d593404ce0297d74fa08e2d47f4cf4d5f82c8e83c3,8,0,8,1.2644511424832435e-16,8
8,3c0a7834af1e6cb5f2844d6428ab33eb7c0032ae21fe7cfe45484a279f2f829b,8,0,8,1.2644511424832435e-16,8
9,673e0e5311841a553fe09f5b484722fd20073ec76b91b28f2e6ec34a70d799a0,8,0,8,1.2644511424832435e-16,8
10,9fb1c8455203967dab3afd08d267846516f11b8970deadbd590162433c973be0,8,0,8,1.2644511424832435e-16,8
11,47b6a8470295277cffaeddf330e943108a3655ab36db0ce1526bdecb86d9a2e9,8,0,8,1.2644511424832435e-16,8
12,d00e130583cebd675b6daee711d0339336ba946c45ab2bee16eff15f2588cf28,8,0,8,1.2644511424832435e-16,8
13,514956df598840e968119b27fb05089b73a77d49d65b8325648aebc8eb40b624,8,0,8,1.2644511424832435e-16,8
14,92cc56f9524fab9d469da13585424357119268686defce66209ea9d9bf78b11a,8,0,8,1.2644511424832435e-16,8
15,6040c5b0fb68d57a89da03232fd7793c21fcf4cbb7d267a9ae3d2c13dfee7cb6,8,0,8,1.2644511424832435e-16,8
16,0a916388604a31fd70f8b3d47d1ced9964d61b8e02be4c1c054977e2c46bad14,8,0,8,1.2644511424832435e-16,8
17,193120b797efbce958dbe8ba8907b8c4f72ac827b385f22a2ed18669f6d5ed16,8,0,8,1.2644511424832435e-16,8
18,49a7dc3327cf970916ab2dd9366b83d25f18a0e1820bdb25ac85fbb0c9ff4c99,8,0,8,1.2644511424832435e-16,8
19,5003e87625576bfee102d90d3fed228c1054f2b4bd587dfe08da143f7ae9533a,8,0,8,1.2644511424832435e-16,8
20,fcc4776f0543c1610b547921d08bc99673280abd1f00155f52520ece5c2c98d1,8,0,8,1.2644511424832435e-16,8
21,5cb6bfdb4b49d878fd75aa531ce33d290a30a33ac7046e2fb8577df7509ed679,8,0,8,1.2644511424832435e-16,8
22,097821285e72330596ff54cb94320db6c13d66a20c47672bccc46348e53579b7,8,0,8,1.2644511424832435e-16,8
23,191d919a9fa97d8a8de916b0e00bf8498cccb2f77b2311e8ee15319ececf4a2a,8,0,8,1.2644511424832435e-16,8
24,facde0e4872afa896b8a19371f998762a73b2f58936d4d94018a9dc3eb59b317,8,0,8,1.2644511424832435e-16,8
25,b83fa078278c4166c132791d635dc59fa6e82a7e53295272aa633b1675f99a42,8,0,8,1.2644511424832435e-16,8
26,8300e489ccca61004b7a3b17f769468f2591202af9f6237581751ccaec8bbfef,8,0,8,1.2644511424832435e-16,8
27,41b78f6446ebbc714c036c32aaf93362eedbc903a0c6c1de5d03e16d1da238ff,8,0,8,1.2644511424832435e-16,8
28,a6d258f1772b5e14006d90c183134dca7c9a12346706fc698e7a05c314e2c4d3,8,0,8,1.2644511424832435e-16,8
29,16440f4bae8d599187d7a381d96ae817d510371507080fd8055bf26a44e15285,8,0,8,1.2644511424832435e-16,8
30,069128f9862e989590de79c68b22460230e6e193f613ea8f1ba98b4766f6fa1e,8,0,8,1.2644511424832435e-16,8
31,375dee19c8ff9d9f117744e24b1d605a63ff4f707a0a071361708698dafbf2b9,8,0,8,1.2644511424832435e-16,8
32,332213462782b41e6d1b3eb87b63efa3b989475262a550074326fce156073aca,8,0,8,1.2644511424832435e-16,8
33,3d7e555a48650e937c76e4b715bc01aca3e4fb8e1b350fd4426ce2397ad385bc,8,0,8,1.2644511424832435e-16,8
34,42814212095f0d92129879afa30900481ecfabb9606d34b5c0b4707c074f7d4e,8,0,8,1.2644511424832435e-16,8
35,843bd7cc947c96d9a93c48287b6acf6dc48c3078b467a1aee50491a185e9796c,8,0,8,1.2644511424832435e-16,8
36,91fa4ff6bb7933597a17fcb3342808ab146fe7f059d1347ac9003b24bd78058b,8,0,8,1.2644511424832435e-16,8
37,15d4d2966f17cb088e3caf9d97a20307d28d8d2eab69a80afc4bb43157556fd3,8,0,8,1.2644511424832435e-16,8
38,53d1321f5424d4d74faebaa3360f8928305986e2ba20bdfa0a6fe1d262c1d6f7,8,0,8,1.2644511424832435e-16,8
39,10d8239c1ef14ee84e32b1d2e385e23f78c791f0996874cc2f1f1cdebb7b39be,8,0,8,1.2644511424832435e-16,8
40,b8f426155f2bf5081a319baf90e87fd37d84e71ea855a144b5bc33c0a3fd1084,8,0,8,1.2644511424832435e-16,8
41,fc7aa96b091ccb32684626b539274833f2e112acb4374f753f3f1ebd43f2e1e0,8,0,8,1.2644511424832435e-16,8
42,ea7fe652f7fee165d54ad865b21e4febe8a4ab9806f188efc88b8acc86255bc0,8,0,8,1.2644511424832435e-16,8
43,b026e42b9b30ada3ade5ef38baf90093a84d7e25f02a57ec9c976c402d5f90b9,8,0,8,1.2644511424832435e-16,8
44,d83a8a5940d1f7ea707e8c6956ddf6d4dc2857384b767840beb0c8ab2f5d069e,8,0,8,1.2644511424832435e-16,8
45,df7ef74bffac913e01117e5ac8b69897974093ddc3c7f1be3ca857e5730c71fd,8,0,8,1.2644511424832435e-16,8
46,207e6e4d64e359323cbcdcbf847063c9ba0be224bffd17d084411928a9cdabbc,8,0,8,1.2644511424832435e-16,8
47,7dcb770431ce134b2dde83b5a75486cb25d0bfcfeb0b2e583a06eebb928ff7c1,8,0,8,1.2644511424832435e-16,8
48,c507b9b502cf0707d3159dd34ab69a1f2506c3c434836ef71cfdc238618483b8,8,0,8,1.2644511424832435e-16,8
49,920b7a592a7deb98c4b9160ea8b988d7f4300c04a6ac9df7ac8c1003b859827b,8,0,8,1.2644511424832435e-16,8
50,8989319b896ea01d20aa0b51006252c495e9d597c7aa2103772bd6c0e146596e,8,0,8,1.2644511424832435e-16,8
51,7e3975d556bc2a54100715fee5d0b6889318fb6af59165607cc0987a9a50c66f,8,0,8,1.2644511424832435e-16,8
52,7e8a2880c6e39554a831fc512aa8f4f934a1398be1fe550a8ec5288b3c200b3f,8,0,8,1.2644511424832435e-16,8
53,e5d2ca24d1d13706fe0e835c8b61ac18370f545ce02a4d96714dbcde2b666a59,8,0,8,1.2644511424832435e-16,8
54,57eab1c3c6d7a7c0df87e543eaefc25631d4b8a27459e83986b52112dcd740f2,8,0,8,1.2644511424832435e-16,8
55,0ca4c81178f80741f696ca6aa99416617ed5f163fedfba8fcf30461bd205bc8f,8,0,8,1.2644511424832435e-16,8
56,1c8e6b8e183ce08805b89f51da22ce4af928b7456721e4b187ba2166430849c5,8,0,8,1.2644511424832435e-16,8
57,d831bb991142579f4435b5c90aa98d33de0b1e86922e8e8c5effce29a1dd9d1c,8,0,8,1.2644511424832435e-16,8
58,335c15c4d8eeda15c28b494c3d806e86af4e86cdb3f8b8d9f769c08c783d4925,8,0,8,1.2644511424832435e-16,8
59,6b286f13af52f29318aa7be605563d1b830e2027cd4eeb091c95227a98cc95a9,8,0,8,1.2644511424832435e-16,8
60,4349a8ade5c5a373e250c795846a724f2c4f3f5dba9def85bf2cd786583a912d,8,0,8,1.2644511424832435e-16,8
61,4899939487b62205b091e50f3a4032395388a2940369646fd1e4f0e757c89b33,8,0,8,1.2644511424832435e-16,8
62,b55aab326295415865b468ac8c6ccd83b2cd7c77c1b0d1415698cf7ea6fb354f,8,0,8,1.2644511424832435e-16,8
63,2e9b47df55b37a7532d950e69279464a7116796b32693764c8a3ca5bf4b5cad2,8,0,8,1.2644511424832435e-16,8
64,a11560f5d6fc0fc1126e04c65e3a28807ef09e801b57fe15930cb246638d928d,8,0,8,1.2644511424832435e-16,8
65,8552f2170ce63fa9b2e1565b76b57f1276b13decf0b1a7139f2daa6bbbb28131,8,0,8,1.2644511424832435e-16,8
66,ae41396e055c8c24ff400a328a0dba9c8cf7c0852b7e90380042c12fd3cc2dd9,8,0,8,1.2644511424832435e-16,8
67,5f15761a95dc46b50f2537c49db71c53294fac299a5127cb94f2fe2649a7cd93,8,0,8,1.2644511424832435e-16,8
68,966a644598b3ae9f42c19577f07327b6dc5ab210724deae8a558c2d43145ab4f,8,0,8,1.2644511424832435e-16,8
69,ff837f1388c14b1ba7e5592ccdd535dd92b89e00a60e9f8f945d4730c0c1bdd5,8,0,8,1.2644511424832435e-16,8
70,3b040cb9dd1594cff062d6d15a9a8e6b950c6ed5fc0c11d0764ea15fde630362,8,0,8,1.2644511424832435e-16,8
71,d8d5a5c331e160d526f050f250a58acdca2e2007a6ec19ce623ff4deef90f3de,8,0,8,1.2644511424832435e-16,8
