r,arm,cagr,mdd,turn_n,turn_sum,cost_sum,w_mean,eq_sha,trough_i
0,R_eq,0.27771838130045956,-0.31894241647200333,113.0,9.708715589176439,0.05679598619668218,0.4131862044082887,3b3b3db605c58c1b3b8fbbdaafdbfb76abe133b16f0a18609afd2f3828e6e7ed,747.0
0,R_tv,0.30127429510864534,-0.34323800880091954,106.0,24.063592601240664,0.1407720167172579,0.6921873909897704,9170f20ff82e770417fb1c204656e42a2240f413ccb5c7701b96e9f3d8e081de,747.0
0,R_rp,0.2777183813004498,-0.3189424164719795,113.0,9.708715589184306,0.05679598619672818,0.4131862044082802,21c66b950cb69662053dc8e37830def1abb110a723c4c6ae0a85d7939eecb2ce,747.0
0,W_fix,0.2784919596054656,-0.32795599640652756,113.0,5.205129118638069,0.0304500053440327,0.5,edc47736f34ce68875a72e0af88c08a01400c23c02dcd657853db2ab4cce9b06,747.0
0,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
0,W1,0.29870900754219387,-0.4365922732834437,0.0,0.0,0.0,1.0,82d117bdfd9ad9694664da7cf1507dea5525a66ee363a33f2e9ee256fe954bcb,413.0
1,R_eq,0.28386828223836,-0.31283081238905425,113.0,8.412876717900925,0.049215328799720404,0.4213313609923362,3b877f0943a05b7bbe9d64ac778d7a272bd188b04809f1fc8f7b6410e4774380,1975.0
1,R_tv,0.30488990001913274,-0.37528400704613624,110.0,22.45179545464633,0.13134300340968105,0.7142658013362615,433c1dc4b4b3c9c0cfde8f5b50e2698545126d41aacfd7ad8807f1a0c2678d1d,1975.0
1,R_rp,0.2838682822383427,-0.3128308123890537,113.0,8.412876717892209,0.04921532879966943,0.42133136099233215,c8424f5bce95ec2f7d34b76fe93d7a1b0a0045a63bff246a3588ec42b31688ce,1975.0
1,W_fix,0.2923777105543368,-0.3103605070882722,113.0,5.309163803802974,0.0310586082522474,0.5,dfee25e2239331b1a7457309594e4bbf357a74b44d407dbc263dd99a8c044e30,1975.0
1,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
1,W1,0.33082465821743323,-0.3693403626630284,0.0,0.0,0.0,1.0,3ceb9fc29e3fd4fa9babc89085113251013628075b696611ca51012fbe8f510d,1975.0
2,R_eq,0.3028134132142397,-0.3522573070936614,113.0,11.467191654939082,0.06708307118139363,0.41133354401988537,b4caf2f4ad06ff96cd53f5ddf500689f478f52319df2b420c822a3a0769e5a11,1975.0
2,R_tv,0.3423680770557671,-0.4180564230975723,101.0,27.47177526596089,0.16070988530587121,0.6821848163035411,a38267c34302e9f2d0556a40cda9d06f957a3f7881a71871c5e9b6116ccbcaa5,1975.0
2,R_rp,0.30281341321425526,-0.35225730709364833,113.0,11.467191654928378,0.06708307118133101,0.4113335440198563,dfdabb0114816fe1fc0db9fcf3c6bfa9db6ff28fbacf9ff326d3bcb72eab9c6f,1975.0
2,W_fix,0.3144317303988462,-0.3417588064812252,113.0,6.2832122859368695,0.03675679187273068,0.5,3af95da1ff3c05ce11a588bf8bb4c2e54e7b295bc3383d56a464b26b3845eb27,1975.0
2,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
2,W1,0.37163711047419157,-0.4177226366560118,0.0,0.0,0.0,1.0,d105a964b5c40bf5828fc556e8435bd0b2d3bcfe6ac9f98bc24ca6a4a96b7ab5,1975.0
3,R_eq,0.25192688985745226,-0.38802074872380626,113.0,9.693923596073638,0.05670945303703079,0.42936855599994783,623f5c3b91259a0a645ade6fb3d6e789cbd3d6ea7098f147468fac921c34dd94,1975.0
3,R_tv,0.25665309492522503,-0.4871594498143452,99.0,21.047640917033792,0.12312869936464771,0.7267356029783555,c45577d0d39210827368b46dcab5d672f70e0e08fdc22c280a6f665887da61fe,1975.0
3,R_rp,0.25192688985744716,-0.38802074872380016,113.0,9.693923596071498,0.056709453037018256,0.4293685559999416,31db2cd4179b1aeca129b23e074d23f0b1cf830b3e28772bb66881ca7f6b8407,1975.0
3,W_fix,0.24243609013612932,-0.3801804644485945,113.0,5.052552077975527,0.029557429656156833,0.5,1da47fc07888dc9991928176b5aeddcc871883e7c4a47ffb10f11c4803d7484c,1975.0
3,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
3,W1,0.2278608507203448,-0.49153882590816295,0.0,0.0,0.0,1.0,716da4efc35324dd6064019bc519ef8d99e3d3d8ba27db14709fab7ecd257451,1975.0
4,R_eq,0.24273681289621285,-0.3643180342463161,113.0,7.108734990013337,0.04158609969157802,0.4230241430655915,5986ab6f451a8e5d50bc0ab82dfee545680258e61b0c121946f6cc6da60ecfc6,1975.0
4,R_tv,0.23613536187939177,-0.4581959255260564,103.0,15.279862259312567,0.08938719421697852,0.7140737764868866,85d242c122410779d623eebb412d32481a2da8708081adc2c4784a1623ace180,1975.0
4,R_rp,0.2427368128962195,-0.3643180342463028,113.0,7.108734990018965,0.04158609969161095,0.42302414306557595,f7bd499bbae9e93d00388fc260add0049b7a11759f4b05277598eabeb5215841,1975.0
4,W_fix,0.24202537781045197,-0.3616597146563498,113.0,4.0582806013001935,0.023740941517606126,0.5,3697a72920825cc26270930e3efe46dbf8efcb8fb2de4fdad7303528eb84063e,1975.0
4,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
4,W1,0.23111076030382316,-0.4581959255260565,0.0,0.0,0.0,1.0,80b83347cd3203e5c766758eda7268cc70f79badf7958c059dffac8d5fae3a90,1975.0
5,R_eq,0.27178257786497206,-0.3344827036216996,113.0,8.454100425153035,0.049456487487145255,0.41527047412430845,0afa622f1a26e2d24dc50d7c31ffdca564f60a6137251ed739e22c308b26aa4b,747.0
