r,w_med,w_p10,w_p90,w_min,w_max,w_spread,w_edge_frac,cagr_cost0,mdd_cost0,cagr_shift1,mdd_shift1,placebo_same5,placebo_same7,placebo_len,compose_dev_w0,compose_dev_w1,compose_turn_w0,shuf_mdd_med,shuf_cagr_med
0,0.4066928900074059,0.329517018968289,0.5002659236036906,0.22705045453601674,0.5477906650758569,0.1707489046354016,0.0,0.27995866558518245,-0.3187818645749358,0.27762298436003197,-0.319225364097208,True,False,22,8.229182079839406e-15,2.438147963527215e-15,0.0,-0.31935710370221043,0.26727145307292366
1,0.4152932160213006,0.3544496375640904,0.4986405869547687,0.286299364884448,0.5211101016734844,0.14419094939067828,0.0,0.2858121258418276,-0.31222110615871007,0.28377981030192156,-0.3121482420298315,True,False,22,8.229182079839406e-15,3.746133935869231e-15,0.0,-0.3090599318162369,0.2795152606704149
2,0.4040425804735743,0.31666319754371214,0.5155575470144734,0.21818806274654765,0.5711062155979625,0.1988943494707613,0.0,0.3054419248497928,-0.35153684913473715,0.30279930941412214,-0.3518980970638842,True,False,22,8.229182079839406e-15,6.7463861250571375e-15,0.0,-0.3317971969334401,0.29749593013038733
3,0.42451495039162424,0.34188112231932255,0.5284840239472103,0.266917547334933,0.5968540446465671,0.18660290162788773,0.0,0.2543086395190366,-0.387414561950619,0.2512319818607107,-0.3876098106032076,True,False,22,8.229182079839406e-15,2.358028785748216e-15,0.0,-0.3669425452115801,0.23695449583039407
4,0.41116064179354384,0.35990645067324384,0.5015356309599588,0.3039266228516601,0.5410182061227967,0.14162918028671495,0.0,0.24462674979332322,-0.3637792078851922,0.2420724757841195,-0.3638049983626968,True,False,22,8.229182079839406e-15,3.5215732402943622e-15,0.0,-0.34732827206038763,0.23757775775621837
5,0.40413921173900247,0.3453237072598486,0.5,0.2723693104290119,0.5500790186346947,0.15467629274015138,0.0,0.2738876067366658,-0.3343724061313638,0.2713085021453425,-0.33540369416194254,True,False,22,8.229182079839406e-15,2.870290487755462e-15,0.0,-0.33528048357559925,0.26305732587507735
6,0.4108629765946084,0.3251085913010664,0.5075970233454812,0.2220698990946035,0.5566212363878331,0.18248843204441478,0.0,0.3102653302373015,-0.3406467248054567,0.30775651579944685,-0.3402637999764543,True,False,22,8.229182079839406e-15,7.67839490333398e-15,0.0,-0.32714390234264124,0.29761876556849154
7,0.41870826448565546,0.35531067373338493,0.5,0.3123985800350153,0.5519305140105841,0.14468932626661507,0.0,0.24020715106662038,-0.3090526655198152,0.23837069443466152,-0.3099666868553243,True,False,22,8.229182079839406e-15,5.079588419333402e-15,0.0,-0.3144967637284847,0.23218060435880306
8,0.42420390588205564,0.3425701255298437,0.5031116149794135,0.24277467309866763,0.570158552850183,0.16054148944956975,0.0,0.24074553381780683,-0.33162386459976206,0.2382735173793158,-0.3318364305092768,True,False,22,8.229182079839406e-15,2.7617294348574924e-15,0.0,-0.33248832284851704,0.2278719548009841
9,0.4037877185438579,0.34941074751266316,0.5131880806144781,0.32541792138756725,0.542501145553309,0.16377733310181491,0.0,0.27099824488342406,-0.34149692116315833,0.2686414781564601,-0.3419188118498811,True,False,22,8.229182079839406e-15,3.8888099665708376e-15,0.0,-0.34097689538103776,0.2676698659658251
10,0.41292173627342005,0.34917375739005246,0.5,0.28531395781479885,0.5570558582913431,0.15082624260994754,0.0,0.2779384121116255,-0.3266904797252568,0.2757072785406769,-0.32671792416537393,True,False,22,8.229182079839406e-15,4.4341840533059e-15,0.0,-0.31389157741637896,0.27381173007686144
11,0.41919874977192517,0.3233733379365655,0.5277240862312143,0.24630137086008813,0.5507670362079823,0.20435074829464878,0.0,0.2787764149787444,-0.3366813624473491,0.27588363186036813,-0.33670238115922874,True,False,22,8.229182079839406e-15,3.611719287535186e-15,0.0,-0.33212800050212743,0.26521958363392073
12,0.4090572389258036,0.3252107329458975,0.5,0.2605335826221576,0.597783925764069,0.17478926705410253,0.0,0.2917406518351955,-0.3414399431321703,0.2888293506014341,-0.34155277773338794,True,False,22,8.229182079839406e-15,5.242500078757434e-15,0.0,-0.32430170745438075,0.2831700554022941
13,0.4092311623352537,0.3209067174869892,0.5034708594389976,0.23749769536929785,0.6428933834761026,0.18256414195200843,0.0,0.2567196421975291,-0.35028788369503633,0.2536468663587501,-0.3502378671460248,True,False,22,8.229182079839406e-15,2.1505660007784595e-15,0.0,-0.3380841158062166,0.24187860936531858
