# commit=e17813316 run=2026-09-15 23:07 (Asia/Taipei) prereg=backtest/PREREGP2.md(sha bef83cb7ba0b78e4) seed0=12000 
control,N,H,mdd_med,mdd_p10,mdd_p90,cagr_med,cagr_p10,cagr_p90,slot_med,m_med,n_cap_med,n_in_med,rand_mdd_med,rand_cagr_med
甲,5,H60,-0.5042363702472691,-0.598738913839198,-0.4629948244393978,0.22224957838118897,0.12622668474745635,0.2984990601068878,0.9181701581872596,182.0,218.0,182.0,-0.4620285204187304,0.022921057395816402
乙,5,H60,-0.5005351334916757,-0.5927152158640012,-0.4148892035184238,0.22185994500647999,0.1693960376554581,0.2752256493369568,0.9484395040615647,188.0,0.0,188.0,-0.4620285204187304,0.022921057395816402
丙,5,H60,-0.5042363702472691,-0.598738913839198,-0.4629948244393978,0.22224957838118897,0.12622668474745635,0.2984990601068878,0.9181701581872596,182.0,218.0,182.0,-0.4620285204187304,0.022921057395816402
甲,5,H120,-0.4405053030503698,-0.5125629091836366,-0.3831297868508566,0.36036976560374057,0.3135221366739246,0.4353482051630054,0.946792130025663,93.0,104.0,93.0,-0.4363059040064873,0.07178546932252239
乙,5,H120,-0.47767467054719775,-0.4960032765212492,-0.4518319526647936,0.4055619803929015,0.35380364229665484,0.4573722151330389,0.9670658682634731,95.0,0.0,95.0,-0.4363059040064873,0.07178546932252239
丙,5,H120,-0.4405053030503698,-0.5125629091836366,-0.3831297868508566,0.36036976560374057,0.3135221366739246,0.4353482051630054,0.946792130025663,93.0,104.0,93.0,-0.4363059040064873,0.07178546932252239
甲,8,H60,-0.5279953268750501,-0.5417458270693941,-0.4911821443278268,0.21566619097505546,0.18581812910072898,0.25320929211906334,0.8639910218041899,274.0,642.0,274.0,-0.44910584324512814,0.04107278170807549
乙,8,H60,-0.46195812695693306,-0.5298463677531798,-0.42091214250579595,0.2608273943268469,0.22677253186130603,0.29784464685305373,0.9364578879863189,297.0,0.0,297.0,-0.44910584324512814,0.04107278170807549
丙,8,H60,-0.5279953268750501,-0.5417458270693941,-0.4911821443278268,0.21566619097505546,0.18581812910072898,0.25320929211906334,0.8639910218041899,274.0,642.0,274.0,-0.44910584324512814,0.04107278170807549
甲,8,H120,-0.44573967461692265,-0.48172518137123005,-0.42588717443867297,0.22803579626973747,0.19113254270999808,0.272244441612151,0.9226368691189051,145.0,272.5,145.0,-0.3782530332837903,0.11357823672651535
乙,8,H120,-0.45476416821949517,-0.478398798598604,-0.42964746006333004,0.3865789136934147,0.35041340323503156,0.42180304067760693,0.9607570573139436,151.0,0.0,151.0,-0.3782530332837903,0.11357823672651535
丙,8,H120,-0.44573967461692265,-0.48172518137123005,-0.42588717443867297,0.22803579626973747,0.19113254270999808,0.272244441612151,0.9226368691189051,145.0,272.5,145.0,-0.3782530332837903,0.11357823672651535
甲,10,H60,-0.45178193933745886,-0.501148368218059,-0.4510281344599492,0.21978968967965273,0.18451476105894732,0.259289920404878,0.8147926464300983,323.0,877.0,323.0,-0.4172237010903195,0.06877197617679554
乙,10,H60,-0.44462981957084213,-0.4772634559238357,-0.40926507179399724,0.3000414326678752,0.2576619089435069,0.33415673212631963,0.9232578024796921,366.0,0.0,366.0,-0.4172237010903195,0.06877197617679554
丙,10,H60,-0.45178193933745886,-0.501148368218059,-0.4510281344599492,0.21978968967965273,0.18451476105894732,0.259289920404878,0.8147926464300983,323.0,877.0,323.0,-0.4172237010903195,0.06877197617679554
甲,10,H120,-0.4045293810399584,-0.4571049343703943,-0.3694731655976469,0.2069674270454881,0.17635606410459398,0.23867798220934855,0.8959366980325064,176.0,439.0,176.0,-0.3588611119664007,0.09586618810045122
乙,10,H120,-0.4536999577805714,-0.4691891272681664,-0.43688467787807456,0.33555124863415164,0.30395841061703127,0.3692439063904644,0.9518391787852866,187.0,0.0,187.0,-0.3588611119664007,0.09586618810045122
丙,10,H120,-0.4045293810399584,-0.4571049343703943,-0.3694731655976469,0.2069674270454881,0.17635606410459398,0.23867798220934855,0.8959366980325064,176.0,439.0,176.0,-0.3588611119664007,0.09586618810045122
