# commit=e17813316 run=2026-09-15 23:07 (Asia/Taipei) prereg=backtest/PREREGP2.md(sha bef83cb7ba0b78e4) seed0=12000 
control,N,H,n_cap,cap_mean,cap_median,n_in,in_mean
甲,5,H60,197,0.14112969014040969,0.0437956204379561,182,0.09451883135219541
丙,5,H60,197,0.14112969014040969,0.0437956204379561,182,0.09451883135219541
甲,5,H120,114,0.29623126609951655,0.026787673594783498,93,0.1946151992569199
丙,5,H120,114,0.29623126609951655,0.026787673594783498,93,0.1946151992569199
甲,8,H60,637,0.09424616964162624,0.0010050251256281,274,0.06548719556989524
丙,8,H60,637,0.09424616964162624,0.0010050251256281,274,0.06548719556989524
甲,8,H120,248,0.2499612219013599,0.0211983706232965,145,0.1592582400987068
丙,8,H120,248,0.2499612219013599,0.0211983706232965,145,0.1592582400987068
甲,10,H60,887,0.09736077252445177,0.0068965517241379,322,0.09681043667264583
丙,10,H60,887,0.09736077252445177,0.0068965517241379,322,0.09681043667264583
甲,10,H120,440,0.23792509077628382,0.0050649350681162,176,0.14012033690648004
丙,10,H120,440,0.23792509077628382,0.0050649350681162,176,0.14012033690648004
