date,s_exc,s_n,s_bench,m_bench,m_all,m_n,m_exc,d_bench,d_n,d_exc
2021-01-04,-0.8655,34,30.6267,30.8676,600,34,3.0421,0.2409,0,3.9076
2021-02-01,23.0226,107,37.37,37.4429,598,101,24.114,0.0729,-6,1.0914
2021-03-02,11.9765,67,15.7656,15.8106,578,65,13.21,0.045,-2,1.2335
2021-04-01,-22.5861,5,4.2415,4.2463,660,5,-22.5908,0.0048,0,-0.0047
2021-05-03,9.9146,110,-1.5187,-1.4901,820,108,9.3862,0.0286,-2,-0.5284
2021-06-01,14.1234,71,8.2591,8.2591,642,68,14.5911,0.0,-3,0.4677
2021-07-01,8.4123,54,4.4919,4.4919,600,54,9.1017,-0.0,0,0.6894
2021-08-02,-3.7579,87,-4.3044,-4.2991,666,86,-3.7653,0.0053,-1,-0.0074
2021-09-01,-0.1005,83,-2.3571,-2.2987,558,80,-0.3049,0.0584,-3,-0.2044
2021-10-01,2.4395,102,9.1373,9.1828,528,102,2.4228,0.0455,0,-0.0167
2021-11-01,-6.6613,56,-5.7599,-5.6294,510,54,-5.9987,0.1305,-2,0.6626
2021-12-01,6.0843,46,-7.5481,-7.5261,590,45,5.8439,0.022,-1,-0.2404
2022-01-03,-4.7035,53,-24.5997,-24.5477,589,52,-4.5814,0.052,-1,0.1221
2022-02-07,3.1064,82,-14.3517,-14.1984,558,81,3.4837,0.1533,-1,0.3773
2022-03-01,-6.8684,56,-10.5712,-10.5712,543,55,-7.1653,0.0,-1,-0.2969
2022-04-01,-11.0483,9,-19.6487,-19.6655,524,9,-11.0315,-0.0168,0,0.0168
2022-05-03,-2.4329,77,-19.397,-19.5725,529,76,-2.0798,-0.1755,-1,0.3531
2022-06-01,-5.466,37,-10.2586,-10.1728,457,36,-4.6136,0.0858,-1,0.8524
2022-07-01,-3.7279,52,5.9879,5.9879,479,52,-3.7279,0.0,0,0.0
2022-08-01,-3.6377,56,5.7162,5.7088,458,56,-3.6303,-0.0074,0,0.0074
2022-09-01,1.7464,42,7.5156,7.4757,498,42,1.7864,-0.0399,0,0.04
2022-10-03,-2.4912,63,22.4816,22.6334,460,63,-2.643,0.1518,0,-0.1518
2022-11-01,8.1726,43,25.7747,25.8593,394,42,8.8886,0.0846,-1,0.716
2022-12-01,6.1439,27,18.5336,18.6073,461,26,6.9095,0.0737,-1,0.7656
2023-01-03,19.5012,59,26.6994,26.5625,484,58,20.1001,-0.1369,-1,0.5989
2023-02-01,9.166,31,22.1395,22.1395,426,31,9.166,-0.0,0,-0.0
2023-03-01,1.4151,6,11.4233,11.5294,532,6,1.309,0.1061,0,-0.1061
2023-04-06,-30.75,6,10.5582,10.6822,577,6,-30.8741,0.124,0,-0.1241
2023-05-02,-9.1175,30,4.7143,4.6874,617,31,-10.0894,-0.0269,1,-0.9719
2023-06-01,-8.3693,10,7.2357,7.2438,606,10,-8.3774,0.0081,0,-0.0081
2023-07-03,21.0756,11,3.3519,3.3894,675,12,17.9715,0.0375,1,-3.1041
2023-08-01,-2.2803,25,4.0101,4.0101,675,25,-2.2803,0.0,0,-0.0
2023-09-01,0.3331,17,16.4657,16.5427,546,16,2.8144,0.077,-1,2.4813
2023-10-02,-9.2599,31,17.4258,17.5048,526,30,-8.5996,0.079,-1,0.6603
2023-11-01,6.251,26,19.3808,19.3015,514,25,7.2819,-0.0793,-1,1.0309
2023-12-01,7.8968,28,12.443,12.3528,578,26,7.8005,-0.0902,-2,-0.0963
2024-01-02,13.6717,35,22.8977,22.9397,609,34,14.3463,0.042,-1,0.6746
2024-02-01,2.3092,30,6.9947,7.0833,550,28,3.4475,0.0886,-2,1.1383
2024-03-01,-10.585,23,9.3886,9.4152,645,21,-9.079,0.0266,-2,1.506
2024-04-01,-15.2399,9,7.7439,7.8522,716,10,-15.4044,0.1083,1,-0.1645
2024-05-02,2.7824,29,1.993,1.993,704,28,2.9613,0.0,-1,0.1789
2024-06-03,11.5061,20,-3.4694,-3.3888,735,20,10.9177,0.0806,0,-0.5884
2024-07-01,1.3779,33,-5.9888,-5.9499,747,26,4.3225,0.0389,-7,2.9446
2024-08-01,2.2212,55,-5.1987,-5.189,800,53,4.6277,0.0097,-2,2.4065
2024-09-02,1.9064,54,-5.2784,-5.3246,652,50,1.6604,-0.0462,-4,-0.246
2024-10-01,-0.577,55,-31.566,-31.6371,655,52,-0.3713,-0.0711,-3,0.2057
2024-11-01,-2.4914,59,-16.7963,-16.8564,651,59,-2.4313,-0.0601,0,0.0601
2024-12-02,-0.2063,47,-12.1895,-12.1895,622,47,-0.2063,-0.0,0,-0.0
2025-01-02,6.0698,55,-9.281,-9.259,603,54,4.5124,0.022,-1,-1.5574
2025-02-03,5.4272,74,-2.6498,-2.6498,562,73,5.7313,-0.0,-1,0.3041
2025-03-03,-3.0055,44,2.9668,2.9668,626,46,-0.8013,0.0,2,2.2042
2025-04-01,25.05,38,15.0951,15.0889,586,37,21.819,-0.0062,-1,-3.231
2025-05-02,24.6842,71,20.8506,20.8506,553,69,24.2888,-0.0,-2,-0.3954
2025-06-02,22.2662,67,12.3504,12.3504,565,66,23.0467,-0.0,-1,0.7805
2025-07-01,17.4191,44,16.456,16.8314,546,43,19.145,0.3754,-1,1.7259
2025-08-01,14.5231,39,25.8853,25.8637,549,36,15.4094,-0.0216,-3,0.8863
2025-09-01,34.067,38,8.3863,7.8889,667,37,28.5468,-0.4974,-1,-5.5202
2025-10-01,32.5138,48,22.503,22.3414,632,48,39.3953,-0.1616,0,6.8815
2025-11-03,22.8211,55,39.66,39.5759,600,52,27.2217,-0.0841,-3,4.4006
2025-12-01,36.6146,54,59.0377,59.2481,558,51,36.0693,0.2104,-3,-0.5453
2026-01-02,13.5346,33,50.6793,50.7518,578,34,57.1327,0.0725,1,43.5981
2026-02-02,7.5216,99,26.8968,27.0784,700,99,20.3064,0.1816,0,12.7848
2026-03-02,14.8931,66,20.1257,20.2112,679,70,21.8445,0.0855,4,6.9514
