stock_id,group,name,delist_date,halt_open,n_halt,last_measure,n_missing,ky,n_periods,first_period,last_period,cat
1258,已下市,其祥生物科技控股有限公司,2023-06-09,,1,2022-09-01,1,False,0,,,真下市（最後量測日 ≤ 下市日）
1507,已下市,永大,2022-04-21,,0,2021-06-01,2,False,0,,,真下市（最後量測日 ≤ 下市日）
1701,已下市,中化,2024-09-02,,0,2023-12-01,9,False,0,,,真下市（最後量測日 ≤ 下市日）
2258,其他（在市）,,,,0,2025-03-03,2,False,37,2023-08,2026-08,在市、新上市未滿 24 期
2358,已下市,廷鑫,2024-11-19,,0,2023-10-02,14,False,0,,,真下市（最後量測日 ≤ 下市日）
2456,已下市,奇力新,2022-01-05,,0,2021-12-01,11,False,0,,,真下市（最後量測日 ≤ 下市日）
2762,其他（在市）,,,,0,2024-11-01,1,False,34,2023-11,2026-08,在市、新上市未滿 24 期
2809,已下市,京城銀,2025-10-01,,0,2023-12-01,28,False,0,,,真下市（最後量測日 ≤ 下市日）
2823,已下市,中壽,2021-12-30,,0,2021-12-01,12,False,0,,,真下市（最後量測日 ≤ 下市日）
2841,已下市,台開,2022-08-04,,0,2021-04-01,1,False,0,,,真下市（最後量測日 ≤ 下市日）
2867,已下市,三商壽,2026-09-01,,0,2023-07-03,15,False,0,,,真下市（最後量測日 ≤ 下市日）
2888,已下市,新光金,2025-07-24,,0,2023-12-01,36,False,0,,,真下市（最後量測日 ≤ 下市日）
3202,已下市,樺晟電子股份有限公司,2025-07-21,,1,2024-07-01,5,False,0,,,真下市（最後量測日 ≤ 下市日）
3454,已下市,晶睿通訊股份有限公司,2011-07-22,,0,2023-12-01,16,False,0,,,下市紀錄早於面板（3454：只有 2011 tpex 那筆）
3682,已下市,亞太電,2023-12-15,,0,2022-05-03,8,False,0,,,真下市（最後量測日 ≤ 下市日）
3714,其他（在市）,,,,0,2026-03-02,12,False,69,2020-12,2026-08,在市、新上市未滿 24 期
3715,其他（在市）,,,,0,2026-03-02,12,False,49,2022-08,2026-08,在市、新上市未滿 24 期
4130,已下市,健亞生物科技股份有限公司,2026-07-28,,1,2026-02-02,6,False,0,,,真下市（最後量測日 ≤ 下市日）
4141,已下市,龍燈-KY,2022-05-03,,0,2021-12-01,3,True,0,,,真下市（最後量測日 ≤ 下市日）
4152,已下市,台灣微脂體股份有限公司,2021-10-08,,1,2021-08-02,1,False,0,,,真下市（最後量測日 ≤ 下市日）
4569,其他（在市）,,,,0,2025-09-01,1,False,41,2023-04,2026-08,在市、新上市未滿 24 期
4945,已下市,陞達科技股份有限公司,2025-09-08,,1,2024-06-03,9,False,0,,,真下市（最後量測日 ≤ 下市日）
4987,已下市,科誠股份有限公司,2026-05-29,,1,2024-12-02,1,False,0,,,真下市（最後量測日 ≤ 下市日）
5264,已下市,鎧勝-KY,2021-01-15,,0,2021-01-04,1,True,0,,,真下市（最後量測日 ≤ 下市日）
5371,已下市,中強光電股份有限公司,2026-09-03,,2,2026-03-02,60,False,0,,,真下市（最後量測日 ≤ 下市日）
5383,已下市,金利精密工業股份有限公司,2024-05-31,,2,2022-01-03,1,False,0,,,真下市（最後量測日 ≤ 下市日）
5546,其他（在市）,,,,0,2021-04-01,2,False,77,2020-04,2026-08,在市、新上市未滿 24 期
5820,已下市,日盛金融控股股份有限公司,2022-11-11,,1,2022-10-03,5,False,0,,,真下市（最後量測日 ≤ 下市日）
6251,已下市,定穎,2022-08-25,,0,2022-08-01,19,False,0,,,真下市（最後量測日 ≤ 下市日）
6288,已下市,聯嘉光電,2025-08-15,,0,2023-11-01,18,False,0,,,真下市（最後量測日 ≤ 下市日）
6457,已下市,紘康科技股份有限公司,2025-01-01,,1,2024-11-01,17,False,0,,,真下市（最後量測日 ≤ 下市日）
6514,已下市,芮特科技股份有限公司,2024-10-18,,1,2022-05-03,3,False,0,,,真下市（最後量測日 ≤ 下市日）
6747,已下市,亨泰光學股份有限公司,2025-12-04,,1,2023-06-01,4,False,0,,,真下市（最後量測日 ≤ 下市日）
6768,其他（在市）,,,,0,2026-02-02,1,False,68,2021-01,2026-08,在市、新上市未滿 24 期
6781,其他（在市）,,,,0,2026-03-02,11,False,68,2021-01,2026-08,在市、新上市未滿 24 期
6806,已下市,森崴能源,2026-06-23,,0,2023-12-01,16,False,0,,,真下市（最後量測日 ≤ 下市日）
6829,其他（在市）,,,,0,2025-10-01,1,False,66,2021-03,2026-08,在市、新上市未滿 24 期
6862,其他（在市）,,,,0,2026-03-02,6,False,25,2024-08,2026-08,在市、新上市未滿 24 期
6863,其他（在市）,,,,0,2025-05-02,7,False,44,2023-01,2026-08,在市、新上市未滿 24 期
6874,其他（在市）,,,,0,2023-08-01,1,False,57,2021-12,2026-08,在市、新上市未滿 24 期
6933,其他（在市）,,,,0,2025-12-01,5,False,37,2023-08,2026-08,在市、新上市未滿 24 期
6937,其他（在市）,,,,0,2026-03-02,1,False,45,2022-12,2026-08,在市、新上市未滿 24 期
6957,其他（在市）,,,,0,2025-12-01,4,False,29,2024-04,2026-08,在市、新上市未滿 24 期
6962,其他（在市）,,,,0,2026-03-02,10,False,24,2024-09,2026-08,在市、新上市未滿 24 期
7749,其他（在市）,,,,0,2026-03-02,3,False,17,2025-04,2026-08,在市、新上市未滿 24 期
8406,已下市,金可國際股份有限公司,2022-04-29,,1,2022-04-01,14,False,0,,,真下市（最後量測日 ≤ 下市日）
8420,已下市,明揚國際科技股份有限公司,2024-11-29,,1,2023-07-03,6,False,0,,,真下市（最後量測日 ≤ 下市日）
9103,其他（在市）,,,,0,2021-12-01,10,False,0,,,在市但面板 0 期（9103 TDR）
