# commit=aee64fb5c run=2026-09-15 13:10 (Asia/Taipei) prereg=backtest/P4_v3_回溯分析.md centers=centers_v3.json(23be85b004977222)
check,type,kmeans_idx,H,period,n_iter,band_lo_pp,band_hi_pp,half_width_pp,contains_0,half_width_gt_cost,n_months,excess_pp,ci_lo_pp,ci_hi_pp,in_judgement,bug_if_true
安慰劑A 隨機分型,①營收＋回檔,0.0,120,主格,1000.0,-1.7350848456271408,1.8067720006742578,1.7709284231506994,True,True,,,,,,
安慰劑A 隨機分型,④死水,1.0,120,主格,1000.0,-0.5068890096627855,0.552514202193397,0.5297016059280912,True,False,,,,,,
安慰劑A 隨機分型,③純技術＋回檔,2.0,120,主格,1000.0,-0.703372343009356,0.8142554773026202,0.7588139101559881,True,True,,,,,,
安慰劑A 隨機分型,②正在噴出,3.0,120,主格,1000.0,-0.7660203422432417,0.8289870570152158,0.7975036996292287,True,True,,,,,,
安慰劑B 平移 +6,①營收＋回檔,,120,主格,,,,,,,62.0,1.1036139416933437,-1.5200428270337452,3.7272707104204326,True,
安慰劑B 平移 +6,②正在噴出,,120,主格,,,,,,,63.0,-1.40599403150542,-3.2009002034511216,0.3889121404402817,True,
安慰劑B 平移 +6,③純技術＋回檔,,120,主格,,,,,,,63.0,-0.704766254612644,-1.6644741673797858,0.2549416581544979,True,
安慰劑B 平移 +6,④死水,,120,主格,,,,,,,63.0,-0.2573854069605284,-1.3115485564220704,0.7967777425010137,True,
安慰劑B 平移 +12,①營收＋回檔,,120,主格,,,,,,,60.0,0.8888202846954614,-1.7239596522318947,3.5016002216228177,False,
安慰劑B 平移 +12,②正在噴出,,120,主格,,,,,,,63.0,-1.6831480444852924,-3.3331453081859808,-0.033150780784604525,False,
安慰劑B 平移 +12,③純技術＋回檔,,120,主格,,,,,,,63.0,-0.44674630612059074,-1.6844549849151722,0.7909623726739909,False,
安慰劑B 平移 +12,④死水,,120,主格,,,,,,,63.0,0.8501838211983782,-0.1376955962843006,1.8380632386810571,False,
安慰劑B 平移 +18,①營收＋回檔,,120,主格,,,,,,,60.0,1.8512210221371994,-1.22395754021515,4.926399584489549,True,
安慰劑B 平移 +18,②正在噴出,,120,主格,,,,,,,63.0,0.22748526625422733,-1.2784542722514693,1.733424804759924,True,
安慰劑B 平移 +18,③純技術＋回檔,,120,主格,,,,,,,63.0,0.6153974141203487,-0.7494346596111051,1.9802294878518023,True,
安慰劑B 平移 +18,④死水,,120,主格,,,,,,,63.0,0.1930382685122645,-1.0427871899742862,1.428863726998815,True,
鑑別力 ④↔② 對調,②正在噴出,,120,主格,,,,,,,63.0,-3.947512370184193,-5.629656507539651,-2.265368232828736,,False
鑑別力 ④↔② 對調,④死水,,120,主格,,,,,,,63.0,2.6273670544432863,0.7643582382189852,4.490375870667587,,False
