# commit=bd3d8e5cb run=2026-09-15 22:10 (Asia/Taipei) prereg=backtest/P4_v3_回溯分析.md centers=centers_v3.json(23be85b004977222)
period,H,type,n_rows,p05,p10,p25,p50,p75,p90,p95,win_rate,excess_pp
主格,20,①營收＋回檔,2802,-16.361385843558143,-13.42585126049007,-7.805892810223029,-1.5133161258714154,5.991214611630183,16.29607581980413,27.5202867676717,0.4439685938615275,0.2327693514334798
主格,20,②正在噴出,9541,-18.6634991598456,-14.893632939807505,-8.94538117447716,-2.03032507952001,6.517881652123131,18.479779871373516,29.382275549507263,0.42783775285609477,0.39955030262495805
主格,20,③純技術＋回檔,9369,-15.587086729477553,-12.76196548998681,-7.837368400206765,-2.3133929038998136,4.75392149582248,14.241524538840055,22.950372879054413,0.4038851531646921,-0.13421216785905238
主格,20,④死水,14751,-13.044543361358752,-10.22405383174782,-6.0881476180318845,-1.5185642084026194,3.635509120963133,9.951339757642879,14.965163014659694,0.41549725442342894,-0.49085247670244875
主格,60,①營收＋回檔,2802,-28.527236727652276,-23.0695258110648,-14.120893737452445,-2.932976622143991,12.837198256682605,38.761399714673345,61.834898603528956,0.43897216274089934,3.578587848754195
主格,60,②正在噴出,9541,-30.84501001164835,-24.565202377058696,-15.432767477681008,-3.8333641919448826,11.555006255220393,33.48660262864843,54.34828827017469,0.4219683471334242,1.5337950697099212
主格,60,③純技術＋回檔,9369,-28.030476673242987,-22.845475291158753,-14.626197603779238,-5.125002268258835,7.334609500952458,25.429788388064008,42.804970085394075,0.3806169281673604,-0.3371978798773485
主格,60,④死水,14751,-26.524308819841586,-20.934164739096467,-12.690789549319161,-4.033636129399195,5.46656001193914,16.81266147691972,26.9969099095032,0.379635278964138,-2.1058058950435803
主格,120,①營收＋回檔,2802,-43.08457365786828,-33.27410636719356,-20.38770087437709,-4.62653643069439,17.28000609817562,61.79613213983327,98.01680397280442,0.4257673090649536,6.050903648154327
主格,120,②正在噴出,9541,-42.84525925261469,-34.86560338755409,-21.612035089278084,-5.561694385248058,15.23496724041839,49.22138288153135,81.43082920654331,0.41777591447437373,2.669640662442456
