window,n_days,H,seg_cap,type,events,seg_hit,conservative,exit,exit3_max_H,exit2_max_H
主格,1269,120,10,營收＋回檔,2440,10,10,①,12,42
主格,1269,120,10,正在噴出,9033,10,10,①,12,42
主格,1269,120,10,純技術＋回檔,9221,10,10,①,12,42
主格,1269,120,10,死水,13974,10,10,①,12,42
副格,1951,120,16,營收＋回檔,3236,16,16,①,19,65
副格,1951,120,16,正在噴出,12549,16,16,①,19,65
副格,1951,120,16,純技術＋回檔,11476,16,16,①,19,65
副格,1951,120,16,死水,17916,16,16,①,19,65
擬合窗／追認格,980,120,8,營收＋回檔,1357,8,8,①,9,32
擬合窗／追認格,980,120,8,正在噴出,4947,8,8,①,9,32
擬合窗／追認格,980,120,8,純技術＋回檔,4513,8,8,①,9,32
擬合窗／追認格,980,120,8,死水,7215,8,8,①,9,32
第二層,298,120,2,營收＋回檔,520,2,2,①,2,9
第二層,298,120,2,正在噴出,1333,2,2,①,2,9
第二層,298,120,2,純技術＋回檔,2050,2,2,①,2,9
第二層,298,120,2,死水,3008,2,2,①,2,9
