# commit=621507cf5 run=2026-09-16 03:18 (Asia/Taipei) prereg=backtest/P4_v3_回溯分析.md centers=centers_v3.json(23be85b004977222)
stock_id,name,tag,n_rows,miss_share
1262,綠悅-KY,KY,31,1.0
1507,永大,其他,11,1.0
1701,中化,其他,16,1.0
1704,榮化,其他,37,1.0
1729,必翔,其他,7,1.0
2311,日月光,其他,32,1.0
2325,矽品,其他,32,1.0
2358,廷鑫,其他,16,1.0
2448,晶電,其他,64,1.0
2456,奇力新,其他,73,1.0
2499,東貝,其他,7,1.0
2809,京城銀,金融（28xx／58xx 代號區）,45,1.0
2823,中壽,金融（28xx／58xx 代號區）,76,1.0
2867,三商壽,金融（28xx／58xx 代號區）,29,1.0
2888,新光金,金融（28xx／58xx 代號區）,100,1.0
3068,美磊,其他,13,1.0
3144,新揚科,其他,10,1.0
3202,樺晟,其他,11,1.0
3299,帛漢,其他,9,1.0
3428,光燿科,其他,31,1.0
3454,晶睿,其他,40,1.0
3474,華亞科,其他,16,1.0
3514,昱晶,其他,29,1.0
3519,綠能,其他,18,1.0
3561,昇陽光電,其他,9,1.0
3658,漢微科,其他,16,1.0
3662,樂陞,其他,15,1.0
3682,亞太電,其他,36,1.0
3698,隆達,其他,30,1.0
4130,健亞,其他,27,1.0
4161,聿新科,其他,6,1.0
4180,安成藥,其他,12,1.0
4725,信昌化,其他,14,1.0
4733,上緯,其他,13,1.0
4803,VHQ-KY,KY,31,1.0
4945,陞達科技,其他,9,1.0
4947,昂寶-KY,KY,56,1.0
4984,科納-KY,KY,7,1.0
5255,美桀,其他,7,1.0
5264,鎧勝-KY,KY,62,1.0
5305,敦南,其他,26,1.0
5317,凱美,其他,13,1.0
5349,先豐,其他,30,1.0
5371,中光電,其他,89,1.0
5820,日盛金,金融（28xx／58xx 代號區）,8,1.0
6145,勁永,其他,6,1.0
6238,勝麗,其他,55,1.0
6251,定穎,其他,35,1.0
6286,立錡,其他,6,1.0
6288,聯嘉,其他,31,1.0
6452,康友-KY,KY,59,1.0
6457,紘康,其他,21,1.0
6806,森崴能源,其他,16,1.0
6862,三集瑞-KY,KY,6,1.0
6962,奕力-KY,KY,10,1.0
8406,金可-KY,KY,68,1.0
8420,明揚,其他,6,1.0
9103,美德醫療-DR,其他,15,1.0
