# commit=9dad931e2 run=2026-09-20 13:06 (Asia/Taipei) prereg=backtest/P4_v3_回溯分析.md centers=centers_v3.json(23be85b004977222)
rank,measure_date,n_miss,n_arm_before,miss_share_of_arm_pct,n_month_pop,arm_month_reached_5,arm_month_before_5,cum_share_of_miss_pct,months_with_miss,months_in_arm
0,,436,2623,14.253023864007847,36577,True,True,100.0,63,63
1,2021-01-04,13,35,27.083333333333332,599,True,True,2.981651376146789,63,63
2,2021-06-01,13,66,16.455696202531644,630,True,True,5.963302752293578,63,63
3,2021-05-03,13,107,10.833333333333334,808,True,True,8.944954128440367,63,63
4,2021-04-01,12,5,70.58823529411765,651,True,True,11.697247706422019,63,63
5,2021-08-02,12,82,12.76595744680851,656,True,True,14.449541284403669,63,63
6,2021-11-01,12,52,18.75,500,True,True,17.201834862385322,63,63
7,2021-02-01,10,99,9.174311926605505,592,True,True,19.495412844036696,63,63
8,2021-10-01,10,100,9.090909090909092,522,True,True,21.788990825688074,63,63
9,2022-03-01,10,51,16.39344262295082,534,True,True,24.08256880733945,63,63
10,2023-03-01,10,6,62.5,527,True,True,26.376146788990823,63,63
11,2022-05-03,10,72,12.195121951219512,516,True,True,28.6697247706422,63,63
12,2022-01-03,9,49,15.517241379310345,579,True,True,30.73394495412844,63,63
13,2021-12-01,9,40,18.367346938775512,579,True,True,32.798165137614674,63,63
14,2021-09-01,9,77,10.465116279069768,552,True,True,34.862385321100916,63,63
15,2021-03-02,9,63,12.5,567,True,True,36.92660550458716,63,63
16,2023-04-06,9,3,75.0,567,True,False,38.99082568807339,63,63
17,2022-02-07,9,78,10.344827586206897,551,True,True,41.05504587155963,63,63
18,2023-02-01,9,26,25.71428571428571,420,True,True,43.11926605504588,63,63
19,2022-04-01,9,4,69.23076923076923,516,True,False,45.18348623853211,63,63
20,2023-07-03,9,8,52.94117647058824,670,True,True,47.24770642201835,63,63
21,2021-07-01,8,47,14.545454545454545,587,True,True,49.08256880733945,63,63
22,2023-01-03,8,53,13.114754098360656,482,True,True,50.917431192660544,63,63
23,2023-05-02,8,29,21.62162162162162,604,True,True,52.752293577981646,63,63
24,2023-06-01,8,6,57.14285714285714,597,True,True,54.58715596330275,63,63
25,2024-06-03,8,15,34.78260869565217,728,True,True,56.42201834862385,63,63
26,2024-11-01,7,48,12.727272727272727,644,True,True,58.02752293577982,63,63
27,2024-12-02,7,41,14.583333333333334,612,True,True,59.63302752293578,63,63
28,2023-12-01,7,23,23.333333333333332,575,True,True,61.23853211009175,63,63
29,2024-01-02,7,30,18.91891891891892,601,True,True,62.84403669724771,63,63
30,2023-10-02,7,28,20.0,522,True,True,64.44954128440367,63,63
31,2024-08-01,7,44,13.725490196078432,791,True,True,66.05504587155964,63,63
32,2024-07-01,6,23,20.689655172413794,737,True,True,67.43119266055045,63,63
33,2024-05-02,6,23,20.689655172413794,694,True,True,68.80733944954129,63,63
34,2022-12-01,6,22,21.428571428571427,459,True,True,70.18348623853211,63,63
35,2022-09-01,6,40,13.043478260869565,488,True,True,71.55963302752293,63,63
36,2022-11-01,6,40,13.043478260869565,390,True,True,72.93577981651376,63,63
37,2022-08-01,6,55,9.836065573770492,452,True,True,74.31192660550458,63,63
38,2022-06-01,6,31,16.216216216216218,449,True,True,75.68807339449542,63,63
39,2024-04-01,6,5,54.54545454545454,700,True,True,77.06422018348624,63,63
40,2025-02-03,6,60,9.090909090909092,553,True,True,78.44036697247707,63,63
41,2025-03-03,6,32,15.789473684210526,616,True,True,79.81651376146789,63,63
42,2024-10-01,6,44,12.0,649,True,True,81.19266055045871,63,63
43,2023-11-01,6,24,20.0,513,True,True,82.56880733944955,63,63
44,2022-07-01,5,44,10.204081632653061,467,True,True,83.71559633027523,63,63
45,2022-10-03,5,59,7.8125,456,True,True,84.86238532110092,63,63
46,2023-08-01,5,21,19.230769230769234,665,True,True,86.0091743119266,63,63
47,2024-03-01,5,16,23.809523809523807,631,True,True,87.1559633027523,63,63
48,2025-05-02,5,63,7.352941176470589,528,True,True,88.30275229357798,63,63
49,2025-04-01,5,26,16.129032258064516,576,True,True,89.44954128440367,63,63
50,2023-09-01,4,17,19.047619047619047,542,True,True,90.36697247706422,63,63
51,2024-02-01,4,24,14.285714285714285,543,True,True,91.28440366972477,63,63
52,2024-09-02,4,45,8.16326530612245,643,True,True,92.20183486238533,63,63
53,2025-01-02,4,46,8.0,595,True,True,93.11926605504587,63,63
54,2025-06-02,4,60,6.25,559,True,True,94.03669724770643,63,63
55,2025-07-01,4,38,9.523809523809524,536,True,True,94.95412844036697,63,63
56,2026-02-02,4,91,4.2105263157894735,684,True,True,95.87155963302753,63,63
57,2025-08-01,3,33,8.333333333333332,538,True,True,96.55963302752293,63,63
58,2025-10-01,3,39,7.142857142857142,626,True,True,97.24770642201835,63,63
59,2025-09-01,3,32,8.571428571428571,653,True,True,97.93577981651376,63,63
60,2025-11-03,3,46,6.122448979591836,584,True,True,98.62385321100918,63,63
61,2026-03-02,3,62,4.615384615384616,662,True,True,99.31192660550458,63,63
62,2026-01-02,2,30,6.25,563,True,True,99.77064220183486,63,63
63,2025-12-01,1,45,2.1739130434782608,547,True,True,100.0,63,63
