# 回測線 P4 v3 閘門版（bars≥120、min_periods=w）主格 ①型逐月：mean＝當月①型股-月 H120 超額均值 pp、size＝當月①型股-月數；commit b795842db；門檻 ≥5 檔（62 月）
measure_date,mean,size
2021-01,3.04,34
2021-02,23.77,100
2021-03,12.79,63
2021-04,-16.39,4
2021-05,9.99,106
2021-06,15.76,67
2021-07,10.37,50
2021-08,-3.23,84
2021-09,-0.14,79
2021-10,2.35,102
2021-11,-6.27,54
2021-12,5.66,46
2022-01,-4.48,51
2022-02,3.77,80
2022-03,-6.47,53
2022-04,-11.19,9
2022-05,-1.98,73
2022-06,-4.01,35
2022-07,-3.21,51
2022-08,-3.84,56
2022-09,1.49,42
2022-10,-2.22,62
2022-11,8.78,42
2022-12,6.85,26
2023-01,19.96,58
2023-02,9.27,31
2023-03,0.08,5
2023-04,-31.36,6
2023-05,-7.51,27
2023-06,-5.32,9
2023-07,17.88,12
2023-08,-2.2,24
2023-09,2.68,16
2023-10,-8.6,30
2023-11,7.24,25
2023-12,7.78,26
2024-01,12.39,33
2024-02,3.41,27
2024-03,-9.66,20
2024-04,-12.99,9
2024-05,4.23,26
2024-06,10.79,20
2024-07,4.14,26
2024-08,3.53,52
2024-09,1.63,50
2024-10,-1.05,50
2024-11,-3.5,58
2024-12,-1.14,46
2025-01,4.17,52
2025-02,5.96,72
2025-03,-1.9,42
2025-04,23.44,36
2025-05,23.74,68
2025-06,23.09,65
2025-07,18.86,43
2025-08,14.26,35
2025-09,31.76,35
2025-10,35.33,47
2025-11,26.45,49
2025-12,36.56,51
2026-01,17.01,31
2026-02,10.7,95
2026-03,16.79,64
