# commit=bd3d8e5cb run=2026-09-15 22:10 (Asia/Taipei) prereg=backtest/P4_v3_回溯分析.md centers=centers_v3.json(23be85b004977222)
year,n_eligible_rows,rev_hi24_coverage,shares_coverage,n_①營收＋回檔,n_②正在噴出,n_③純技術＋回檔,n_④死水,bench_120_pp
2015,1584,0.0,100.0,314,266,166,838,4.016415213846774
2016,3525,0.0,100.0,537,1015,427,1546,5.08752286216155
2017,4315,76.17612977983778,100.0,310,1449,886,1670,8.101670159211292
2018,4232,88.13799621928166,100.0,443,990,999,1800,-4.329102037807363
2019,4091,89.41579076020533,100.0,278,1209,1039,1565,4.905602004367241
2020,5394,91.60177975528366,100.0,440,1325,1414,2215,20.84345145046971
2021,7243,93.86994339362143,100.0,784,2061,1639,2759,7.553455205204811
2022,5857,94.29742188833873,100.0,578,1073,1560,2646,-0.8530876312098377
2023,6684,94.10532615200479,100.0,267,2243,1673,2501,13.11720724090982
2024,7916,95.71753410813542,100.0,403,2338,2107,3068,-2.596024573928783
2025,6870,94.3377001455604,100.0,588,1332,1960,2990,17.623557630500667
2026,1901,94.84481851657023,100.0,187,495,432,787,30.99671867690743
