sid,days_over20
3293,5357
2492,4665
6217,3454
6133,3098
2327,2923
2543,2779
6235,2654
3016,2583
2482,2300
3141,2290
4755,2285
5498,2112
6739,2081
2368,1859
6538,1786
6173,1711
2383,1658
8358,1618
3189,1615
4961,1532
6187,1514
3081,1392
6237,1163
2367,1147
8021,1057
6223,970
3707,937
8155,766
2375,742
1598,686
3563,651
2743,644
6231,605
5351,599
3042,553
1514,545
3711,513
5215,511
5274,502
3147,455
3675,428
8271,418
6584,391
3006,386
2108,382
3443,381
6757,373
8996,367
4953,362
2059,300
3508,293
1605,266
3588,260
4968,257
4919,255
6182,251
8046,246
3260,246
3227,243
4976,233
4739,231
2486,228
2401,215
6830,211
2481,208
6104,201
8121,199
3666,194
3594,161
6672,160
6589,155
2603,146
4979,127
2457,124
6284,120
6446,110
4542,94
6515,92
2465,85
3013,73
4967,73
2436,67
3167,64
4763,64
8255,59
3228,52
3034,51
6643,50
1609,49
6582,44
1584,43
6449,42
3511,39
1802,37
2731,36
2476,33
3596,30
8289,30
8028,22
6640,21
9933,21
3207,20
2419,17
3122,17
4904,16
2428,16
3661,10
3037,9
2369,7
3218,7
6805,6
2812,6
8261,5
6683,4
3014,4
5299,3
2745,3
5258,3
8924,2
6691,2
5483,2
6679,1
3694,1
6233,1
2618,1
