ym,sum,count,p
2017-03,15,343,0.043731778425655975
2017-04,11,286,0.038461538461538464
2017-05,24,296,0.08108108108108109
2017-06,17,315,0.05396825396825397
2017-07,13,309,0.042071197411003236
2017-08,12,407,0.029484029484029485
2017-09,9,382,0.02356020942408377
2017-10,13,328,0.039634146341463415
2017-11,25,379,0.06596306068601583
2017-12,12,311,0.03858520900321544
2018-01,13,345,0.03768115942028986
2018-02,12,221,0.05429864253393665
2018-03,11,369,0.02981029810298103
2018-04,16,301,0.053156146179401995
2018-05,19,325,0.05846153846153846
2018-06,9,343,0.026239067055393587
2018-07,14,278,0.050359712230215826
2018-08,15,294,0.05102040816326531
2018-09,20,256,0.078125
2018-10,18,264,0.06818181818181818
2018-11,10,251,0.0398406374501992
2018-12,11,258,0.04263565891472868
2019-01,18,258,0.06976744186046512
2019-02,12,248,0.04838709677419355
2019-03,17,311,0.05466237942122187
2019-04,10,280,0.03571428571428571
2019-05,17,254,0.06692913385826772
2019-06,14,198,0.0707070707070707
2019-07,9,273,0.03296703296703297
2019-08,10,270,0.037037037037037035
2019-09,11,247,0.044534412955465584
2019-10,16,260,0.06153846153846154
2019-11,10,252,0.03968253968253968
2019-12,16,294,0.05442176870748299
2020-01,7,208,0.03365384615384615
2020-02,3,285,0.010526315789473684
2020-03,24,318,0.07547169811320754
2020-04,25,370,0.06756756756756757
2020-05,24,398,0.06030150753768844
2020-06,20,404,0.04950495049504951
2020-07,15,412,0.03640776699029126
2020-08,19,416,0.04567307692307692
2020-09,13,370,0.03513513513513514
2020-10,19,338,0.05621301775147929
2020-11,21,436,0.0481651376146789
2020-12,21,468,0.04487179487179487
2021-01,14,422,0.03317535545023697
2021-02,17,333,0.05105105105105105
2021-03,16,495,0.03232323232323232
2021-04,19,524,0.03625954198473282
2021-05,14,459,0.030501089324618737
2021-06,13,414,0.03140096618357488
2021-07,16,444,0.036036036036036036
2021-08,20,336,0.05952380952380952
2021-09,22,337,0.06528189910979229
2021-10,20,332,0.060240963855421686
2021-11,16,394,0.04060913705583756
2021-12,10,381,0.026246719160104987
2022-01,14,345,0.04057971014492753
2022-02,11,244,0.045081967213114756
2022-03,14,379,0.036939313984168866
2022-04,13,326,0.03987730061349693
2022-05,25,332,0.07530120481927711
2022-06,13,275,0.04727272727272727
2022-07,24,373,0.064343163538874
2022-08,11,432,0.02546296296296296
2022-09,11,357,0.03081232492997199
2022-10,19,326,0.05828220858895705
2022-11,14,361,0.038781163434903045
2022-12,15,358,0.04189944134078212
2023-01,16,231,0.06926406926406926
2023-02,10,336,0.02976190476190476
2023-03,11,463,0.023758099352051837
2023-04,10,363,0.027548209366391185
2023-05,18,380,0.04736842105263158
2023-06,14,437,0.032036613272311214
2023-07,19,442,0.042986425339366516
2023-08,7,367,0.01907356948228883
2023-09,12,321,0.037383177570093455
2023-10,11,286,0.038461538461538464
2023-11,19,408,0.04656862745098039
2023-12,7,365,0.019178082191780823
2024-01,10,313,0.03194888178913738
2024-02,12,337,0.03560830860534125
2024-03,16,481,0.033264033264033266
2024-04,18,450,0.04
2024-05,20,477,0.041928721174004195
2024-06,16,453,0.03532008830022075
2024-07,17,547,0.031078610603290677
2024-08,22,517,0.0425531914893617
2024-09,17,402,0.04228855721393035
2024-10,13,325,0.04
2024-11,14,370,0.03783783783783784
2024-12,12,324,0.037037037037037035
2025-01,10,277,0.036101083032490974
2025-02,15,425,0.03529411764705882
2025-03,5,360,0.013888888888888888
2025-04,21,432,0.04861111111111111
2025-05,17,338,0.05029585798816568
2025-06,16,343,0.04664723032069971
2025-07,13,338,0.038461538461538464
2025-08,14,420,0.03333333333333333
2025-09,18,372,0.04838709677419355
2025-10,12,370,0.032432432432432434
2025-11,17,336,0.050595238095238096
2025-12,11,333,0.03303303303303303
2026-01,15,453,0.033112582781456956
2026-02,14,320,0.04375
2026-03,20,428,0.04672897196261682
