date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2019-06-20,0.99068530,,0.81290140,45.09,44.67,除息,exright
2019-09-19,0.99786689,,0.82054453,46.88,46.78,除息,exright
2019-12-18,0.99538664,,0.82229858,45.52,45.31,除息,exright
2020-03-18,0.99534451,,0.82610972,53.7,53.45,除息,exright
2020-06-17,0.99498554,,0.82997366,51.85,51.59,除息,exright
2020-09-17,0.99617225,,0.83415651,52.25,52.05,除息,exright
2020-12-16,0.99525578,,0.83736172,48.48,48.25,除息,exright
2021-03-17,0.99419869,,0.84135329,41.37,41.13,除息,exright
2021-06-17,0.99423631,,0.84626272,41.64,41.4,除息,exright
2021-09-16,0.99439713,,0.85116859,44.62,44.37,除息,exright
2021-12-16,0.99510240,,0.85596444,44.92,44.7,除息,exright
2022-03-16,0.99451782,,0.86017724,40.13,39.91,除息,exright
2022-06-17,0.99370529,,0.86491889,34.95,34.73,除息,exright
2022-09-19,0.99441029,,0.87039779,35.78,35.58,除息,exright
2022-12-16,0.99281403,,0.87529041,34.79,34.54,除息,exright
2023-03-16,0.99492234,,0.88162575,33.48,33.31,除息,exright
2023-06-16,0.99181570,,0.88612519,32.99,32.72,除息,exright
2023-09-18,0.99206601,,0.89343735,31.51,31.26,除息,exright
2023-12-18,0.99236408,,0.90058256,32.74,32.49,除息,exright
2024-03-18,0.99190152,,0.90751225,30.87,30.62,除息,exright
2024-06-20,0.99127454,,0.91492172,32.09,31.81,除息,exright
2024-09-19,0.99173798,,0.92297511,33.89,33.61,除息,exright
2024-12-17,0.99090318,,0.93066428,30.78,30.5,除息,exright
2025-03-18,0.99100546,,0.93920808,31.13,30.85,除息,exright
2025-06-17,0.98948159,,0.94773250,26.62,26.34,除息,exright
2025-09-16,0.99015817,,0.95780710,28.45,28.17,除息,exright
2025-12-16,0.98988490,,0.96732737,28.67,28.38,除息,exright
2026-03-17,0.98972251,,0.97721197,29.19,28.89,除息,exright
2026-06-16,0.98735955,,0.98735955,28.48,28.12,除息,exright
